id		modType	icon	name	cfgName
12903	杂项	props	set:g2052_mobile_editor_prop_icon.json image:g2052_jiangbei03		zb_zhuangshi_16
12904	杂项	props	set:g2052_mobile_editor_prop_icon.json image:g2052_fuzhuangdian_jiaju04		zb_zhuangshi_17
12905	杂项	props	set:g2052_mobile_editor_prop_icon.json image:zhong		zb_zhuangshi_18
12906	杂项	props	set:g2052_mobile_editor_prop_icon.json image:prop_luzhang		prop_01
12907	杂项	props	set:g2052_mobile_editor_prop_icon.json image:g2052_prop_ladder		prop_02
12908	杂项	props	set:g2052_mobile_editor_prop_icon.json image:g2052_miehuoqi		prop_03
12909	杂项	props	set:g2052_mobile_editor_prop_icon.json image:boxa		zb_prop_01
12910	杂项	props	set:g2052_mobile_editor_prop_icon.json image:g2052_police_anniu		zb_prop_03
12911	杂项	props	set:g2052_mobile_editor_prop_icon.json image:camera_01		zb_prop_04
12912	杂项	props	set:g2052_mobile_editor_prop_icon.json image:dianhua		zb_prop_05
12913	杂项	props	set:g2052_mobile_editor_prop_icon.json image:g2052_police_dianjifang_heiban		zb_prop_06
12914	设备	props	set:g2052_mobile_editor_prop_icon.json image:g2052_soundparts_01		equipment_01
12915	设备	props	set:g2052_mobile_editor_prop_icon.json image:g2052_soundparts_02		equipment_02
12916	设备	props	set:g2052_mobile_editor_prop_icon.json image:g2052_soundparts_03		equipment_03
12917	设备	props	set:g2052_mobile_editor_prop_icon.json image:g2052_yueqi_01		equipment_04
12918	设备	props	set:g2052_mobile_editor_prop_icon.json image:g2052_yueqi_02		equipment_05
12919	设备	props	set:g2052_mobile_editor_prop_icon.json image:g2052_yueqi_06		equipment_06
12920	杂项	props	set:g2052_mobile_editor_prop_icon.json image:polySurface138		zb_prop_07
12921	杂项	props	set:g2052_mobile_editor_prop_icon.json image:polySurface135		zb_prop_08
12922	设备	props	set:g2052_mobile_editor_prop_icon.json image:g2052_yueqi_07		equipment_07
12923	设备	props	set:g2052_mobile_editor_prop_icon.json image:g2052_yueqi_08		equipment_08
12924	杂项	props	set:g2052_mobile_editor_prop_icon.json image:g2052_xiaofang_youguan		zb_prop_09
12925	杂项	props	set:g2052_mobile_editor_prop_icon.json image:g2052_xiaofang_youtong		zb_prop_10
12926	杂项	props	set:g2052_mobile_editor_prop_icon.json image:g2052_house001_cuju_01		zb_prop_11
12927	杂项	props	set:g2052_mobile_editor_prop_icon.json image:guopan		zb_prop_12
20001	地板				floor
30001	方块	geometry	set:g2052_mobile_editor_model.json image:g2040_ui_model_picture_01	ui.g2054_base_model_cube.name	g2054_base_model_cube
30002	圆球	geometry	set:g2052_mobile_editor_model.json image:g2040_ui_model_picture_15	ui.g2054_base_model_sphere.name	g2054_base_model_sphere
30003	圆柱	geometry	set:g2052_mobile_editor_model.json image:g2040_ui_model_picture_05	ui.g2054_base_model_cylinder.name	g2054_base_model_cylinder
30004	锥体	geometry	set:g2052_mobile_editor_model.json image:g2040_ui_model_picture_08	ui.g2054_base_model_cone.name	g2054_base_model_cone
30005	半立方体	geometry	set:g2052_mobile_editor_model.json image:g2040_ui_model_picture_02	ui.g2054_base_model_half_cube.name	g2054_base_model_half_cube
30006	楼梯	geometry	set:g2052_mobile_editor_model.json image:g2040_ui_model_picture_03	ui.g2054_base_model_staris.name	g2054_base_model_staris
30007	直角三棱柱	geometry	set:g2052_mobile_editor_model.json image:g2040_ui_model_picture_04	ui.g2054_base_model_right_angle_triangular_prism.name	g2054_base_model_right_angle_triangular_prism
30008	空心柱	geometry	set:g2052_mobile_editor_model.json image:g2040_ui_model_picture_06	ui.g2054_base_model_hollow_column.name	g2054_base_model_hollow_column
30009	扇形柱	geometry	set:g2052_mobile_editor_model.json image:g2040_ui_model_picture_07	ui.g2054_base_model_fan_column.name	g2054_base_model_fan_column
30010	正四棱锥	geometry	set:g2052_mobile_editor_model.json image:g2040_ui_model_picture_09	ui.g2054_base_mode_square_pyramid.name	g2054_base_mode_square_pyramid
30011	圆环	geometry	set:g2052_mobile_editor_model.json image:g2040_ui_model_picture_10	ui.g2054_base_model_circle.name	g2054_base_model_circle
30012	半圆环	geometry	set:g2052_mobile_editor_model.json image:g2040_ui_model_picture_11	ui.g2054_base_model_half_circle.name	g2054_base_model_half_circle
30013	圆台	geometry	set:g2052_mobile_editor_model.json image:g2040_ui_model_picture_12	ui.g2054_base_model_round_table.name	g2054_base_model_round_table
30014	空心圆台	geometry	set:g2052_mobile_editor_model.json image:g2040_ui_model_picture_13	ui.g2054_base_model_hollow_round_table.name	g2054_base_model_hollow_round_table
30015	正四棱台	geometry	set:g2052_mobile_editor_model.json image:g2040_ui_model_picture_14	ui.g2054_base_model_square_prism.name	g2054_base_model_square_prism
30016	半球体	geometry	set:g2052_mobile_editor_model.json image:g2040_ui_model_picture_16	ui.g2054_base_model_hemisphere.name	g2054_base_model_hemisphere
