		n_id	n_index	n_priority	n_isWatchAd	n_isNew	n_needBuy	n_lockState	s_lockTips	s_partName	s_icon	s_conflictParts	s_conflictOriginal
	恐龙套	11022	11	9			1	4		custom_suits#g2052_suit_25	set:g2052_suit_icon.json image:g2052_clothing_suits_25	custom_shoes#clothes_pants#clothes_tops	custom_hair
	小孩套1	11023	11	22						custom_suits#g2052_baby_01	set:g2052_suit_icon.json image:g2052_clothing_suits_baby01	custom_shoes#clothes_pants#clothes_tops	
	小孩套2	11024	11	16						custom_suits#g2052_baby_02	set:g2052_suit_icon.json image:g2052_clothing_suits_baby02	custom_shoes#clothes_pants#clothes_tops	
	小孩套3	11025	11	13						custom_suits#g2052_baby_03	set:g2052_suit_icon.json image:g2052_clothing_suits_baby03	custom_shoes#clothes_pants#clothes_tops	
	兔子套	11026	11	17			1	4		custom_suits#g2052_suit_24	set:g2052_suit_icon.json image:g2052_clothing_suits_24	custom_shoes#clothes_pants#clothes_tops	custom_hair
	赛车手套	11027	11	5			1	2		custom_suits#g2052_suit_28	set:g2052_suit_icon.json image:g2052_clothing_suits_28	custom_shoes#clothes_pants#clothes_tops	
	魔女套	11028	11	100			1	4		custom_suits#g2052_suit_40	set:g2052_suit_icon.json image:g2052_clothing_suits_40	custom_shoes#clothes_tops	
	鲨鱼套	11029	11	0						custom_suits#g2052_suit_29	set:g2052_suit_icon.json image:g2052_clothing_suits_29	custom_shoes#clothes_pants#clothes_tops	custom_hair
	西部牛仔套	11030	11	9			1	4		custom_suits#g2052_suit_20	set:g2052_suit_icon.json image:g2052_clothing_suits_20	custom_shoes#clothes_pants#clothes_tops	
	球衣1	11031	11	16			1	4		custom_suits#g2052_suit_27	set:g2052_suit_icon.json image:g2052_clothing_suits_27	custom_shoes#clothes_pants#clothes_tops	
	球衣2	11032	11	16			1	99		custom_suits#g2052_suit_27_01	set:g2052_suit_icon.json image:g2052_clothing_suits_27_01	custom_shoes#clothes_pants#clothes_tops	
	婚纱套	11033	11	6			1	99		custom_suits#g2052_suit_26	set:g2052_suit_icon.json image:g2052_clothing_suits_26	custom_shoes#clothes_pants#clothes_tops	custom_hair
	破烂套	11034	11	14						custom_suits#g2052_suit_21	set:g2052_suit_icon.json image:g2052_clothing_suits_21	custom_shoes#clothes_pants#clothes_tops	
男上衣	红吊带	12000	12	26						clothes_tops#1000	set:g2052_tops_icon.json image:tops_1000		
	黑白纹T恤	12001	12	22						clothes_tops#1001	set:g2052_tops_icon.json image:tops_1001		
	橙色T恤	12002	12	30						clothes_tops#1002	set:g2052_tops_icon.json image:tops_1002		
	防弹背心服	12003	12	18						clothes_tops#1003	set:g2052_tops_icon.json image:tops_1003		
	黑色警官服	12004	12	19						clothes_tops#1004	set:g2052_tops_icon.json image:tops_1004		
	特警1	12005	12	14						clothes_tops#1005	set:g2052_tops_icon.json image:tops_1005		
	特警2	12006	12	1						clothes_tops#1006	set:g2052_tops_icon.json image:tops_1006		
	黄野人	12007	12	20						clothes_tops#3001	set:g2052_tops_icon.json image:tops_3001		
	黑风衣	12008	12	8						clothes_tops#3002	set:g2052_tops_icon.json image:tops_3002		
	红野人	12009	12	13						clothes_tops#3003	set:g2052_tops_icon.json image:tops_3003		
	蓝吊带	12010	12	27						clothes_tops#g2020.01.boy	set:g2052_tops_icon.json image:tops_g2020_01_boy		
	蓝熊宝宝服	12011	12	23						clothes_tops#g2020.02.boy	set:g2052_tops_icon.json image:tops_g2020_02_boy		
	蓝夹克	12012	12	24						clothes_tops#g2020.03.boy	set:g2052_tops_icon.json image:tops_g2020_03_boy		
	服务员衣	12013	12	25						clothes_tops#g2032_bartender	set:g2052_tops_icon.json image:tops_g2032_bartender		
	厨师衣	12014	12	28						clothes_tops#g2032_chef	set:g2052_tops_icon.json image:tops_g2032_chef		
	黑夹克	12015	12	21						clothes_tops#g2032_takeout	set:g2052_tops_icon.json image:tops_g2032_takeout		
	深蓝色警员服	12016	12	12						clothes_tops#g2052_tops_13	set:g2052_tops_icon.json image:g2052_tops_13		
	橙色囚犯衣	12017	12	17						clothes_tops#g2035_clothe_4_trunk	set:g2052_tops_icon.json image:tops_g2035_clothe_4_trunk		
	黑色风衣	12018	12	9						clothes_tops#g2035_clothe_6_trunk	set:g2052_tops_icon.json image:tops_g2035_clothe_6_trunk		
	蓝色警长服	12019	12	3						clothes_tops#g2035_clothe_8_trunk	set:g2052_tops_icon.json image:tops_g2035_clothe_8_trunk		
	红白夹客	12020	12	16						clothes_tops#g2052_tops_01	set:g2052_tops_icon.json image:g2052_tops_01		
	黄白蝙蝠T恤	12021	12	11						clothes_tops#g2052_tops_02	set:g2052_tops_icon.json image:g2052_tops_02		
	蓝白衬衫	12022	12	5						clothes_tops#g2052_tops_03	set:g2052_tops_icon.json image:g2052_tops_03		
	青色西瓜T恤	12023	12	15						clothes_tops#g2052_tops_04	set:g2052_tops_icon.json image:g2052_tops_04		
	白色3X外套	12024	12	4						clothes_tops#g2052_tops_05	set:g2052_tops_icon.json image:g2052_tops_05		
	绿军装	12025	12	2						clothes_tops#g2052_tops_12	set:g2052_tops_icon.json image:g2052_tops_12		
	匪帮上衣	12026	12	7						clothes_tops#g2052_tops_10	set:g2052_tops_icon.json image:g2052_tops_10		
	平台上衣48	12027	12	10						clothes_tops#48	set:g2052_tops_icon.json image:tops_48		
	平台上衣87	12028	12	29						clothes_tops#87	set:g2052_tops_icon.json image:tops_87		
	平台上衣49	12029	12	6						clothes_tops#49	set:g2052_tops_icon.json image:tops_49		
	熊猫T恤	12030	12	10						clothes_tops#g2052_tops_208	set:g2052_tops_icon.json image:g2052_tops_208		
	蜜蜂卫衣	12031	12	8			1	4		clothes_tops#g2052_tops_209	set:g2052_tops_icon.json image:g2052_tops_209		
	咖啡店员	12031	12	11						clothes_tops#g2052_tops_201	set:g2052_tops_icon.json image:g2052_tops_201		
	侦探上衣	12033	12	4		1		99		clothes_tops#g2052_tops_14	set:g2052_new_dress.json image:g2052_tops_14		
男裤子	红黑拼接长裤	13000	13	90						clothes_pants#1000	set:g2052_pants_icon.json image:pants_1000		
	黑白条纹长裤	13001	13	91						clothes_pants#1001	set:g2052_pants_icon.json image:pants_1001		
	橙色长裤	13002	13	92						clothes_pants#1002	set:g2052_pants_icon.json image:pants_1002		
	绿色军裤	13003	13	12						clothes_pants#g2052_pant_07	set:g2052_pants_icon.json image:g2052_pant_07		
	黑色短裤	13004	13	93						clothes_pants#g2052_pant_01	set:g2052_pants_icon.json image:g2052_pant_01		
	警裤	13005	13	10						clothes_pants#1005	set:g2052_pants_icon.json image:pants_1005		
	黑色七分裤	13006	13	94						clothes_pants#g2052_pant_02	set:g2052_pants_icon.json image:g2052_pant_02		
	紫色短裤	13007	13	89						clothes_pants#g2052_pant_05	set:g2052_pants_icon.json image:g2052_pant_05		
	蓝色长裤	13008	13	15						clothes_pants#g2020.02.boy	set:g2052_pants_icon.json image:pants_g2020_02_boy		
	腰带蓝色短裤	13009	13	87						clothes_pants#g2020.03.boy	set:g2052_pants_icon.json image:pants_g2020_03_boy		
	深灰色长裤	13010	13	96						clothes_pants#g2032_bartender	set:g2052_pants_icon.json image:pants_g2032_bartender		
	棕色长裤	13011	13	95						clothes_pants#g2032_chef	set:g2052_pants_icon.json image:pants_g2032_chef		
	深蓝警裤	13012	13	11						clothes_pants#g2052_pant_08	set:g2052_pants_icon.json image:g2052_pant_08		
	橙色囚犯裤	13013	13	13						clothes_pants#g2035_clothe_4_trousers	set:g2052_pants_icon.json image:pants_g2035_clothe_4_trousers		
	绿白条纹短裤	13014	13	88						clothes_pants#g2052_pant_04	set:g2052_pants_icon.json image:g2052_pant_04		
	腰带黑色长裤	13015	13	14						clothes_pants#g2052_pant_09	set:g2052_pants_icon.json image:g2052_pant_09		
	野人裤1	13016	13	100						clothes_pants#3001	set:g2052_pants_icon.json image:pants_3001		
	黑棕长裤	13017	13	97						clothes_pants#3002	set:g2052_pants_icon.json image:pants_3002		
	野人裤2	13018	13	99						clothes_pants#3003	set:g2052_pants_icon.json image:pants_3003		
	黑长裤	13019	13	98						clothes_pants#10	set:g2052_pants_icon.json image:g2052_pant_03		
	沙滩裤	13020	13	15			1	4		clothes_pants#g2052_pant_111	set:g2052_pants_icon.json image:g2052_pant_111		
女上衣	叼嘴	14001	14	2						clothes_tops#g2020.01.girl	set:g2052_tops_icon.json image:tops_g2020_01_girl		
	粉红熊	14002	14	9						clothes_tops#g2020.02.girl	set:g2052_tops_icon.json image:tops_g2020_02_girl		
	绿毛衣	14003	14	31						clothes_tops#g2020.03.girl	set:g2052_tops_icon.json image:tops_g2020_03_girl		
	蝴蝶结 	14004	14	14						clothes_tops#g2052_tops_101	set:g2052_tops_icon.json image:g2052_tops_101		
	兔子	14005	14	3						clothes_tops#g2052_tops_102	set:g2052_tops_icon.json image:g2052_tops_102		
	蓝白	14006	14	27						clothes_tops#g2052_tops_104	set:g2052_tops_icon.json image:g2052_tops_104		
	绿3x	14007	14	22						clothes_tops#g2052_tops_105	set:g2052_tops_icon.json image:g2052_tops_105		
	平台女上衣14	14008	14	1						clothes_tops#girl_14	set:g2052_tops_icon.json image:girl_tops_14		
	平台女上衣2	14009	14	19						clothes_tops#girl_2	set:g2052_tops_icon.json image:girl_tops_2		
	平台女上衣3	14010	14	29						clothes_tops#girl_3	set:g2052_tops_icon.json image:girl_tops_3		
	平台女上衣4	14011	14	17						clothes_tops#girl_4	set:g2052_tops_icon.json image:girl_tops_4		
	平台女上衣5	14012	14	15						clothes_tops#girl_5	set:g2052_tops_icon.json image:girl_tops_5		
	平台女上衣7	14013	14	6						clothes_tops#girl_7	set:g2052_tops_icon.json image:girl_tops_7		
	平台女上衣15	14014	14	21						clothes_tops#girl_15	set:g2052_tops_icon.json image:girl_tops_15		
	平台女上衣16	14015	14	28						clothes_tops#girl_16	set:g2052_tops_icon.json image:girl_tops_16		
	平台女上衣17	14016	14	24						clothes_tops#girl_17	set:g2052_tops_icon.json image:girl_tops_17		
	平台女上衣18	14017	14	25						clothes_tops#girl_18	set:g2052_tops_icon.json image:girl_tops_18		
	平台女上衣19	14018	14	26						clothes_tops#girl_19	set:g2052_tops_icon.json image:girl_tops_19		
	平台女上衣53	14019	14	23						clothes_tops#girl_53	set:g2052_tops_icon.json image:girl_tops_53		
	平台女上衣55	14020	14	18						clothes_tops#girl_55	set:g2052_tops_icon.json image:girl_tops_55		
	平台女上衣68	14021	14	16						clothes_tops#girl_68	set:g2052_tops_icon.json image:girl_tops_68		
	平台女上衣74	14022	14	30						clothes_tops#girl_74	set:g2052_tops_icon.json image:girl_tops_74		
	平台女上衣75	14023	14	20						clothes_tops#girl_75	set:g2052_tops_icon.json image:girl_tops_75		
	黑色小背心	14024	14	4						clothes_tops#g2052_tops_204	set:g2052_tops_icon.json image:g2052_tops_204		
	白色小背心	14025	14	5						clothes_tops#g2052_tops_207	set:g2052_tops_icon.json image:g2052_tops_207		
	粉色连衣裙	14026	14	10						clothes_tops#g2052_tops_203	set:g2052_tops_icon.json image:g2052_tops_203		
	白色连衣裙	14027	14	11						clothes_tops#g2052_tops_206	set:g2052_tops_icon.json image:g2052_tops_206		
	黑色吊带裙	14028	14	7						clothes_tops#g2052_tops_202	set:g2052_tops_icon.json image:g2052_tops_202		
	蓝色吊带裙	14029	14	8						clothes_tops#g2052_tops_205	set:g2052_tops_icon.json image:g2052_tops_205		
	黑色比基尼	14030	14	12			1	2		clothes_tops#g2052_tops_210	set:g2052_tops_icon.json image:g2052_tops_210		
	粉色比基尼	14031	14	13			1	2		clothes_tops#g2052_tops_211	set:g2052_tops_icon.json image:g2052_tops_211		
女裤子	短裙	15001	15	5						clothes_pants#g2020.01.girl	set:g2052_pants_icon.json image:pants_g2020_01_girl		
	红长裤	15002	15	9						clothes_pants#g2020.02.girl	set:g2052_pants_icon.json image:pants_g2020_02_girl		
	绿短裤	15003	15	23						clothes_pants#g2020.03.girl	set:g2052_pants_icon.json image:pants_g2020_03_girl		
	红吊带	15004	15	16						clothes_pants#g2052_pant_101	set:g2052_pants_icon.json image:g2052_pant_101		
	蓝长	15005	15	8						clothes_pants#g2052_pant_102	set:g2052_pants_icon.json image:g2052_pant_102		
	蓝短	15006	15	18						clothes_pants#g2052_pant_104	set:g2052_pants_icon.json image:g2052_pant_104		
	绿短裤	15007	15	19						clothes_pants#g2052_pant_105	set:g2052_pants_icon.json image:g2052_pant_105		
	黑吊带	15008	15	4						clothes_pants#g2052_pant_106	set:g2052_pants_icon.json image:g2052_pant_106		
	红裤袜	15009	15	20						clothes_pants#g2052_pant_107	set:g2052_pants_icon.json image:g2052_pant_107		
	平台女裤子2	15010	15	11						clothes_pants#girl_2	set:g2052_pants_icon.json image:girl_pant_2		
	平台女裤子3	15011	15	7						clothes_pants#girl_3	set:g2052_pants_icon.json image:girl_pant_3		
	平台女裤子4	15012	15	22						clothes_pants#girl_4	set:g2052_pants_icon.json image:girl_pant_4		
	平台女裤子7	15013	15	13						clothes_pants#girl_7	set:g2052_pants_icon.json image:girl_pant_7		
	平台女裤子14	15014	15	6						clothes_pants#girl_14	set:g2052_pants_icon.json image:girl_pant_14		
	平台女裤子53	15015	15	10						clothes_pants#girl_53	set:g2052_pants_icon.json image:girl_pant_53		
	平台女裤子61	15016	15	17						clothes_pants#girl_61	set:g2052_pants_icon.json image:girl_pant_61		
	平台女裤子72	15017	15	1						clothes_pants#girl_72	set:g2052_pants_icon.json image:girl_pant_72		
	平台女裤子80	15018	15	14						clothes_pants#girl_80	set:g2052_pants_icon.json image:girl_pant_80		
	平台女裤子89	15019	15	21						clothes_pants#girl_89	set:g2052_pants_icon.json image:girl_pant_89		
	牛仔短裤	15020	15	2						clothes_pants#g2052_pant_109	set:g2052_pants_icon.json image:g2052_pant_109		
	破洞牛仔长裤	15021	15	3						clothes_pants#g2052_pant_108	set:g2052_pants_icon.json image:g2052_pant_108		
	黑色比基尼	15022	15	12			1	2		clothes_pants#g2052_pant_112	set:g2052_pants_icon.json image:g2052_pant_112		
	粉色比基尼	15023	15	15			1	2		clothes_pants#g2052_pant_113	set:g2052_pants_icon.json image:g2052_pant_113		
	碎花裙	15024	15	7			1	99		clothes_pants#g2052_pant_110	set:g2052_pants_icon.json image:g2052_pant_110		
鞋子	野人鞋1	16001	16	23						custom_shoes#3001	set:g2052_shoes_icon.json image:shoes_3001		
	黑紫长靴	16002	16	12						custom_shoes#3002	set:g2052_shoes_icon.json image:shoes_3002		
	野人鞋2	16003	16	16						custom_shoes#3003	set:g2052_shoes_icon.json image:shoes_3003		
	小蓝鞋	16004	16	15						custom_shoes#g2020.01.boy	set:g2052_shoes_icon.json image:shoes_g2020_01_boy		
	蓝底鞋	16005	16	24						custom_shoes#g2020.02.boy	set:g2052_shoes_icon.json image:shoes_g2020_02_boy		
	小蓝鞋2	16006	16	20						custom_shoes#g2020.03.boy	set:g2052_shoes_icon.json image:shoes_g2020_03_boy		
	黑皮鞋	16007	16	19						custom_shoes#g2032_bartender	set:g2052_shoes_icon.json image:shoes_g2032_bartender		
	深黑皮鞋	16008	16	17						custom_shoes#g2032_chef	set:g2052_shoes_icon.json image:shoes_g2032_chef		
	灰色鞋子	16009	16	9						custom_shoes#g2032_takeout	set:g2052_shoes_icon.json image:shoes_g2032_takeout		
	亮黑皮鞋1	16010	16	2						custom_shoes#g2035_clothe_2_shoes	set:g2052_shoes_icon.json image:shoes_g2035_clothe_2_shoes		
	白色拖鞋	16011	16	28						custom_shoes#g2035_clothe_4_shoes	set:g2052_shoes_icon.json image:shoes_g2035_clothe_4_shoes		
	亮黑皮鞋2	16012	16	4						custom_shoes#g2035_clothe_6_shoes	set:g2052_shoes_icon.json image:shoes_g2035_clothe_6_shoes		
	棕色鞋子	16013	16	25						custom_shoes#g2035_clothe_8_shoes	set:g2052_shoes_icon.json image:shoes_g2035_clothe_8_shoes		
	鞋子1	16014	16	8						custom_shoes#g2052_shoes_09	set:g2052_shoes_icon.json image:g2052_shoes_01		
	鞋子2	16015	16	26						custom_shoes#g2052_shoes_02	set:g2052_shoes_icon.json image:g2052_shoes_02		
	鞋子3	16016	16	29						custom_shoes#g2052_shoes_03	set:g2052_shoes_icon.json image:g2052_shoes_03		
	小黄鞋	16017	16	27						custom_shoes#g2052_shoes_04	set:g2052_shoes_icon.json image:g2052_shoes_04		
	红蓝白鞋	16018	16	22						custom_shoes#g2052_shoes_05	set:g2052_shoes_icon.json image:g2052_shoes_05		
	小粉鞋	16501	16	5						custom_shoes#g2020.01.girl	set:g2052_shoes_icon.json image:shoes_g2020_01_girl		
	粉底鞋	16502	16	14						custom_shoes#g2020.02.girl	set:g2052_shoes_icon.json image:shoes_g2020_02_girl		
	小绿鞋	16503	16	13						custom_shoes#g2020.03.girl	set:g2052_shoes_icon.json image:shoes_g2020_03_girl		
	棕皮鞋	16504	16	18						custom_shoes#g2052_shoes_101	set:g2052_shoes_icon.json image:g2052_shoes_101		
	紫底鞋	16505	16	3						custom_shoes#g2052_shoes_102	set:g2052_shoes_icon.json image:g2052_shoes_102		
	粉白灰	16506	16	7						custom_shoes#g2052_shoes_104	set:g2052_shoes_icon.json image:g2052_shoes_104		
	绿白褐	16507	16	21						custom_shoes#g2052_shoes_105	set:g2052_shoes_icon.json image:g2052_shoes_105		
	平台鞋子2	16508	16	1						custom_shoes#2	set:g2052_shoes_icon.json image:shoes_2		
	平台鞋子14	16509	16	6						custom_shoes#14	set:g2052_shoes_icon.json image:shoes_14		
	平台鞋子25	16510	16	10						custom_shoes#girl_25	set:g2052_shoes_icon.json image:shoes_25		
	nike拖鞋	16511	16	11			1	2		custom_shoes#g2052_shoes_106	set:g2052_shoes_icon.json image:g2052_shoes_106		
帽子		21001	21	10						custom_hat#g2020.03.boy	set:g2052_hat_icon.json image:hat_g2020_03_boy		
		21002	21	4						custom_hat#g2052_hat_01	set:g2052_hat_icon.json image:hat_01		
		21010	21	11						custom_hat#g2052_hat_03	set:g2052_hat_icon.json image:decorate_hat_1		
		21011	21	12						custom_hat#g2052_hat_04	set:g2052_hat_icon.json image:decorate_hat_2		
		21012	21	14						custom_hat#g2052_hat_05	set:g2052_hat_icon.json image:hat_05		
		21013	21	16						custom_hat#g2052_hat_07	set:g2052_hat_icon.json image:hat_07		
		21014	21	6						custom_hat#g2052_hat_09	set:g2052_hat_icon.json image:hat_09		
		21015	21	9						custom_hat#g2052_hat_10	set:g2052_hat_icon.json image:hat_10		
		21016	21	2						custom_hat#g2052_hat_11	set:g2052_hat_icon.json image:hat_11		
	平台帽子1	21017	21	7						custom_hat#1	set:g2052_hat_icon.json image:girl_hat_1		
	平台帽子13	21018	21	13						custom_hat#13	set:g2052_hat_icon.json image:girl_hat_13		
	黑色发夹	21019	21	1						custom_hat#girl_9	set:g2052_hat_icon.json image:girl_hat_9		
	皇冠	21020	21	5			1	2		custom_hat#g2052_newhat_13	set:g2052_hat_icon.json image:hat_13		
	popcat头	21021	21	3						custom_hat#g2052_hat_23	set:g2052_hat_icon.json image:hat_17	custom_face	custom_hair
	小熊套头	21022	21	15			1	4		custom_hat#g2052_hat_17	set:g2052_hat_icon.json image:hat_16		custom_hair
	南瓜头	21023	21	100			1	4		custom_hat#g2052_newhat_30	set:g2052_hat_icon.json image:hat_30	custom_face	custom_hair
	摩托车头盔	21024	21	8			1	4		custom_hat#g2052_newhat_15	set:g2052_hat_icon.json image:hat_15		
	针织帽	21025	21	5			1	4		custom_hat#g2052_newhat_12	set:g2052_hat_icon.json image:hat_12		
	狗头	21026	21	6			1	99		custom_hat#g2052_newhat_18	set:g2052_hat_icon.json image:hat_18	custom_face	custom_hair
	粉色发夹	21027	21	1		1				custom_hat#girl_10	set:g2052_new_dress.json image:girl_hat_10		
	钻石皇冠	21028	21	5		1	1			custom_hat#g2052_newhat_14	set:g2052_new_dress.json image:hat_14		
男头发		22001	22	2						custom_hair#g2020.02.boy	set:g2052_hair_icon.json image:hair_g2020_02_boy		
		22002	22	1						custom_hair#g2020.03.boy	set:g2052_hair_icon.json image:hair_g2020_03_boy		
		22003	22	16						custom_hair#g2032_bartender	set:g2052_hair_icon.json image:hair_g2032_bartender		
		22004	22	33						custom_hair#g2032_chef	set:g2052_hair_icon.json image:hair_g2032_chef		
		22005	22	10						custom_hair#g2035_clothe_2_head	set:g2052_hair_icon.json image:hair_g2035_clothe_2_head		
		22006	22	23						custom_hair#g2035_clothe_4_head	set:g2052_hair_icon.json image:hair_g2035_clothe_4_head		
		22007	22	31						custom_hair#g2035_clothe_6_head	set:g2052_hair_icon.json image:hair_g2035_clothe_6_head		
		22008	22	27						custom_hair#g2035_clothe_8_head	set:g2052_hair_icon.json image:hair_g2035_clothe_8_head		
		22009	22	15						custom_hair#g2052_hair_01	set:g2052_hair_icon.json image:g2052_hair_01		
		22010	22	34						custom_hair#g2052_hair_02	set:g2052_hair_icon.json image:g2052_hair_02		
		22011	22	19						custom_hair#g2052_hair_03	set:g2052_hair_icon.json image:g2052_hair_03		
		22012	22	32						custom_hair#g2052_hair_04	set:g2052_hair_icon.json image:g2052_hair_04		
		22013	22	26						custom_hair#g2052_hair_05	set:g2052_hair_icon.json image:g2052_hair_05		
		22014	22	29						custom_hair#g2052_hair_06	set:g2052_hair_icon.json image:g2052_hair_06		
		22015	22	28						custom_hair#g2052_hair_10	set:g2052_hair_icon.json image:g2052_hair_10		
		22016	22	9						custom_hair#g2052_hair_08	set:g2052_hair_icon.json image:g2052_hair_08		
		22017	22	25						custom_hair#g2052_hair_09	set:g2052_hair_icon.json image:g2052_hair_09		
女头发		22502	22	24						custom_hair#g2020.02.girl	set:g2052_hair_icon.json image:hair_g2020_02_girl		
		22503	22	22						custom_hair#g2020.03.girl	set:g2052_hair_icon.json image:hair_g2020_03_girl		
		22504	22	4						custom_hair#g2052_hair_101	set:g2052_hair_icon.json image:g2052_hair_101		
		22505	22	6						custom_hair#g2052_hair_102	set:g2052_hair_icon.json image:g2052_hair_102		
		22506	22	13						custom_hair#g2052_hair_103	set:g2052_hair_icon.json image:g2052_hair_103		
		22507	22	7						custom_hair#g2052_hair_104	set:g2052_hair_icon.json image:g2052_hair_104		
		22508	22	12						custom_hair#g2052_hair_105	set:g2052_hair_icon.json image:g2052_hair_105		
		22509	22	18						custom_hair#g2052_hair_106	set:g2052_hair_icon.json image:g2052_hair_106		
		22510	22	8						custom_hair#g2052_hair_109	set:g2052_hair_icon.json image:g2052_hair_109		
		22511	22	14						custom_hair#g2052_hair_110	set:g2052_hair_icon.json image:g2052_hair_110		
	平台女头发2	22512	22	17						custom_hair#girl_2	set:g2052_hair_icon.json image:girl_hair_2		
	平台女头发11	22513	22	3						custom_hair#girl_11	set:g2052_hair_icon.json image:girl_hair_11		
	平台女头发13	22514	22	5						custom_hair#girl_13	set:g2052_hair_icon.json image:girl_hair_13		
	平台女头发16	22515	22	20						custom_hair#girl_16	set:g2052_hair_icon.json image:girl_hair_16		
	平台女头发45	22516	22	21						custom_hair#girl_45	set:g2052_hair_icon.json image:girl_hair_45		
	平台女头发63	22517	22	30						custom_hair#girl_63	set:g2052_hair_icon.json image:girl_hair_63		
	平台女头发65	22518	22	11						custom_hair#girl_65	set:g2052_hair_icon.json image:girl_hair_65		
头饰		23001	23	3						custom_head#g2052_head_0	set:g2052_head_icon.json image:glasses_3001		
		23002	23	10						custom_head#g2052_head_00	set:g2052_head_icon.json image:head_00		
		23003	23	2						custom_head#g2052_head_01	set:g2052_head_icon.json image:head_01		
		23004	23	13						custom_head#g2052_head_02	set:g2052_head_icon.json image:head_02		
		23005	23	14						custom_head#g2052_head_03	set:g2052_head_icon.json image:head_03		
		23006	23	16						custom_head#g2052_head_04	set:g2052_head_icon.json image:head_04		
		23007	23	8						custom_head#g2052_head_05	set:g2052_head_icon.json image:head_05		
		23008	23	7						custom_head#g2052_head_06	set:g2052_head_icon.json image:head_06		
		23009	23	6						custom_head#g2052_head_07	set:g2052_head_icon.json image:head_07		
