s_key	uname	s_func	s_sync	n_isNeedCheckObstacle	s_triggers	s_timeTriggerData	s_interactPopIcon	s_interactPopOffset	s_clickTipEffect	s_clickTipOffset	s_precondition	s_bindRelation	s_controlCascade	s_controlBeCascade	s_nextInteract	n_delay	s_triggerSound	s_breakSound	s_p1	s_p2	s_p3	s_p4	s_p5	s_p6	s_p7	s_p8	i_eventReport							s_counterKey	s_counterType	n_counterMax	n_counterMin	s_condition1	s_invalidCallback	s_entityTargets	s_executionCallback
box_house3_door	住宅3-门-触发	onTriggerAssociated	server	0	2#3														house3_door#house3_door2_l#house3_door2_boli_l#house3_door2_r#house3_door2_boli_r	2	3																				
house3_door	住宅3-大门	operationPartRotate	server	0													door_mumen	door_mumen	-90	0#1#0	-1.3#0.0#0.0			6																	
house3_door2_l	住宅3-阳台门-左	operationPartRotate	server	0													dianqimen	dianqimen	-90	0#1#0	0.75#0#0			6																	
house3_door2_r	住宅3-阳台门-右	operationPartRotate	server	0													dianqimen	dianqimen	90	0#1#0	0.75#0#0			6																	
house3_door2_boli_l	住宅3-阳台门-左	operationPartRotate	server	0													dianqimen	dianqimen	-90	0#1#0	0.75#0#0			6																	
house3_door2_boli_r	住宅3-阳台门-右	operationPartRotate	server	0	1												dianqimen	dianqimen	90	0#1#0	0.75#0#0			6																	
house3_kaoxiangmen	住宅3-烤箱门	operationPartRotate	server	0	1												dianqimen	dianqimen	-70	1#0#0	0#0#0.3			6																	
yugang_paopao	住宅-浴缸泡泡	onUpdateChildEffect	server	0													paopao		EffectPart																						
house_hongganjia_door	住宅-烘干机门	operationPartRotate	server	0	1												dianqimen	dianqimen	-90	0#1#0	-0.4#0.0#0.0			10																	
house_xiyiji_men	住宅-洗衣机机门	operationPartRotate	server	0	1												dianqimen	dianqimen	-75	1#0#0	0#0.35#0.0			10																	
tiaoban_area	住宅_跳板	triggerSpringBed	client	0	2												tiaoban	tiaoban	0.8	0.9	3																				
yinshuiji	住宅-饮水机	onPickProp	server	0	1				click.effect	0#0#0.3									1517																						
house_kaolu_gaizi	住宅-烤炉门	operationPartRotate	server	0	1												dianqimen	dianqimen	-120	1#0#0	0#-0.15#-0.35			6																	
effect_kaolu	住宅-烤炉	onLightOnFire	server	0															g2052_kaolu_fire1.effect#g2052_kaolu_fire2.effect	1	2	small_fire_point	30	house_fire.mp3,1#house_fire.mp3,2																	
kaolu_switch	住宅-烤炉-开关	onTriggerAssociated	server	0	1				click.effect	0#0#0.1									effect_kaolu								1														
house2_guizi_l	住宅2-柜门_左	operationPartRotate	server	0	1												door_yigui	door_yigui	-90	0#1#0	-0.4#0.0#0.0			10																	
house2_guizi_r	住宅2-柜门_右	operationPartRotate	server	0	1												door_yigui	door_yigui	90	0#1#0	0.4#0.0#0.0			10																	
box_house5_door1	住宅5-门-触发	onTriggerAssociated	server	0	2#3														house5_door_l#house5_door_r	2	3																				
house5_door_l	住宅5-大门	operationPartRotate	server	0													door_mumen	door_mumen	-90	0#1#0	-0.6#0.0#0.0			6																	
house5_door_r	住宅5-大门	operationPartRotate	server	0													door_mumen	door_mumen	90	0#1#0	0.6#0.0#0.0			6																	
box_house5_door2	住宅5-门-触发	onTriggerAssociated	server	0	2#3														house5_door	2	3																				
house5_door	住宅5-房门	operationPartRotate	server	0													door_mumen	door_mumen	-90	0#1#0	1#0.0#0.0			6																	
house5_bingxiang_l	住宅5-冰箱门l	operationPartRotate	server	0	1				click.effect	-0.1#0.2#-0.2							door_mumen	door_mumen	90	0#1#0	0.55#0.0#-0.05			6																	
house5_bingxiang_r	住宅5-冰箱门r	operationPartRotate	server	0	1				click.effect	-0.1#0.2#-0.2							door_mumen	door_mumen	-90	0#1#0	-0.33#0.0#-0.05			6																	
house5_microwave_door	住宅5-微波炉门	operationPartRotate	server	0	1				click.effect	-0.1#0.2#-0.2							door_mumen	door_mumen	-90	0#1#0	-0.375#0.0#0.0			6																	
house5_guizimen	住宅5-房间柜子门	operationPartRotate	server	0	1				click.effect	-0.1#0.2#-0.2							door_mumen	door_mumen	-90	0#1#0	-0.25#0.0#0.0			6																	
house6_chekumen	住宅6-车库门	operationPartRotate	server	0															-80	1#0#0	0#2.6#0			20																	
house6_door	住宅6-大门	operationPartRotate	server	0											house6_door_boli		door_mumen	door_mumen	90	0#1#0	1.0#0.0#0.0			6																	
house6_door_boli	住宅6-大门	operationPartRotate	server	0															90	0#1#0	1.0#0.0#0.0			6																	
house6_bingxiangmen_l	住宅6-双冰箱门-左	operationPartRotate	server	0	1												dianqimen	dianqimen	-90	0#1#0	-0.3#0.0#0			6																	
house6_bingxiangmen_r	住宅6-双冰箱门-右	operationPartRotate	server	0	1												dianqimen	dianqimen	90	0#1#0	-0.3#0.0#0			6																	
house_door_6	住宅-室内门2	operationPartRotate	server	0													door_mumen	door_mumen	90	0#1#0	1.0#0.0#0.0			6																	
box_house7_door1	住宅7-门-触发	onTriggerAssociated	server	0	2#3														house7_door1	2	3																				
house7_door1	住宅7-房门	operationPartRotate	server	0													door_mumen	door_mumen	-90	0#1#0	0#0#-1			6																	
box_house7_door2	住宅7-门-触发	onTriggerAssociated	server	0	2#3														house7_door2	2	3																				
house7_door2	住宅7-房门	operationPartRotate	server	0													door_mumen	door_mumen	-90	0#1#0	0#0.0#-1			6																	
house8_bingxiang_door	住宅7-冰箱门	operationPartRotate	server	0	1												dianqimen	dianqimen	90	0#1#0	0.78#0.0#-0.1			6																	
house7_drawer	住宅7-抽屉	operationPartMove	server	0	1												door_chouti		0.4#0#0				5																		
box_hoouse13_boli	住宅13-门-触发	onTriggerAssociated	server	0	2#3														house13_boli_l#house13_boli_r	2	3																				
house13_boli_l	住宅13-大门	operationPartRotate	server	0													door_mumen	door_mumen	90	0#1#0	0.9#0.0#0.0			6																	
house13_boli_r	住宅13-大门	operationPartRotate	server	0													door_mumen	door_mumen	-90	0#1#0	-0.9#0.0#0			6																	
box_house13_door02	住宅13-门-触发	onTriggerAssociated	server	0	2#3														house13_door_02	2	3																				
house13_door_02	住宅13-房门	operationPartRotate	server	0													door_mumen	door_mumen	-90	0#1#0	1#0#0			6																	
box_house13_door01	住宅13-门-触发	onTriggerAssociated	server	0	2#3														house13_door	2	3																				
house13_door	住宅13-房门	operationPartRotate	server	0													door_mumen	door_mumen	-90	0#1#0	0.9#0#0			6																	
box_house13_door03	住宅13-门-触发	onTriggerAssociated	server	0	2#3														house13_door_03	2	3																				
house13_door_03	住宅13-房门	operationPartRotate	server	0													door_mumen	door_mumen	90	0#1#0	1#0#0			6																	
house13_refrigerator_door_l	住宅13-双冰箱门-左	operationPartRotate	server	0	1												dianqimen	dianqimen	90	0#1#0	0.4#0.0#0			6																	
house13_refrigerator_door_r	住宅13-双冰箱门-右	operationPartRotate	server	0	1												dianqimen	dianqimen	-90	0#1#0	-0.4#0.0#0			6																	
house13_drawer	住宅13-抽屉	operationPartMove	server	0	1												door_chouti		0#0#0.6				5																		
box_hoouse13_boli2l	住宅13-门-触发	onTriggerAssociated	server	0	2#3														house13_door_04l#house13_door_04r	2	3																				
house13_door_04l	住宅13-大门	operationPartRotate	server	0													door_mumen	door_mumen	90	0#1#0	0.9#0.0#0.0			6																	
house13_door_04r	住宅13-大门	operationPartRotate	server	0													door_mumen	door_mumen	-90	0#1#0	0.9#0.0#0			6																	
customladdera	道具-梯子攀爬	onTouchLadder	server	0	2#3														90	0.05																					
customladderb	道具-梯子攀爬	onTouchLadder	server	0	2#3														-90	0.05																					
jinbi01	广场-金币投掷	onGoldCoinEffect	server	0	5														g2021_chest_15.effect	0#1.5#0	2	pengquan_w																			
box_jiazigu	舞台-架子鼓	onFurnitureInteract	server	0	4		set:g2052_interaction_icon.json image:click										bgm_drum		g2052_skill_piano#0#-0.9#-0.5#0#-0.9#-0.5								1														
box_jianpan	舞台-键盘	onFurnitureInteract	server	0	4		set:g2052_interaction_icon.json image:click										bgm_piano		g2052_skill_piano#0#-0.9#-0.5#0#-0.9#-0.5								1														
box_dj	舞台-DJ	onFurnitureInteract	server	0	4		set:g2052_interaction_icon.json image:click										bgm_dj		g2052_skill_dj#0.0#-0.9#-0.5#0.0#-0.9#-0.5								1														
prop_jita	舞台-吉他	onPickProp	server	0	1				click.effect	0#0#0.2									1331		2						1														
box_gangqing	舞台-钢琴	onFurnitureInteract	server	0	4		set:g2052_interaction_icon.json image:click					box_sit01					gangqin		g2052_skill_gangqin#0#-0.45#0#0#0#0								1														
square_ice	雪糕车-雪桶	onPickProp	server	0	1				click.effect	0.0#0.0#0.2									1402								1														
square_ice01	雪糕车-雪糕	onPickProp	server	0	1				click.effect	0.0#0.2#0									1408								1														
square_ice02	雪糕车-雪糕	onPickProp	server	0	1				click.effect	0.0#0.2#0									1407								1														
square_ice03	雪糕车-雪糕	onPickProp	server	0	1				click.effect	0#0.1#0									1406								1														
square_ice04	雪糕车-雪糕	onPickProp	server	0	1				click.effect	0#0.1#0									1405								1														
square_ice06	雪糕车-雪糕	onPickProp	server	0	1				click.effect	0#0.1#0									1403								1														
square_ice05	雪糕车-雪糕	onPickProp	server	0	1				click.effect	0#0.1#0									1404								1														
hanbao	汉堡车-汉堡	onPickProp	server	0	1				click.effect	0#0.3#0									1401								1														
kele	汉堡车-可乐	onPickProp	server	0	1				click.effect	0#0.3#0									1501								1														
c4	银行-特工c4	onPickProp	server	0	4		set:g2052_interaction_icon.json image:get												1601																						
g2052_laifu	银行-获得来福	onPickProp	server	0	1				click.effect	0.1#0#0.2									1611																						
box_qiandai	银行-获得钱袋	onPickProp	server	1	1				click.effect										1621																						
miehuoqi	银行-灭火器获取	onPickProp	server	0	1				click.effect										1021																						
move_jiguang	银行-激光移动	operationPartMoveLoop	server	0	8														0#0#5	100	20																				
prop_gouwulan_h	便利店-购物篮	onPickProp	server	0	1				click.effect	0#0.2#0									1031																						
prop_niunai_02_h	便利店-一瓶牛奶	onPickProp	server	0	1				click.effect	0#0#0.3									1503																						
prop_niunai_h	便利店-一盒牛奶	onPickProp	server	0	1				click.effect	0#0#0.3									1502																						
prop_shupiana_01_h	便利店-薯片-黄	onPickProp	server	0	1				click.effect	0#0#0.3									1411																						
prop_shupiana_02_h	便利店-薯片-红	onPickProp	server	0	1				click.effect	0#0#0.3									1412																						
prop_qiaokeli_01_h	便利店-巧克力	onPickProp	server	0	1				click.effect	0#0#0.3									1409																						
prop_qiaokeli_02_h	便利店-巧克力酱	onPickProp	server	0	1				click.effect	0#0#0.3									1410																						
prop_yingliao_03_h	便利店-雪碧	onPickProp	server	0	1				click.effect	0#0#0.2									1506																						
prop_yingliao_01_h	便利店-百事	onPickProp	server	0	1				click.effect	0#0#0.2									1504																						
prop_yingliao_02_h	便利店-可乐	onPickProp	server	0	1				click.effect	0#0#0.2									1505																						
prop_yingliao_06_h	便利店-凤梨	onPickProp	server	0	1				click.effect	0#0#0.2									1509																						
prop_yingliao_04_h	便利店-橙汁	onPickProp	server	0	1				click.effect	0#0#0.2									1507																						
prop_yingliao_05_h	便利店-苹果汁	onPickProp	server	0	1				click.effect	0#0#0.2									1508																						
kanhu_qiuqian_02	看护中心-秋千	onSwingInteract	server	0	4		set:g2052_interaction_icon.json image:sit	0,-2,0											sit1#0.0#-3.6#-0.3#0.0#-3.0#0.7																						
box_slide01	看护中心-大滑滑梯	onSlideLadderInteract	server	0	4		set:g2052_interaction_icon.json image:click												myplugin/slide_01	-7.2#-10.0#-1.3#0	60	Id:8405836010941382657																			
laofang_dianxiang	警局-牢房-电箱	playEffectOnPart	server	0															g2052_dianzha.effect	0#-1.6#-0.8	1																				
dianzha	警局-牢房-电闸	operationPartRotate	server	0					click.effect								dianzhakai		90	1#0#0	0#-0.3#-0.2			10																	
laofang_dianyi_dian_trigger	警局-牢房-电椅状态切换	switchPartName	server	0															box_dianyingyiputong#box_dianxingyi																						
box_dianyingyiputong	警局-电刑椅-普通	onFurnitureInteract	server	0	2				click.effect										sit1#0.0#-0.4#0.1#0.0#0.4#0.5																						
box_dianxingyi	警局-电刑椅	onFurnitureInteract	server	0	2												dianliu		g2052_boy_dianxing#0.0#-0.25#0.4#0.0#0.4#0.5																						
prop_fangbaodun	警局-防爆盾获取	onPickProp	server	0	1				click.effect										1605																						
prop_shoukao	警局-手铐获取	onPickProp	server	0	1				click.effect										1603																						
prop_jinggun	警局-警棍获取	onPickProp	server	0	1				click.effect										1604																						
jj_xiansuoban	警局-秘境黑板	OnSecretBlackboard	server	0	1						1#2013,2014								8455632906969235457#8455631445230059521		20	map001#168#27#-126																			
jj_yaoshi	警局-钥匙获取	onPickProp	server	0	1				click.effect	0#0.1#0									2003																						
yy_mingdan	医院-名单获得	onPickProp	server	0	1				click.effect	0#0.1#0									1654																						
jj_kafei	警局-咖啡	onPickProp	server	0	1				click.effect	0#0.2#0									1511																						
prop_xguang	医院-x光照片获得	onPickProp	server	0	4		set:g2052_interaction_icon.json image:get												1652																						
tp	其他-掉地图传回出生点	onEnterPortal	server	0	2														map001#-76.05#30#-5																						
baijian_hanbao	摆件-汉堡	onPickProp	server	0	1				click.effect	0#0.3#0									1401	1																					
baijian_tiantianquan	摆件-甜甜圈	onPickProp	server	0	1				click.effect	0#0.2#0									1417	1																					
baijian_regou	摆件-热狗	onPickProp	server	0	1				click.effect	0#0.2#0									1418	1																					
baijian_pizza	摆件-披萨	onPickProp	server	0	1				click.effect	0#-0.2#0									1514	1																					
baijian_banana	摆件-香蕉	onPickProp	server	0	1				click.effect	0#0.2#0									1515	1																					
baijian_orange	摆件-橙子	onPickProp	server	0	1				click.effect	0#0.2#0									1516	1																					
baijian_shala	摆件-沙拉	onPickProp	server	0	1				click.effect	0#0.3#0									1419	1																					
baijian_niunai_02	摆件-一瓶牛奶	onPickProp	server	0	1				click.effect	0#0.4#0									1503	1																					
baijian_niunai	摆件-一盒牛奶	onPickProp	server	0	1				click.effect	0#0.3#0									1502	1																					
baijian_shupiana_01	摆件-薯片-黄	onPickProp	server	0	1				click.effect	0#0.2#0									1411	1																					
baijian_shupiana_02	摆件-薯片-红	onPickProp	server	0	1				click.effect	0#0.2#0									1412	1																					
baijian_qiaokeli_01	摆件-巧克力	onPickProp	server	0	1				click.effect	0#0.2#0									1409	1																					
baijian_qiaokeli_02	摆件-巧克力酱	onPickProp	server	0	1				click.effect	0#0.2#0									1410	1																					
baijian_yingliao_03	摆件-雪碧	onPickProp	server	0	1				click.effect	0#0.2#0									1506	1																					
baijian_yingliao_01	摆件-百事	onPickProp	server	0	1				click.effect	0#0.3#0									1504	1																					
baijian_yingliao_02	摆件-可乐	onPickProp	server	0	1				click.effect	0#0.3#0									1505	1																					
baijian_yingliao_06	摆件-凤梨	onPickProp	server	0	1				click.effect	0#0.2#0									1509	1																					
baijian_yingliao_04	摆件-橙汁	onPickProp	server	0	1				click.effect	0#0.2#0									1507	1																					
baijian_yingliao_05	摆件-苹果汁	onPickProp	server	0	1				click.effect	0#0.2#0									1508	1																					
baijian_kele	摆件-可乐	onPickProp	server	0	1				click.effect	0#0.3#0									1501	1																					
baijian_jintiao	摆件-金条	onPickProp	server	0	1				click.effect	0#0.2#0									1623	1																					
baijian_meijin	摆件-美金	onPickProp	server	0	1				click.effect	0#0.2#0									1622	1																					
baijian_pingguo1	摆件-苹果1	onPickProp	server	0	1				click.effect	0#0.2#0									1413	1																					
baijian_pingguo2	摆件-苹果2	onPickProp	server	0	1				click.effect	0#0.2#0									1414	1																					
baijian_guozhi	摆件-一杯果汁	onPickProp	server	0	1				click.effect	0#0.2#0									1510	1																					
