n_id	n_type	s_cfgName	s_pos
138	1	myplugin/halloween_ghost_part_01	69.51,3.38,51.09#0,5.2,0
139	1	myplugin/halloween_ghost_part_01	53.97,1.58,32.14 #0,-94.7,0
140	1	myplugin/halloween_ghost_part_01	67.04,1.83,21.14#0,-80.3,0
141	1	myplugin/halloween_ghost_part_01	131.40,1.79,28.38#0,93.6,0
142	1	myplugin/halloween_ghost_part_01	228.82,-0.01,70.30#0,-87.1,0
143	1	myplugin/halloween_ghost_part_01	-164.80,2.65,-47.83#0,-16.4,0
144	1	myplugin/halloween_ghost_part_01	106.72,17.93,45.49#0,-86.8,0
145	1	myplugin/halloween_ghost_part_01	122.38,9.81,56.98#0,170.1,0
146	1	myplugin/halloween_ghost_part_01	7.38,0.39,9.79#0,-178.9,0
147	1	myplugin/halloween_ghost_part_01	-4.34,1.04,27.75#0,90.0,0
148	1	myplugin/halloween_ghost_part_01	-1.26,-3.86,30.21#0,95.6,0
149	1	myplugin/halloween_ghost_part_01	16.71,9.23,25.82#0,87.4,0
150	1	myplugin/halloween_ghost_part_01	-201.16,0.19,-31.73#0,-92.3,0
151	1	myplugin/halloween_ghost_part_01	-241.86,1.65,-59.74#0,3.2,0
201	1	myplugin/halloween_ghost_part_01	-35.78,5.70,-23.64#0,4.5,0
202	1	myplugin/halloween_ghost_part_01	3.39,2.65,162.10#0,-120.3,0
203	1	myplugin/halloween_ghost_part_01	-85.35,4.11,112.17#0,-122.4,0
204	1	myplugin/halloween_ghost_part_01	-199.01,1.45,-0.61#0,-139.3,0
205	1	myplugin/halloween_ghost_part_01	172.90,1.01,58.08#0,-26.2,0
206	1	myplugin/halloween_ghost_part_01	-57.81,4.38,44.99#0,83.1,0
207	1	myplugin/halloween_ghost_part_01	-115.22,6.25,306.80#0,-97.5,0
208	1	myplugin/halloween_ghost_part_01	-23.24,6.64,30.18#0,-8.8,0
209	1	myplugin/halloween_ghost_part_01	-37.33,3.12,21.90#0,179.2,0
210	1	myplugin/halloween_ghost_part_01	171.18,3.51,55.11#0,47.7,0
211	1	myplugin/halloween_ghost_part_01	105.09,23.43,67.49#0,79.5,0
212	1	myplugin/halloween_ghost_part_01	-24.89,0.11,9.10#0,140.2,0
213	1	myplugin/halloween_ghost_part_01	-85.84,5.65,53.88#0,-87.3,0
214	1	myplugin/halloween_ghost_part_01	-47.30,5.88,30.34#0,17.9,0
215	1	myplugin/halloween_ghost_part_01	2.80,13.70,-24.97#0,3.9,0
216	1	myplugin/halloween_ghost_part_01	-147.19,3.20,-1.55#0,168.5,0
217	1	myplugin/halloween_ghost_part_01	-84.09,10.27,17.36#0,-96.5,0
218	1	myplugin/halloween_ghost_part_01	-49.95,10.52,171.74#0,167.7,0
219	1	myplugin/halloween_ghost_part_01	80.20,11.48,9.52#0,172.8,0
220	1	myplugin/halloween_ghost_part_01	-202.49,10.30,0.25#0,-116.1,0
221	1	myplugin/halloween_ghost_part_01	122.40,11.10,-123.44#0,-94.2,0
222	1	myplugin/halloween_ghost_part_01	-40.51,13.42,96.93#0,145.8,0
223	1	myplugin/halloween_ghost_part_01	58.75,10.81,113.77#0,-13.2,0
224	1	myplugin/halloween_ghost_part_01	-97.09,3.49,105.83#0,-4.2,0
225	1	myplugin/halloween_ghost_part_01	60.69,4.83,70.73#0,-1.8,0
226	1	myplugin/halloween_ghost_part_01	-35.09,4.28,38.66#0,166,0
227	1	myplugin/halloween_ghost_part_01	-79.96,2.50,-22.35#0,-152.6,0
228	1	myplugin/halloween_ghost_part_01	54.33,3.57,20.74#0,-84.4,0
301	2	myplugin/halloween_ghost_part_02	-316.39,0.19,-162.63#0,-175.2,0
302	2	myplugin/halloween_ghost_part_02	241.08,1.65,13.16#0,-80.4,0
303	2	myplugin/halloween_ghost_part_02	106.04,12.52,-104.06#0,62.7,0
304	2	myplugin/halloween_ghost_part_02	118.08,3.96,-128.88#0,-91.8,0
305	2	myplugin/halloween_ghost_part_02	102.24,1.12,71.9#0,174.2,0
306	2	myplugin/halloween_ghost_part_02	-106.92,7.26,-38.73#0,-62.4,0
307	2	myplugin/halloween_ghost_part_02	-95.4,0.82,-44.86#0,0,0
308	2	myplugin/halloween_ghost_part_02	172.37,-0.00,156.04#0,-99.6,0
309	2	myplugin/halloween_ghost_part_02	86.43,0.5,53.43#0,-0.3,0
310	2	myplugin/halloween_ghost_part_02	104.22,1.12,66.94#0,-174.6,0
311	2	myplugin/halloween_ghost_part_02	-4.16,0.49,-41.45#0,-89.4,0
312	2	myplugin/halloween_ghost_part_02	130.26,0.14,147.61#0,-172.5,0
313	2	myplugin/halloween_ghost_part_02	172.18,-0.00,162.69#0,86.1,0
314	2	myplugin/halloween_ghost_part_02	6.4,17.24,58.52#0,1.8,0
315	2	myplugin/halloween_ghost_part_02	187.54,-0.00,-89.24#0,-9.3,0
316	2	myplugin/halloween_ghost_part_02	291.50,5.98,-17.71#0,117.0,0
317	2	myplugin/halloween_ghost_part_02	268.54,-0.92,-154.99#0,-0.0,0
318	2	myplugin/halloween_ghost_part_02	204.63,5.97,-29.04#0,-90.0,0
319	2	myplugin/halloween_ghost_part_02	121.27,3.96,-123.24#0,2.5,0
320	2	myplugin/halloween_ghost_part_02	299.01,38.02,-18.88#0,-176.3,0
321	2	myplugin/halloween_ghost_part_02	-2.61,4.36,66.7#0,-80.1,0
322	2	myplugin/halloween_ghost_part_02	-40.51,13.42,96.93#0,145.8,0
323	2	myplugin/halloween_ghost_part_02	134.30,12.53,-29.17#0,-101.4,0
324	1	myplugin/halloween_ghost_part_01	-114.46,1.36,30.50#0,-174.0,0
325	1	myplugin/halloween_ghost_part_01	-100.01,1.68,9.07#0,91.2,0
326	2	myplugin/halloween_ghost_part_02	-296.98,9.09,-174.09#0,-116.9,0
327	2	myplugin/halloween_ghost_part_02	109.71,48.53,-234.20#0,-11.1,0
328	2	myplugin/halloween_ghost_part_02	217.20,6.39,111.97#0,-96.6,0
329	2	myplugin/halloween_ghost_part_02	104.88,-1.54,155.54#0,93.3,0
330	2	myplugin/halloween_ghost_part_02	-285.36,71.80,-9.86#0,-89.3,0
