n_id	s_landName	s_buildName	n_regionId	n_bidId	s_initialBuildings	s_curBuildings	s_posOffset	s_rotateOffset	s_billboardOffset	s_billboardRotate	n_billboardRange	s_signOffset	s_signRotate	n_takeInCloths	n_takeInPet	n_winClothes	s_winTxt	s_winColor	s_publicOffset	s_publicRotate	n_publicRange	s_screenShot	s_landIcon	s_landMapPos	s_landAwardIcon	s_landAwardLang	s_landAwardType	s_landAwardItem
10	zhaopai09	g2052.gui.tendering.block_name.block09	1001	10010			0#0#0	0#-90#0	-11.3#3.5#-1	0#90#0	30	-10#3#0	0#-90#0				g2052.gui.tendering.award.police_chief09	38ffa4	-6.6#4.6#0	0#90#0	30	0#45#-20#0#45	set:g2052_tender.json image:zhaobiao2_bg	map001#18#38#-64#-90	set:g2052_tender.json image:g2052_icon_prop_chenhao#set:g2052_tender.json image:g2052_icon_prop_shuming			
11	zhaopai10	g2052.gui.tendering.block_name.block10	1001	10011			0#0#0	0#-90#0	-11.3#3.5#-1	0#90#0	30	-10#3#0	0#-90#0				g2052.gui.tendering.award.police_chief10	38ffa4	-6.6#4.6#0	0#90#0	30	0#45#-20#0#45	set:g2052_tender.json image:zhaobiao2_bg	map001#18#38#-76#-90	set:g2052_tender.json image:g2052_icon_prop_chenhao#set:g2052_tender.json image:g2052_icon_prop_shuming			
12	zhaobiao	g2052.gui.tendering.block_name.block1	1003	10301	myplugin/fuhuojie_danwu		-0.43#-0.2#0.38	0#-90#0	-21.3#3.5#3	0#90#0	30	-20#3#4	0#-90#0			11014	g2052.gui.tendering.award.police_chief1	38ffa4	-19.05#1.5#1.5	0#90#0	30	0#40#-26#0#57	set:g2052_tender.json image:zhaobiao1_bg	map001#-160#38#-90#-90	set:g2052_tender.json image:g2052_icon_prop_chenhao#set:g2052_tender.json image:g2052_icon_prop_shuming#set:g2052_suit_icon.json image:g2052_clothing_suits_14			
13	zhaopai01	g2052.gui.tendering.block_name.block01	1003	10302			0#0#0	0#-90#0	11.3#3.5#1	0#-90#0	30	10#3#0	0#90#0				g2052.gui.tendering.award.police_chief01	38ffa4	6.8#4.6#-0.6	0#-90#0	30	0#45#-20#0#45	set:g2052_tender.json image:zhaobiao2_bg	map001#60#38#-99.5#90	set:g2052_tender.json image:g2052_icon_prop_chenhao#set:g2052_tender.json image:g2052_icon_prop_shuming			
14	zhaopai02	g2052.gui.tendering.block_name.block02	1003	10303			0#0#0	0#-90#0	11.3#3.5#1	0#-90#0	30	10#3#0	0#90#0				g2052.gui.tendering.award.police_chief02	38ffa4	6.8#4.6#-0.6	0#-90#0	30	0#45#-20#0#45	set:g2052_tender.json image:zhaobiao2_bg	map001#60#38#-88#90	set:g2052_tender.json image:g2052_icon_prop_chenhao#set:g2052_tender.json image:g2052_icon_prop_shuming			
15	zhaopai03	g2052.gui.tendering.block_name.block03	1003	10304			0.5#0#0.3	0#-92#0	11.3#3.5#1	0#-90#0	30	10#3#0	0#90#0				g2052.gui.tendering.award.police_chief03	38ffa4	6.8#4.6#0	0#-90#0	30	0#45#-20#0#45	set:g2052_tender.json image:zhaobiao2_bg	map001#60#38#-76#90	set:g2052_tender.json image:g2052_icon_prop_chenhao#set:g2052_tender.json image:g2052_icon_prop_shuming			
16	zhaopai04	g2052.gui.tendering.block_name.block04	1003	10305			0#0#0	0#-90#0	11.3#3.5#1	0#-90#0	30	10#3#0	0#90#0				g2052.gui.tendering.award.police_chief04	38ffa4	6.8#4.6#0	0#-90#0	30	0#45#-20#0#45	set:g2052_tender.json image:zhaobiao2_bg	map001#60#38#-64#90	set:g2052_tender.json image:g2052_icon_prop_chenhao#set:g2052_tender.json image:g2052_icon_prop_shuming			
17	zhaopai05	g2052.gui.tendering.block_name.block05	1003	10306			0#0#0	0#-90#0	11.3#3.5#1	0#-90#0	30	10#3#0	0#90#0				g2052.gui.tendering.award.police_chief05	38ffa4	6.8#4.6#0	0#-90#0	30	0#45#-20#0#45	set:g2052_tender.json image:zhaobiao2_bg	map001#60#38#-52#90	set:g2052_tender.json image:g2052_icon_prop_chenhao#set:g2052_tender.json image:g2052_icon_prop_shuming			
18	zhaopai06	g2052.gui.tendering.block_name.block06	1003	10307			0#0#0	0#-90#0	11.3#3.5#1	0#-90#0	30	10#3#0	0#90#0				g2052.gui.tendering.award.police_chief06	38ffa4	6.8#4.6#0	0#-90#0	30	0#45#-20#0#45	set:g2052_tender.json image:zhaobiao2_bg	map001#60#38#-40#90	set:g2052_tender.json image:g2052_icon_prop_chenhao#set:g2052_tender.json image:g2052_icon_prop_shuming			
19	zhaopai07	g2052.gui.tendering.block_name.block07	1003	10308			0#0#0	0#-90#0	-11.3#3.5#-1	0#90#0	30	-10#3#0	0#-90#0				g2052.gui.tendering.award.police_chief07	38ffa4	-6.6#4.6#0.1	0#90#0	30	0#45#-20#0#45	set:g2052_tender.json image:zhaobiao2_bg	map001#18#38#-40#-90	set:g2052_tender.json image:g2052_icon_prop_chenhao#set:g2052_tender.json image:g2052_icon_prop_shuming			
20	zhaopai08	g2052.gui.tendering.block_name.block08	1003	10309			0#0#0	0#-90#0	-11.3#3.5#-1	0#90#0	30	-10#3#0	0#-90#0				g2052.gui.tendering.award.police_chief08	38ffa4	-6.6#4.6#0	0#90#0	30	0#45#-20#0#45	set:g2052_tender.json image:zhaobiao2_bg	map001#18#38#-52#-90	set:g2052_tender.json image:g2052_icon_prop_chenhao#set:g2052_tender.json image:g2052_icon_prop_shuming			
21	zhaopai09	g2052.gui.tendering.block_name.block09	1003	10310			0#0#0	0#-90#0	-11.3#3.5#-1	0#90#0	30	-10#3#0	0#-90#0				g2052.gui.tendering.award.police_chief09	38ffa4	-6.6#4.6#0	0#90#0	30	0#45#-20#0#45	set:g2052_tender.json image:zhaobiao2_bg	map001#18#38#-64#-90	set:g2052_tender.json image:g2052_icon_prop_chenhao#set:g2052_tender.json image:g2052_icon_prop_shuming			
22	zhaopai10	g2052.gui.tendering.block_name.block10	1003	10311			0#0#0	0#-90#0	-11.3#3.5#-1	0#90#0	30	-10#3#0	0#-90#0				g2052.gui.tendering.award.police_chief10	38ffa4	-6.6#4.6#0	0#90#0	30	0#45#-20#0#45	set:g2052_tender.json image:zhaobiao2_bg	map001#18#38#-76#-90	set:g2052_tender.json image:g2052_icon_prop_chenhao#set:g2052_tender.json image:g2052_icon_prop_shuming			
23	zhaobiao	g2052.gui.tendering.block_name.block1	1004	10401	myplugin/fuhuojie_danwu		-0.43#-0.2#0.38	0#-90#0	-21.3#3.5#3	0#90#0	30	-20#3#4	0#-90#0			11014	g2052.gui.tendering.award.police_chief1	38ffa4	-19.05#1.5#1.5	0#90#0	30	0#40#-26#0#57	set:g2052_tender.json image:zhaobiao1_bg	map001#-160#38#-90#-90	set:g2052_tender.json image:g2052_icon_prop_chenhao#set:g2052_tender.json image:g2052_icon_prop_shuming#set:g2052_suit_icon.json image:g2052_clothing_suits_14			
24	zhaopai01	g2052.gui.tendering.block_name.block01	1004	10402			0#0#0	0#-90#0	11.3#3.5#1	0#-90#0	30	10#3#0	0#90#0				g2052.gui.tendering.award.police_chief01	38ffa4	6.8#4.6#-0.6	0#-90#0	30	0#45#-20#0#45	set:g2052_tender.json image:zhaobiao2_bg	map001#60#38#-99.5#90	set:g2052_tender.json image:g2052_icon_prop_chenhao#set:g2052_tender.json image:g2052_icon_prop_shuming			
25	zhaopai02	g2052.gui.tendering.block_name.block02	1004	10403			0#0#0	0#-90#0	11.3#3.5#1	0#-90#0	30	10#3#0	0#90#0				g2052.gui.tendering.award.police_chief02	38ffa4	6.8#4.6#-0.6	0#-90#0	30	0#45#-20#0#45	set:g2052_tender.json image:zhaobiao2_bg	map001#60#38#-88#90	set:g2052_tender.json image:g2052_icon_prop_chenhao#set:g2052_tender.json image:g2052_icon_prop_shuming			
26	zhaopai03	g2052.gui.tendering.block_name.block03	1004	10404			0.5#0#0.3	0#-92#0	11.3#3.5#1	0#-90#0	30	10#3#0	0#90#0				g2052.gui.tendering.award.police_chief03	38ffa4	6.8#4.6#0	0#-90#0	30	0#45#-20#0#45	set:g2052_tender.json image:zhaobiao2_bg	map001#60#38#-76#90	set:g2052_tender.json image:g2052_icon_prop_chenhao#set:g2052_tender.json image:g2052_icon_prop_shuming			
27	zhaopai04	g2052.gui.tendering.block_name.block04	1004	10405			0#0#0	0#-90#0	11.3#3.5#1	0#-90#0	30	10#3#0	0#90#0				g2052.gui.tendering.award.police_chief04	38ffa4	6.8#4.6#0	0#-90#0	30	0#45#-20#0#45	set:g2052_tender.json image:zhaobiao2_bg	map001#60#38#-64#90	set:g2052_tender.json image:g2052_icon_prop_chenhao#set:g2052_tender.json image:g2052_icon_prop_shuming			
28	zhaopai05	g2052.gui.tendering.block_name.block05	1004	10406			0#0#0	0#-90#0	11.3#3.5#1	0#-90#0	30	10#3#0	0#90#0				g2052.gui.tendering.award.police_chief05	38ffa4	6.8#4.6#0	0#-90#0	30	0#45#-20#0#45	set:g2052_tender.json image:zhaobiao2_bg	map001#60#38#-52#90	set:g2052_tender.json image:g2052_icon_prop_chenhao#set:g2052_tender.json image:g2052_icon_prop_shuming			
29	zhaopai06	g2052.gui.tendering.block_name.block06	1004	10407			0#0#0	0#-90#0	11.3#3.5#1	0#-90#0	30	10#3#0	0#90#0				g2052.gui.tendering.award.police_chief06	38ffa4	6.8#4.6#0	0#-90#0	30	0#45#-20#0#45	set:g2052_tender.json image:zhaobiao2_bg	map001#60#38#-40#90	set:g2052_tender.json image:g2052_icon_prop_chenhao#set:g2052_tender.json image:g2052_icon_prop_shuming			
30	zhaopai07	g2052.gui.tendering.block_name.block07	1004	10408			0#0#0	0#-90#0	-11.3#3.5#-1	0#90#0	30	-10#3#0	0#-90#0				g2052.gui.tendering.award.police_chief07	38ffa4	-6.6#4.6#0.1	0#90#0	30	0#45#-20#0#45	set:g2052_tender.json image:zhaobiao2_bg	map001#18#38#-40#-90	set:g2052_tender.json image:g2052_icon_prop_chenhao#set:g2052_tender.json image:g2052_icon_prop_shuming			
31	zhaopai08	g2052.gui.tendering.block_name.block08	1004	10409			0#0#0	0#-90#0	-11.3#3.5#-1	0#90#0	30	-10#3#0	0#-90#0				g2052.gui.tendering.award.police_chief08	38ffa4	-6.6#4.6#0	0#90#0	30	0#45#-20#0#45	set:g2052_tender.json image:zhaobiao2_bg	map001#18#38#-52#-90	set:g2052_tender.json image:g2052_icon_prop_chenhao#set:g2052_tender.json image:g2052_icon_prop_shuming			
32	zhaopai09	g2052.gui.tendering.block_name.block09	1004	10410			0#0#0	0#-90#0	-11.3#3.5#-1	0#90#0	30	-10#3#0	0#-90#0				g2052.gui.tendering.award.police_chief09	38ffa4	-6.6#4.6#0	0#90#0	30	0#45#-20#0#45	set:g2052_tender.json image:zhaobiao2_bg	map001#18#38#-64#-90	set:g2052_tender.json image:g2052_icon_prop_chenhao#set:g2052_tender.json image:g2052_icon_prop_shuming			
33	zhaopai10	g2052.gui.tendering.block_name.block10	1004	10411			0#0#0	0#-90#0	-11.3#3.5#-1	0#90#0	30	-10#3#0	0#-90#0				g2052.gui.tendering.award.police_chief10	38ffa4	-6.6#4.6#0	0#90#0	30	0#45#-20#0#45	set:g2052_tender.json image:zhaobiao2_bg	map001#18#38#-76#-90	set:g2052_tender.json image:g2052_icon_prop_chenhao#set:g2052_tender.json image:g2052_icon_prop_shuming			
34	zhaobiao	g2052.gui.tendering.block_name.block1	2001	20001	myplugin/fuhuojie_danwu		-0.43#-0.2#0.38	0#-90#0	-21.3#3.5#3	0#90#0	30	-20#3#4	0#-90#0			11014	g2052.gui.tendering.award.police_chief1	38ffa4	-19.05#1.5#1.5	0#90#0	30	0#40#-26#0#57	set:g2052_tender.json image:zhaobiao1_bg	map001#-160#38#-90#-90	set:g2052_tender.json image:g2052_icon_prop_chenhao#set:g2052_tender.json image:g2052_icon_prop_shuming#set:g2052_suit_icon.json image:g2052_clothing_suits_14			
35	zhaopai01	g2052.gui.tendering.block_name.block01	2001	20002			0#0#0	0#-90#0	11.3#3.5#1	0#-90#0	30	10#3#0	0#90#0				g2052.gui.tendering.award.police_chief01	38ffa4	6.8#4.6#-0.6	0#-90#0	30	0#45#-20#0#45	set:g2052_tender.json image:zhaobiao2_bg	map001#60#38#-99.5#90	set:g2052_tender.json image:g2052_icon_prop_chenhao#set:g2052_tender.json image:g2052_icon_prop_shuming			
36	zhaopai02	g2052.gui.tendering.block_name.block02	2001	20003			0#0#0	0#-90#0	11.3#3.5#1	0#-90#0	30	10#3#0	0#90#0				g2052.gui.tendering.award.police_chief02	38ffa4	6.8#4.6#-0.6	0#-90#0	30	0#45#-20#0#45	set:g2052_tender.json image:zhaobiao2_bg	map001#60#38#-88#90	set:g2052_tender.json image:g2052_icon_prop_chenhao#set:g2052_tender.json image:g2052_icon_prop_shuming			
37	zhaopai03	g2052.gui.tendering.block_name.block03	2001	20004			0.5#0#0.3	0#-92#0	11.3#3.5#1	0#-90#0	30	10#3#0	0#90#0				g2052.gui.tendering.award.police_chief03	38ffa4	6.8#4.6#0	0#-90#0	30	0#45#-20#0#45	set:g2052_tender.json image:zhaobiao2_bg	map001#60#38#-76#90	set:g2052_tender.json image:g2052_icon_prop_chenhao#set:g2052_tender.json image:g2052_icon_prop_shuming			
38	zhaopai04	g2052.gui.tendering.block_name.block04	2001	20005			0#0#0	0#-90#0	11.3#3.5#1	0#-90#0	30	10#3#0	0#90#0				g2052.gui.tendering.award.police_chief04	38ffa4	6.8#4.6#0	0#-90#0	30	0#45#-20#0#45	set:g2052_tender.json image:zhaobiao2_bg	map001#60#38#-64#90	set:g2052_tender.json image:g2052_icon_prop_chenhao#set:g2052_tender.json image:g2052_icon_prop_shuming			
39	zhaopai05	g2052.gui.tendering.block_name.block05	2001	20006			0#0#0	0#-90#0	11.3#3.5#1	0#-90#0	30	10#3#0	0#90#0				g2052.gui.tendering.award.police_chief05	38ffa4	6.8#4.6#0	0#-90#0	30	0#45#-20#0#45	set:g2052_tender.json image:zhaobiao2_bg	map001#60#38#-52#90	set:g2052_tender.json image:g2052_icon_prop_chenhao#set:g2052_tender.json image:g2052_icon_prop_shuming			
40	zhaopai06	g2052.gui.tendering.block_name.block06	2001	20007			0#0#0	0#-90#0	11.3#3.5#1	0#-90#0	30	10#3#0	0#90#0				g2052.gui.tendering.award.police_chief06	38ffa4	6.8#4.6#0	0#-90#0	30	0#45#-20#0#45	set:g2052_tender.json image:zhaobiao2_bg	map001#60#38#-40#90	set:g2052_tender.json image:g2052_icon_prop_chenhao#set:g2052_tender.json image:g2052_icon_prop_shuming			
41	zhaopai07	g2052.gui.tendering.block_name.block07	2001	20008			0#0#0	0#-90#0	-11.3#3.5#-1	0#90#0	30	-10#3#0	0#-90#0				g2052.gui.tendering.award.police_chief07	38ffa4	-6.6#4.6#0.1	0#90#0	30	0#45#-20#0#45	set:g2052_tender.json image:zhaobiao2_bg	map001#18#38#-40#-90	set:g2052_tender.json image:g2052_icon_prop_chenhao#set:g2052_tender.json image:g2052_icon_prop_shuming			
42	zhaopai08	g2052.gui.tendering.block_name.block08	2001	20009			0#0#0	0#-90#0	-11.3#3.5#-1	0#90#0	30	-10#3#0	0#-90#0				g2052.gui.tendering.award.police_chief08	38ffa4	-6.6#4.6#0	0#90#0	30	0#45#-20#0#45	set:g2052_tender.json image:zhaobiao2_bg	map001#18#38#-52#-90	set:g2052_tender.json image:g2052_icon_prop_chenhao#set:g2052_tender.json image:g2052_icon_prop_shuming			
43	zhaopai09	g2052.gui.tendering.block_name.block09	2001	20010			0#0#0	0#-90#0	-11.3#3.5#-1	0#90#0	30	-10#3#0	0#-90#0				g2052.gui.tendering.award.police_chief09	38ffa4	-6.6#4.6#0	0#90#0	30	0#45#-20#0#45	set:g2052_tender.json image:zhaobiao2_bg	map001#18#38#-64#-90	set:g2052_tender.json image:g2052_icon_prop_chenhao#set:g2052_tender.json image:g2052_icon_prop_shuming			
44	zhaopai10	g2052.gui.tendering.block_name.block10	2001	20011			0#0#0	0#-90#0	-11.3#3.5#-1	0#90#0	30	-10#3#0	0#-90#0				g2052.gui.tendering.award.police_chief10	38ffa4	-6.6#4.6#0	0#90#0	30	0#45#-20#0#45	set:g2052_tender.json image:zhaobiao2_bg	map001#18#38#-76#-90	set:g2052_tender.json image:g2052_icon_prop_chenhao#set:g2052_tender.json image:g2052_icon_prop_shuming			
45	zhaobiao	g2052.gui.tendering.block_name.block1	8002	80201	myplugin/fuhuojie_danwu		-0.43#-0.2#0.38	0#-90#0	-21.3#3.5#3	0#90#0	30	-20#3#4	0#-90#0			11014	g2052.gui.tendering.award.police_chief1	38ffa4	-19.05#1.5#1.5	0#90#0	30	0#40#-26#0#57	set:g2052_tender.json image:zhaobiao1_bg	map001#-160#38#-90#-90	set:g2052_tender.json image:g2052_icon_prop_chenhao#set:g2052_tender.json image:g2052_icon_prop_shuming#set:g2052_suit_icon.json image:g2052_clothing_suits_14			
46	zhaopai01	g2052.gui.tendering.block_name.block01	8002	80202			0#0#0	0#-90#0	11.3#3.5#1	0#-90#0	30	10#3#0	0#90#0				g2052.gui.tendering.award.police_chief01	38ffa4	6.8#4.6#-0.6	0#-90#0	30	0#45#-20#0#45	set:g2052_tender.json image:zhaobiao2_bg	map001#60#38#-99.5#90	set:g2052_tender.json image:g2052_icon_prop_chenhao#set:g2052_tender.json image:g2052_icon_prop_shuming			
47	zhaopai02	g2052.gui.tendering.block_name.block02	8002	80203			0#0#0	0#-90#0	11.3#3.5#1	0#-90#0	30	10#3#0	0#90#0				g2052.gui.tendering.award.police_chief02	38ffa4	6.8#4.6#-0.6	0#-90#0	30	0#45#-20#0#45	set:g2052_tender.json image:zhaobiao2_bg	map001#60#38#-88#90	set:g2052_tender.json image:g2052_icon_prop_chenhao#set:g2052_tender.json image:g2052_icon_prop_shuming			
48	zhaopai03	g2052.gui.tendering.block_name.block03	8002	80204			0#0#0	0#90#0	11.3#3.5#1	0#-90#0	30	10#3#0	0#90#0				g2052.gui.tendering.award.police_chief03	38ffa4	6.8#4.6#0	0#-90#0	30	0#45#-20#0#45	set:g2052_tender.json image:zhaobiao2_bg	map001#60#38#-76#90	set:g2052_tender.json image:g2052_icon_prop_chenhao#set:g2052_tender.json image:g2052_icon_prop_shuming			
49	zhaopai04	g2052.gui.tendering.block_name.block04	8002	80205			0#0#0	0#90#0	11.3#3.5#1	0#-90#0	30	10#3#0	0#90#0				g2052.gui.tendering.award.police_chief04	38ffa4	6.8#4.6#0	0#-90#0	30	0#45#-20#0#45	set:g2052_tender.json image:zhaobiao2_bg	map001#60#38#-64#90	set:g2052_tender.json image:g2052_icon_prop_chenhao#set:g2052_tender.json image:g2052_icon_prop_shuming			
50	zhaopai05	g2052.gui.tendering.block_name.block05	8002	80206			0#0#0	0#-90#0	11.3#3.5#1	0#-90#0	30	10#3#0	0#90#0				g2052.gui.tendering.award.police_chief05	38ffa4	6.8#4.6#0	0#-90#0	30	0#45#-20#0#45	set:g2052_tender.json image:zhaobiao2_bg	map001#60#38#-52#90	set:g2052_tender.json image:g2052_icon_prop_chenhao#set:g2052_tender.json image:g2052_icon_prop_shuming			
51	zhaopai06	g2052.gui.tendering.block_name.block06	8002	80207			0#0#0	0#90#0	11.3#3.5#1	0#-90#0	30	10#3#0	0#90#0				g2052.gui.tendering.award.police_chief06	38ffa4	6.8#4.6#0	0#-90#0	30	0#45#-20#0#45	set:g2052_tender.json image:zhaobiao2_bg	map001#60#38#-40#90	set:g2052_tender.json image:g2052_icon_prop_chenhao#set:g2052_tender.json image:g2052_icon_prop_shuming			
52	zhaopai07	g2052.gui.tendering.block_name.block07	8002	80208			0#0#0	0#-90#0	-11.3#3.5#-1	0#90#0	30	-10#3#0	0#-90#0				g2052.gui.tendering.award.police_chief07	38ffa4	-6.6#4.6#0.1	0#90#0	30	0#45#-20#0#45	set:g2052_tender.json image:zhaobiao2_bg	map001#18#38#-40#-90	set:g2052_tender.json image:g2052_icon_prop_chenhao#set:g2052_tender.json image:g2052_icon_prop_shuming			
53	zhaopai08	g2052.gui.tendering.block_name.block08	8002	80209			0#0#0	0#-90#0	-11.3#3.5#-1	0#90#0	30	-10#3#0	0#-90#0				g2052.gui.tendering.award.police_chief08	38ffa4	-6.6#4.6#0	0#90#0	30	0#45#-20#0#45	set:g2052_tender.json image:zhaobiao2_bg	map001#18#38#-52#-90	set:g2052_tender.json image:g2052_icon_prop_chenhao#set:g2052_tender.json image:g2052_icon_prop_shuming			
54	zhaopai09	g2052.gui.tendering.block_name.block09	8002	80210			0#0#0	0#90#0	-11.3#3.5#-1	0#90#0	30	-10#3#0	0#-90#0				g2052.gui.tendering.award.police_chief09	38ffa4	-6.6#4.6#0	0#90#0	30	0#45#-20#0#45	set:g2052_tender.json image:zhaobiao2_bg	map001#18#38#-64#-90	set:g2052_tender.json image:g2052_icon_prop_chenhao#set:g2052_tender.json image:g2052_icon_prop_shuming			
55	zhaopai10	g2052.gui.tendering.block_name.block10	8002	80211			0#0#0	0#-90#0	-11.3#3.5#-1	0#90#0	30	-10#3#0	0#-90#0				g2052.gui.tendering.award.police_chief10	38ffa4	-6.6#4.6#0	0#90#0	30	0#45#-20#0#45	set:g2052_tender.json image:zhaobiao2_bg	map001#18#38#-76#-90	set:g2052_tender.json image:g2052_icon_prop_chenhao#set:g2052_tender.json image:g2052_icon_prop_shuming			
56	zhaobiao	g2052.gui.tendering.block_name.block1	8005	80501	myplugin/fuhuojie_danwu		-0.43#-0.2#0.38	0#-90#0	-21.3#3.5#3	0#90#0	30	-20#3#4	0#-90#0			11014	g2052.gui.tendering.award.police_chief1	38ffa4	-19.05#1.5#1.5	0#90#0	30	0#40#-26#0#57	set:g2052_tender.json image:zhaobiao1_bg	map001#-160#38#-90#-90	set:g2052_tender.json image:g2052_icon_prop_chenhao#set:g2052_tender.json image:g2052_icon_prop_shuming#set:g2052_suit_icon.json image:g2052_clothing_suits_14			
57	zhaopai01	g2052.gui.tendering.block_name.block01	8005	80502			0#0#0	0#-90#0	11.3#3.5#1	0#-90#0	30	10#3#0	0#90#0				g2052.gui.tendering.award.police_chief01	38ffa4	6.8#4.6#-0.6	0#-90#0	30	0#45#-20#0#45	set:g2052_tender.json image:zhaobiao2_bg	map001#60#38#-99.5#90	set:g2052_tender.json image:g2052_icon_prop_chenhao#set:g2052_tender.json image:g2052_icon_prop_shuming			
