weather	time	ambientSkyColor	ambientEquatorColor	ambientIntensity	dirLightColor	dirLightRotation	dirLightIntensity	fogData	fogColor
3	7#0	r:0.52 g:0.56 b:0.58 a:1.0	r:0.47 g:0.47 b:0.47 a:1.0	0.8	r:0.603921568627451 g:0.615686274509804 b:0.650980392156863 a:1.0	x:50 y:166 z:0	0.9	0.7#80#150#1	r:0.603921568627451 g:0.615686274509804 b:0.650980392156863 a:1.0
3	18#0	r:0.52 g:0.56 b:0.58 a:1.0	r:0.47 g:0.47 b:0.47 a:1.0	0.8	r:0.603921568627451 g:0.615686274509804 b:0.650980392156863 a:1.0	x:50 y:166 z:0	0.9	0.7#80#150#1	r:0.603921568627451 g:0.615686274509804 b:0.650980392156863 a:1.0
3	20#0	r:0.52 g:0.56 b:0.58 a:1.0	r:0.47 g:0.47 b:0.47 a:1.0	0.7	r:0.215686274509804 g:0.219607843137255 b:0.231372549019608 a:1.0	x:50 y:166 z:0	0.6	0.7#80#150#1	r:0.215686274509804 g:0.219607843137255 b:0.231372549019608 a:1.0
4	5#0	r:0.52 g:0.56 b:0.58 a:1.0	r:0.47 g:0.47 b:0.47 a:1.0	0.7	r:0.215686274509804 g:0.219607843137255 b:0.231372549019608 a:1.0	x:50 y:166 z:0	0.6	0.7#60#130#1	r:0.164705882352941 g:0.168627450980392 b:0.176470588235294 a:1.0
4	7#0	r:0.52 g:0.56 b:0.58 a:1.0	r:0.47 g:0.47 b:0.47 a:1.0	0.8	r:0.603921568627451 g:0.615686274509804 b:0.650980392156863 a:1.0	x:50 y:166 z:0	0.9	0.8#60#130#1	r:0.603921568627451 g:0.615686274509804 b:0.650980392156863 a:1.0
4	18#0	r:0.52 g:0.56 b:0.58 a:1.0	r:0.47 g:0.47 b:0.47 a:1.0	0.8	r:0.603921568627451 g:0.615686274509804 b:0.650980392156863 a:1.0	x:50 y:166 z:0	0.9	0.8#60#130#1	r:0.603921568627451 g:0.615686274509804 b:0.650980392156863 a:1.0
4	20#0	r:0.52 g:0.56 b:0.58 a:1.0	r:0.47 g:0.47 b:0.47 a:1.0	0.7	r:0.164705882352941 g:0.168627450980392 b:0.176470588235294 a:1.0	x:50 y:166 z:0	0.6	0.7#60#130#1	r:0.164705882352941 g:0.168627450980392 b:0.176470588235294 a:1.0
9	5#0	r:0.258823529411765 g:0.372549019607843 b:0.509803921568627 a:1.0	r:0.356862745098039 g:0.223529411764706 b:0.12156862745098 a:1.0	0.7	r:0.215686274509804 g:0.219607843137255 b:0.231372549019608 a:1.0	x:50 y:166 z:0	0.6	3.3#2#120#1	r:0.2 g:0.2 b:0.2 a:1.0
9	7#0	r:0.258823529411765 g:0.372549019607843 b:0.509803921568627 a:1.0	r:0.356862745098039 g:0.223529411764706 b:0.12156862745098 a:1.0	0.7	r:0.215686274509804 g:0.219607843137255 b:0.231372549019608 a:1.0	x:50 y:166 z:0	0.6	3.3#2#120#1	r:0.2 g:0.2 b:0.2 a:1.0
9	18#0	r:0.258823529411765 g:0.372549019607843 b:0.509803921568627 a:1.0	r:0.356862745098039 g:0.223529411764706 b:0.12156862745098 a:1.0	0.7	r:0.215686274509804 g:0.219607843137255 b:0.231372549019608 a:1.0	x:50 y:166 z:0	0.6	3.3#2#120#1	r:0.2 g:0.2 b:0.2 a:1.0
9	20#0	r:0.258823529411765 g:0.372549019607843 b:0.509803921568627 a:1.0	r:0.356862745098039 g:0.223529411764706 b:0.12156862745098 a:1.0	0.7	r:0.215686274509804 g:0.219607843137255 b:0.231372549019608 a:1.0	x:50 y:166 z:0	0.6	3.3#2#120#1	r:0.2 g:0.2 b:0.2 a:1.0
10	5#0	r:0.91 g:0.83 b:0.78 a:1.0	r:0.47 g:0.47 b:0.47 a:1.0	0.7	r:0.66 g:0.66 b:0.66 a:1.0	x:50 y:166 z:0	0.9	0.4#80#250#1	r:0.87843137254902 g:1.0 b:1.0 a:1.0 
10	7#0	r:0.91 g:0.83 b:0.78 a:1.0	r:0.47 g:0.47 b:0.47 a:1.0	0.7	r:0.66 g:0.66 b:0.66 a:1.0	x:50 y:166 z:0	0.9	0.4#80#250#1	r:0.87843137254902 g:1.0 b:1.0 a:1.0 
10	18#0	r:0.91 g:0.83 b:0.78 a:1.0	r:0.47 g:0.47 b:0.47 a:1.0	0.7	r:0.66 g:0.66 b:0.66 a:1.0	x:50 y:166 z:0	0.9	0.4#80#250#1	r:0.87843137254902 g:1.0 b:1.0 a:1.0 
10	20#0	r:0.91 g:0.83 b:0.78 a:1.0	r:0.47 g:0.47 b:0.47 a:1.0	0.7	r:0.66 g:0.66 b:0.66 a:1.0	x:50 y:166 z:0	0.9	0.4#80#250#1	r:0.87843137254902 g:1.0 b:1.0 a:1.0 
