n_id	s_cfgName		n_type	n_sort	s_icon	s_actor_name	n_isWatchAd	n_needBuy	n_lockState	n_needReceive	s_lockTips	s_feedFood	n_foodFrontDis	s_feedOffset	s_happyAction	n_foodSpeed	s_speedUpBuff	n_speedUpTime	n_speedUpCD
1010	myplugin/pet_06	恶霸犬	1	7	set:g2052_children_icon.json image:g2052_pet_06	g2052_baby_06.actor						myplugin/hanbao_pet	0.6	2#0#0		0.1			
1011	myplugin/pet_daodanmao	捣蛋猫	1	8	set:g2052_children_icon.json image:g2052_pet_daodanmao	g2052_pet_daodanmao.actor		1				myplugin/hanbao_pet	0.6	2#0#0		0.1			
1013	myplugin/pet_gugu	小鸡	1	12	set:g2052_children_icon.json image:g2052_pet_gugu_01	g2052_pet_gugu_01.actor						myplugin/hanbao_pet	0.6	2#0#0		0.1			
1014	myplugin/pet_huli	狐狸	1	13	set:g2052_children_icon.json image:g2052_pet_huli	g2052_pet_huli.actor		1	2			myplugin/hanbao_pet	0.6	2#0#0		0.1			
1015	myplugin/pet_meihualu	梅花鹿	1	14	set:g2052_children_icon.json image:g2052_pet_meihualu_01	g2052_pet_meihualu_01.actor						myplugin/hanbao_pet	0.6	2#0#0		0.1			
1016	myplugin/pet_pig	猪	1	15	set:g2052_children_icon.json image:g2052_pet_pig	g2052_pet_pig.actor						myplugin/hanbao_pet	0.6	2#0#0		0.1			
1017	myplugin/pet_songshu	松鼠	1	16	set:g2052_children_icon.json image:g2052_pet_songshu	g2052_pet_songshu.actor						myplugin/hanbao_pet	0.6	2#0#0		0.1			
1018	myplugin/pet_tunvlang	兔女郎	1	17	set:g2052_children_icon.json image:g2052_pet_tunvlang	g2052_pet_tunvlang.actor		1	4			myplugin/hanbao_pet	0.6	2#0#0		0.1			
1019	myplugin/pet_tuzi	兔子	1	17	set:g2052_new_dress.json image:pet_tuzi	g2052_pet_tuzi.actor			99			myplugin/hanbao_pet	0.6	2#0#0		0.1			
2001	myplugin/pet_xiongmao	熊猫坐骑	2	4	set:g2052_children_icon.json image:g2052_pet_xiongmao	g2052_pet_xiongmao.actor						myplugin/pingguo_pet	0.9	2#0#0		0.1	myplugin/pet_speed_up_buff_1	5	8
2002	myplugin/pet_gugu_ride	鸡坐骑	2	3	set:g2052_children_icon.json image:g2052_pet_gugu_02	g2052_pet_gugu_02.actor						myplugin/pingguo_pet	0.9	2#0#0		0.1	myplugin/pet_speed_up_buff_1	5	8
2003	myplugin/pet_caihongma	彩虹马坐骑	2	18	set:g2052_children_icon.json image:g2052_pet_caihongma	g2052_pet_caihongma.actor		1	4			myplugin/pingguo_pet	0.9	2#0#0		0.1	myplugin/pet_speed_up_buff_1	5	8
11	myplugin/pet_201	马1	2	9	set:g2052_children_icon.json image:g2052_icon_ma_02	g2052_horse_1.actor		1	4			myplugin/pingguo_pet	0.9	2#0#0		0.1	myplugin/pet_speed_up_buff_1	5	8
12	myplugin/pet_202	马2	2	9	set:g2052_children_icon.json image:g2052_icon_ma_01	g2052_horse_2.actor		1	3			myplugin/pingguo_pet	0.9	2#0#0		0.1	myplugin/pet_speed_up_buff_1	5	8
13	myplugin/pet_203	马3	2	9	set:g2052_children_icon.json image:g2052_icon_ma_03	g2052_horse_3.actor		1	3			myplugin/pingguo_pet	0.9	2#0#0		0.1	myplugin/pet_speed_up_buff_1	5	8
3001	myplugin/pet_kikong	大猩猩	3	1	set:g2052_children_icon.json image:g2052_pet_kikong	g2052_pet_kikong.actor		1				myplugin/hanbao_pet	0.6	2#0#0		0.1			
4001		广告	0	-1	set:g2052_shop_new.json image:img_0_advertisement		1												
