n_id	n_sortId	s_sceneIcon	s_careerName	n_isHideCareer	n_isNoCall		
29	37	asset/effect/image/g2052_icon_job_029.png	g2052.gui.profession.career_name29		1		运动员
34	38	asset/effect/image/g2052_icon_job_034.png	g2052.gui.profession.career_name34		1		溜冰员
22	39	asset/effect/image/g2052_icon_job_022.png	g2052.gui.profession.career_name22				救生员
5	40	asset/effect/image/g2052_icon_job_005.png	g2052.gui.profession.career_name5		1		厨师
49	41	asset/effect/image/g2052_icon_job_049.png	g2052.gui.profession.career_name49		1		美食家
19	42	asset/effect/image/g2052_icon_job_019.png	g2052.gui.profession.career_name19		1		服务员
55	43	asset/effect/image/g2052_icon_job_055.png	g2052.gui.profession.career_name55		1		船长
53	44	asset/effect/image/g2052_icon_job_053.png	g2052.gui.profession.career_name53		1		水手
54	45	asset/effect/image/g2052_icon_job_054.png	g2052.gui.profession.career_name54		1		渔夫
17	46	asset/effect/image/g2052_icon_job_017.png	g2052.gui.profession.career_name17		1		教堂
42	47	asset/effect/image/g2052_icon_job_042.png	g2052.gui.profession.career_name42				律师
45	48	asset/effect/image/g2052_icon_job_045.png	g2052.gui.profession.career_name45		1		法官
69	49	asset/effect/image/g2052_icon_job_069.png	g2052.gui.profession.career_name69	1	1		议员
43	50	asset/effect/image/g2052_icon_job_043.png	g2052.gui.profession.career_name43		1		小丑
31	51	asset/effect/image/g2052_icon_job_031.png	g2052.gui.profession.career_name31		1		科学家
38	52	asset/effect/image/g2052_icon_job_038.png	g2052.gui.profession.career_name38		1		化妆师
62	53	asset/effect/image/g2052_icon_job_062.png	g2052.gui.profession.career_name62		1		舞蹈家
44	54	asset/effect/image/g2052_icon_job_044.png	g2052.gui.profession.career_name44		1		裁缝
50	55	asset/effect/image/g2052_icon_job_050.png	g2052.gui.profession.career_name50		1		模特
51	56	asset/effect/image/g2052_icon_job_051.png	g2052.gui.profession.career_name51		1		农民
56	57	asset/effect/image/g2052_icon_job_056.png	g2052.gui.profession.career_name56		1		收藏家
57	58	asset/effect/image/g2052_icon_job_057.png	g2052.gui.profession.career_name57		1		主持人
61	59	asset/effect/image/g2052_icon_job_061.png	g2052.gui.profession.career_name61		1		记者
59	60	asset/effect/image/g2052_icon_job_059.png	g2052.gui.profession.career_name59		1		作家
65	61	asset/effect/image/g2052_icon_job_065.png	g2052.gui.profession.career_name65		1		导游
66	62	asset/effect/image/g2052_icon_job_066.png	g2052.gui.profession.career_name66		1		画家
67	63	asset/effect/image/g2052_icon_job_067.png	g2052.gui.profession.career_name67		1		花匠
68	64	asset/effect/image/g2052_icon_job_068.png	g2052.gui.profession.career_name68		1		建筑师
18	65	asset/effect/image/g2052_icon_job_018.png	g2052.gui.profession.career_name18		1		玩家
48	66	asset/effect/image/g2052_icon_job_048.png	g2052.gui.profession.career_name48		1		游戏玩家
27	67	asset/effect/image/g2052_icon_job_027.png	g2052.gui.profession.career_name27		1		起床战争玩家
20	68	asset/effect/image/g2052_icon_job_020.png	g2052.gui.profession.career_name20				清洁工
58	69	asset/effect/image/g2052_icon_job_058.png	g2052.gui.profession.career_name58				佣人
60	70	asset/effect/image/g2052_icon_job_060.png	g2052.gui.profession.career_name60				工人
28	71	asset/effect/image/g2052_icon_job_028.png	g2052.gui.profession.career_name28				邮递员
