s_dec	功能负责人	s_func	s_sync	s_triggers	s_precondition	s_bindRelation	s_nextInteract	s_p1	s_p2	s_p3	s_p4	s_p5	s_p6	s_p7	s_p8
取消手持道具交互	何洛鸣	onCancelHandSomeItem	server	1				1018#1019   可移除的手持道具ID，不填则移除所有手持							
更新子节点特效的显示隐藏	何洛鸣	onUpdateChildEffect	server	1				EffectPart1#EffectPart2  需要隐藏的特效零件名（只隐藏自己的子节点的） 	20 延迟多少帧执行，默认不延迟						
创建零件载具并移动，滑杆	何洛鸣	onCreateMovePart	server	1				myplugin/elevator  创建的零件	1#0#0 创建零件相当于交互零件的偏移	g2052_boy_sit_floor#0#0#0#0#0#0  零件载具的动作位置旋转	0#0#-6  载具移动的偏移方向	80  载具移动的时间 帧	0#0#0  下车相对载具零件的偏移	0.4 载具零件距离交互零件的水平距离，这里配置了参数2的xz就失效	
定点载具（旋转不位移）	罗心铭	rideFixedPointVehicle	server					1#1#1   挂点偏移 不需要就不填 2同理	1#1#1 初始旋转	30 最大旋转角度	1 速率放大 1为默认值 大于1加快 小于1减慢 不为负数	动作名	z   旋转轴默认z  只有 x y z 三种参数有效    		
触发打开颜色选择界面	黄建浩	triggerColorSelect	server					部件名，比如头发的话就是custom_hair							
家具改名	何洛鸣	switchFurnitureName	server					需要改名的 零件名    name1#name2   当是name1时会改成name2 反之亦然，同时会更改家具上人的动作							
点击拍照	何洛鸣	onPlayerPhotograph	server	1				3DUI的宽度：200	UI相对零件的位置偏移量：0#2#0	UI的旋转朝向xyz：0#0#0	UI的可视距离半径为  4	照片actor缩放大小： 0.5			
零件文本	何洛鸣	onInitTextDecalText	client					1#xxx#HT18#FF00FF#0#1$2#...   面序号1#多语言#字号HT18#颜色FF00FF#0左1中2右对齐#0上1中2下对齐$面序号2#。。。							
悬浮区域	何洛鸣	onUpdateFloatArea	server	2#3				myplugin/float_area_buff   漂浮区域的buff，控制漂浮动作映射	0.05 漂浮是水平移动的速度	2#12#7  漂浮范围：最小#最大#速度控制水平线	0.01#0.06  上升的反重力：最小#最大	0.001#0.006 下落的重力：最小#最大	partName#name2  这些零件有开启状态，当前零件才能触发		
添加区域buff	何洛鸣	addBuffOnPlayer	server	2#3				myplugin/player_on_fire_buff  进入区域添加的buff名	400  buff持续时间帧	small_fire_point#fireState#onFire  触发条件零件名#状态#状态值	partName#name2  这些零件有开启状态，当前零件才能触发				
房屋事件-幽灵开关	林树彬	onUpdateHouseGhost	server					1（1=幽灵，2=恶魂）	house_event_ghost_point （幽灵刷新点零件名称）	5 （幽灵刷新点激活间隔秒数）	2 （幽灵出现持续秒数）	xxx （幽灵探测器触发点名称）			
幽灵探测器触发点	林树彬	setGhostDetectorStyle	server	2#3	1#1006 （必须持有探测器）			1（进入时设置的道具状态）	2（离开时设置的道具状态）	1008（幽灵探测器物品id）	xxx（幽灵刷新点零件名称）				
地震	林树彬	onEarthquake	server					0.3（一次震动的幅度）	0.5（一次震动的时间）	2（震动持续最少秒数）	5（震动持续最多秒数）	3（震动停止最少秒数）	6（震动停止最多秒数）	house3_yizi（地震特效刷新点零件）	
物品占用	何洛鸣	onOccupationPart	server	1				60 物品占用的时间（秒，-1为永久）	g2052.gui.occupation.goods 占用物品的多语言	school_test_door#xxx  占用后触发的零件交互	school_test_name  赋名零件名	2#HT18#100#20FF00FF#1#1    面序号(0~5)#字号HT18#文本宽#文本高颜色FF00FF#0左1中2右对齐#0上1中2下对齐			
发送提示消息	林树彬	onSendMessageNotice	server					1（消息id）	1（break时是否执行，1执行，不填不执行）	2 （break时的消息id）	1 （特殊广播类型：1-特定职业）	1 （广播子类型：目前支持职业id）	1 （信息填充类型：1-触发玩家的名称）		
船刷新区域	何洛鸣	onShipMonitoring	server	2#3				1  是否上报	soundKey						
创建零件载具并移动，斜坡	何洛鸣	onWithPartDirMove	server	2#3  2开始滑动3取消滑动				myplugin/elevator  创建的零件	1#0#0 创建零件相当于玩家位置的偏移	g2052_boy_sit_floor#0#0#0#0#0#0  零件载具的动作位置旋转	0.7 移动速度（每帧）				
房屋渲染调整	罗心铭	onControlHouseLight	server	1	正常情况1 0等于关闭  不填默认0										
万圣节奖励兑换	何洛鸣	onHalloweenExchange	server	1				是否需要头顶文字提示1需要 0不需要	对应对应表的id						
发送快捷短语	何洛鸣	onPartSendShortMsg	server	1				1 对应快捷短语的id	1  1显示头顶气泡，否则不显示	1  1播放相关动作，否则不	1  1显示在小聊天框，否则不显示				
拾取巨人汉堡	何洛鸣	onGiantHamburger	server	2											
