n_id	unname1	n_isNew	n_type	n_order	n_unlock_type	n_can_give	s_icon	s_skin	s_action_map1	s_action_map2	s_action_map3	s_sound	s_skill	n_isThrowObj	n_throwTrigger	n_throwActionIndex	n_rideOnPlayerIndex	s_throwPos	s_throwCfgName	n_throwMaxNum	s_dynamic_part	s_buff_params	s_prop_params	s_buff_params 字段说明
1017	报纸		1	410	1	1	set:g2052_props_icon.json image:g2052_prop_baozhi	gun:g2052_prop_baozhi	idle:g2052_hold#run:g2052_hold_run#run:g2052_hold_run#walk:g2052_hold_walk#sprint:g2052_hold_sprint	idle:g2052_boy_hide														
1018	信封		1	409	1	1	set:g2052_props_icon.json image:g2052_prop_xinfeng	gun:g2052_prop_xinfeng	idle:g2052_hand#run:g2052_hold_run#run:g2052_hold_run#walk:g2052_hold_walk#sprint:g2052_hold_sprint	idle:g2052_boy_hide														
1019	书		1	410	1	1	set:g2052_props_icon.json image:g2052_icon_prop_shu01	gun:g2052_prop_book$gun:g2052_prop_book2$gun:g2052_prop_book3	idle:g2052_hold#run:g2052_hold_run#walk:g2052_hold_walk#sprint:g2052_hold_sprint	idle:g2052_hold	idle:g2052_hold		myplugin/skill_turnbook#myplugin/skill_turnbook#myplugin/skill_turnbook											
1021	灭火器		3	201	1		set:g2052_props_icon.json image:g2052_icon_prop_miehuoqi	gun:g2052_prop_miehuoqi	idle:g2052_hand#run:g2052_hold_run#walk:g2052_hold_walk#sprint:g2052_hold_sprint				myplugin/extinguish_fire_click											
1022	梯子		3	324	1	1	set:g2052_props_icon.json image:g2052_icon_prop_tizi	gun:g2052_prop_tizi	idle:g2052_hold#run:g2052_hold_run#walk:g2052_hold_walk#sprint:g2052_hold_sprint				myplugin/place_click	3	3				myplugin/part/ladder	1				
1031	购物篮		1	404	1	1	set:g2052_props_icon.json image:g2052_icon_prop_gouwulan	gun:g2052_prop_gouwulan	idle:g2052_skill_purse1															
1032	手推车		1	101	1		set:g2052_props_icon.json image:g2052_icon_prop_shoutuiche	gun:g2052_prop_none						1	1		5	0#0#0#0	myplugin/entity/trolley_01			"1#""rideOnNull"": ""myplugin/trolley_01"""		
1033	睡袋		1	408	1	1	set:g2052_props_icon.json image:g2052_icon_prop_shuidai	gun:g2052_prop_shuidai	idle:g2052_hold#run:g2052_hold_run#walk:g2052_hold_walk#sprint:g2052_hold_sprint				myplugin/place_click	7	3				myplugin/part/shuidai	2				
1041	拖把		1	411	1	1	set:g2052_props_icon.json image:g2052_icon_prop_tuoba	gun:g2052_prop_tuoba	idle:g2052_skill_mop															
1042	马桶塞		1	999	3	1	set:g2052_props_icon.json image:g2052_icon_prop_matongbazi	gun:g2052_prop_matongba	idle:g2052_skill_toilet	idle:g2052_skill_toilet_use														
1043	浇水壶		1	999	3		set:g2052_props_icon.json image:g2052_icon_prop_sashuihu	gun:g2052_prop_jiaoshuihu	idle:g2052_hand#run:g2052_hold_run#walk:g2052_hold_walk#sprint:g2052_hold_sprint				myplugin/skill_jiaoshui											
1044	写字板		1	107	1		set:g2052_props_icon.json image:g2052_icon_prop_xieziban	gun:g2052_prop_xieziban	idle:g2052_boy_carry2					8										
1045	鲜花		1	108	1	1	set:g2052_props_icon.json image:g2052_icon_prop_xianhua	gun:g2052_prop_xianhua	idle:g2052_give	idle:g2052_boy_peng	idle:g2052_boy_hide													
1046	礼物盒		1	109	1	1	set:g2052_props_icon.json image:g2052_icon_prop_liwuhe	gun:g2052_prop_liwuhe	idle:g2052_boy_carry2	idle:g2052_boy_hide														
1047	购物车		1	405	1		set:g2052_props_icon.json image:g2052_icon_prop_tuiche	gun:g2052_prop_tuiche	idle:g2052_rp_tuiche															
1301	大气球		2	110	1	1	set:g2052_props_icon.json image:g2052_icon_prop_qiqiu	gun:g2052_prop_balloon_big	idle:g2052_hand#run:g2052_hold_run#walk:g2052_hold_walk#sprint:g2052_hold_sprint	idle:g2052_boy_hide												1#”gravity”:-0.04		
1310	哑铃		2	501	1	1	set:g2052_props_icon.json image:g2052_icon_prop_yaling	gun:g2052_prop_yaling	idle:g2052_rp_yaling1	idle:g2052_rp_yaling2	idle:g2052_rp_yaling3													
1311	篮球		2	502	1		set:g2052_props_icon.json image:g2052_icon_prop_lanqiu	gun:g2052_prop_basketball	idle:g2052_basketball_idle#run:g2052_run#walk:g2052_walk#sprint:g2052_sprint					4	2				myplugin/part/basketball					
1312	足球		2	503	1		set:g2052_props_icon.json image:g2052_icon_prop_zuqiu	gun:g2052_prop_none						2	1			1#0#0.5#0	myplugin/part/football					
1314	网球拍		2	504	1		set:g2052_props_icon.json image:g2052_icon_prop_wangqiupai	gun:g2052_prop_wangqiupai	idle:g2052_hold#run:g2052_hold_run#walk:g2052_hold_walk#sprint:g2052_hold_sprint				myplugin/skill_attack											
1315	棒球棍1		2	505	1		set:g2052_props_icon.json image:g2052_icon_prop_gunzi	gun:g2052_prop_gunzi	idle:g2052_hold#run:g2052_hold_run#walk:g2052_hold_walk#sprint:g2052_hold_sprint	idle:g2052_boy_hide			myplugin/skill_attack#myplugin/skill_attack											
1331	电吉他		2	506	1	1	set:g2052_props_icon.json image:g2052_icon_prop_jita	gun:g2052_prop_jita_hold$gun:g2052_prop_jita	idle:g2052_boy_skateboard_idle#run:g2052_boy_skateboard_run	idle:g2052_skill_guitar#run:g2052_skill_guitar_run#walk:g2052_skill_guitar_run#sprint:g2052_skill_guitar_run		none$bgm_jita												
1351	喷雾粉		2	507	1		set:g2052_props_icon.json image:g2052_icon_prop_penwu01	gun:g2052_prop_penwu01$gun:g2052_prop_penwu02$gun:g2052_prop_penwu03	idle:g2052_hand#run:g2052_hold_run#walk:g2052_hold_walk#sprint:g2052_hold_sprint	idle:g2052_hand#run:g2052_hold_run#walk:g2052_hold_walk#sprint:g2052_hold_sprint	idle:g2052_hand#run:g2052_hold_run#walk:g2052_hold_walk#sprint:g2052_hold_sprint		myplugin/skill_penwu01#myplugin/skill_penwu02#myplugin/skill_penwu03											
1360	水枪		2	508	1		set:g2052_props_icon.json image:g2052_icon_prop_shuiqiang	gun:g2052_prop_shuiqiang	idle:g2052_skill_gun1	idle:g2052_skill_gun2	idle:g2052_skill_gun3		myplugin/skill_shuiqiang											
1401	汉堡		4	615	1	1	set:g2052_props_icon.json image:g2052_icon_prop_hanbao	gun:g2052_prop_hanbao	idle:g2052_boy_eat	idle:g2052_hold	idle:g2052_boy_hide		myplugin/place_click#myplugin/place_click#myplugin/place_click	7	3				myplugin/part/hanbao	2				
1402	雪糕筒		4	999	3	1	set:g2052_props_icon.json image:g2052_icon_prop_cuipitong	gun:g2052_prop_icecream_a	idle:g2052_hold#run:g2052_hold_run#walk:g2052_hold_walk#sprint:g2052_hold_sprint	idle:g2052_boy_hide														
1403	雪糕-巧克力		4	999	3	1	set:g2052_props_icon.json image:g2052_icon_prop_bingqiling01	gun:g2052_prop_icecream_a1	idle:g2052_boy_eat_icecream	idle:g2052_hold	idle:g2052_boy_hide													
1404	雪糕-黄		4	999	3	1	set:g2052_props_icon.json image:g2052_icon_prop_bingqiling02	gun:g2052_prop_icecream_a2	idle:g2052_boy_eat_icecream	idle:g2052_hold	idle:g2052_boy_hide													
1405	雪糕-紫		4	999	3	1	set:g2052_props_icon.json image:g2052_icon_prop_bingqiling03	gun:g2052_prop_icecream_a3	idle:g2052_boy_eat_icecream	idle:g2052_hold	idle:g2052_boy_hide													
1406	雪糕-白		4	627	1	1	set:g2052_props_icon.json image:g2052_icon_prop_bingqiling04	gun:g2052_prop_icecream_a4	idle:g2052_boy_eat_icecream	idle:g2052_hold	idle:g2052_boy_hide													
1407	雪糕-红		4	999	3	1	set:g2052_props_icon.json image:g2052_icon_prop_bingqiling05	gun:g2052_prop_icecream_a5	idle:g2052_boy_eat_icecream	idle:g2052_hold	idle:g2052_boy_hide													
1408	雪糕-蓝		4	999	3	1	set:g2052_props_icon.json image:g2052_icon_prop_bingqiling06	gun:g2052_prop_icecream_a6	idle:g2052_boy_eat_icecream	idle:g2052_hold	idle:g2052_boy_hide													
1409	巧克力		4	626	1	1	set:g2052_props_icon.json image:g2052_icon_prop_qiaokeli01	gun:g2052_prop_qiaokeli_01	idle:g2052_boy_eat	idle:g2052_hold	idle:g2052_boy_hide		myplugin/place_click#myplugin/place_click#myplugin/place_click	7	3				myplugin/part/qiaokeli01	2	1031.g2052_prop_qiaokeli_01:qiaokeli_01#1047.g2052_prop_qiaokeli01:qiaokeli01_2			
1410	巧克力酱		4	999	3	1	set:g2052_props_icon.json image:g2052_icon_prop_qiaokeli02	gun:g2052_prop_qiaokeli_02	idle:g2052_hold#run:g2052_hold_run#walk:g2052_hold_walk#sprint:g2052_hold_sprint	idle:g2052_boy_hide			myplugin/place_click	7	3				myplugin/part/qiaokeli02	2	1031.g2052_prop_qiaokeli_02:qiaokeli_02#1047.g2052_prop_qiaokeli02:qiaokeli02_2			
1411	薯片-黄		4	625	1	1	set:g2052_props_icon.json image:g2052_icon_prop_shupian01	gun:g2052_prop_shupian_01	idle:g2052_boy_eat_potato	idle:g2052_hold	idle:g2052_boy_hide		myplugin/place_click#myplugin/place_click#myplugin/place_click	7	3				myplugin/part/shupian01	2	1031.g2052_prop_shupian_01:shupian_01#1047.g2052_prop_shupian01:shupian01_2			
1412	薯片-红		4	999	3	1	set:g2052_props_icon.json image:g2052_icon_prop_shupian02	gun:g2052_prop_shupian_02	idle:g2052_boy_eat_potato	idle:g2052_hold	idle:g2052_boy_hide		myplugin/place_click#myplugin/place_click#myplugin/place_click	7	3				myplugin/part/shupian02	2	1031.g2052_prop_shupian_02:shupian_02#1047.g2052_prop_shupian02:shupian02_2			
1413	红苹果		4	620	1	1	set:g2052_props_icon.json image:g2052_icon_prop_pingguo1	gun:g2052_prop_pingguo1	idle:g2052_boy_eat	idle:g2052_hold	idle:g2052_boy_hide		myplugin/place_click#myplugin/place_click#myplugin/place_click	7	3				myplugin/part/pingguo1	2	1031.g2052_prop_apple:apple#1047.g2052_prop_apple:apple2			
1414	金苹果		4	999	3	1	set:g2052_props_icon.json image:g2052_icon_prop_pingguo2	gun:g2052_prop_pingguo2	idle:g2052_boy_eat	idle:g2052_hold	idle:g2052_boy_hide		myplugin/place_click#myplugin/place_click#myplugin/place_click	7	3				myplugin/part/pingguo2	2				
1415	糖果1		4	624	1	1	set:g2052_props_icon.json image:g2052_icon_prop_tangguo1	gun:g2052_prop_tangguo1	idle:g2052_boy_eat_icecream	idle:g2052_hold	idle:g2052_boy_hide													
1416	糖果2		4	999	3	1	set:g2052_props_icon.json image:g2052_icon_prop_tangguo2	gun:g2052_prop_tangguo2	idle:g2052_boy_eat_icecream	idle:g2052_hold	idle:g2052_boy_hide													
1417	甜甜圈		4	619	1	1	set:g2052_props_icon.json image:g2052_icon_prop_tiantianquan	gun:g2052_prop_tiantianquan	idle:g2052_boy_eat	idle:g2052_hold	idle:g2052_boy_hide		myplugin/place_click#myplugin/place_click#myplugin/place_click	7	3				myplugin/part/tiantianquan	2				
1418	热狗		4	614	1	1	set:g2052_props_icon.json image:g2052_icon_prop_regou	gun:g2052_prop_regou	idle:g2052_boy_eat	idle:g2052_hold	idle:g2052_boy_hide		myplugin/place_click#myplugin/place_click#myplugin/place_click	7	3				myplugin/part/regou	2	1031.g2052_prop_regou:regou#1047.g2052_prop_regou:regou2			
1419	沙拉		4	613	1	1	set:g2052_props_icon.json image:g2052_icon_prop_sala	gun:g2052_prop_shala	idle:g2052_boy_eat_noodles	idle:g2052_hold	idle:g2052_boy_hide		myplugin/place_click#myplugin/place_click#myplugin/place_click	7	3				myplugin/part/shala	2				
1420	烤串		4	617	1	1	set:g2052_props_icon.json image:g2052_icon_prop_kaochuan1	gun:g2052_prop_kaochuan1	idle:g2052_boy_eat	idle:g2052_hold	idle:g2052_boy_hide		myplugin/place_click#myplugin/place_click#myplugin/place_click	7	3				myplugin/part/kaochuan1	3				
1499	餐盘		4	616	1	1	set:g2052_props_icon.json image:g2052_icon_prop_canpan	gun:g2052_prop_canpan	idle:g2052_hand#run:g2052_hold_run#walk:g2052_hold_walk#sprint:g2052_hold_sprint	idle:g2052_boy_hide			myplugin/place_click#nil	7	3				myplugin/part/canpan	3				
1501	一杯可乐		4	709	1	1	set:g2052_props_icon.json image:g2052_icon_prop_kele	gun:g2052_prop_kele	idle:g2052_boy_drink	idle:g2052_hold	idle:g2052_boy_hide		myplugin/place_click#myplugin/place_click#myplugin/place_click	7	3				myplugin/part/kele	2				
1502	一盒牛奶		4	710	1	1	set:g2052_props_icon.json image:g2052_icon_prop_niunai01	gun:g2052_prop_niunai	idle:g2052_boy_drink	idle:g2052_hold	idle:g2052_baby_drinkmilk		myplugin/place_click#myplugin/place_click#myplugin/place_click	7	3				myplugin/part/niunai01	2	1031.g2052_prop_niunai:niunai#1047.g2052_prop_niunai:niunai2			
1503	一瓶牛奶		4	711	3	1	set:g2052_props_icon.json image:g2052_icon_prop_niunai02	gun:g2052_prop_niunai_02	idle:g2052_boy_drink	idle:g2052_hold	idle:g2052_boy_hide		myplugin/place_click#myplugin/place_click#myplugin/place_click	7	3				myplugin/part/niunai02	2	1031.g2052_prop_niunai_02:niunai_02#1047.g2052_prop_niunai_02:niunai_022			
1504	饮料-百事		4	705	1	1	set:g2052_props_icon.json image:g2052_icon_prop_yinliao01	gun:g2052_prop_yingliao_01	idle:g2052_boy_drink	idle:g2052_hold	idle:g2052_boy_hide		myplugin/place_click#myplugin/place_click#myplugin/place_click	7	3				myplugin/part/yinliao01	2	1031.g2052_prop_yingliao_01:yingliao_01#1047.g2052_prop_yinliao01:yinliao01_2			
1505	饮料-可乐		4	704	1	1	set:g2052_props_icon.json image:g2052_icon_prop_yinliao02	gun:g2052_prop_yingliao_02	idle:g2052_boy_drink	idle:g2052_hold	idle:g2052_boy_hide		myplugin/place_click#myplugin/place_click#myplugin/place_click	7	3				myplugin/part/yinliao02	2	1031.g2052_prop_yingliao_02:yingliao_02#1047.g2052_prop_yinliao02:yinliao02_2			
1506	饮料-雪碧		4	999	3	1	set:g2052_props_icon.json image:g2052_icon_prop_yinliao03	gun:g2052_prop_yingliao_03	idle:g2052_boy_drink	idle:g2052_hold	idle:g2052_boy_hide		myplugin/place_click#myplugin/place_click#myplugin/place_click	7	3				myplugin/part/yinliao03	2	1031.g2052_prop_yingliao_03:yingliao_03#1047.g2052_prop_yinliao03:yinliao03_2			
1507	饮料-芬达		4	999	3	1	set:g2052_props_icon.json image:g2052_icon_prop_yinliao04	gun:g2052_prop_yingliao_04	idle:g2052_boy_drink	idle:g2052_hold	idle:g2052_boy_hide		myplugin/place_click#myplugin/place_click#myplugin/place_click	7	3				myplugin/part/yinliao04	2	1031.g2052_prop_yingliao_04:yingliao_04#1047.g2052_prop_yinliao04:yinliao04_2			
1508	饮料-苹果汁		4	999	3	1	set:g2052_props_icon.json image:g2052_icon_prop_yinliao05	gun:g2052_prop_yingliao_05	idle:g2052_boy_drink	idle:g2052_hold	idle:g2052_boy_hide		myplugin/place_click#myplugin/place_click#myplugin/place_click	7	3				myplugin/part/yinliao05	2	1031.g2052_prop_yingliao_05:yingliao_05#1047.g2052_prop_yinliao05:yinliao05_2			
1509	饮料-橙汁		4	999	3	1	set:g2052_props_icon.json image:g2052_icon_prop_yinliao06	gun:g2052_prop_yingliao_06	idle:g2052_boy_drink	idle:g2052_hold	idle:g2052_boy_hide		myplugin/place_click#myplugin/place_click#myplugin/place_click	7	3				myplugin/part/yinliao06	2	1031.g2052_prop_yingliao_06:yingliao_06#1047.g2052_prop_yinliao06:yinliao06_2			
1510	饮料-一杯果汁		4	999	3	1	set:g2052_props_icon.json image:g2052_icon_prop_guozhi	gun:g2052_prop_guozhi	idle:g2052_boy_drink	idle:g2052_hold	idle:g2052_boy_hide		myplugin/place_click#myplugin/place_click#myplugin/place_click	7	3				myplugin/part/guozhi	2				
1511	饮料-咖啡		4	707	1	1	set:g2052_props_icon.json image:g2052_icon_prop_kafei	gun:g2052_prop_kafei	idle:g2052_boy_drink_coffee	idle:g2052_hand	idle:g2052_boy_hide		myplugin/place_click#myplugin/place_click#myplugin/place_click	7	3				myplugin/part/kafei	2				
1512	饮料-奶瓶		4	104	1	1	set:g2052_props_icon.json image:g2052_icon_prop_naiping	gun:g2052_prop_naiping	idle:g2052_baby_drinkmilk	idle:g2052_hold	idle:g2052_boy_hide													
1513	饮料-红酒		4	708	1	1	set:g2052_props_icon.json image:g2052_icon_prop_hongjiu	gun:g2052_prop_hongjiu	idle:g2052_boy_drink	idle:g2052_hold	idle:g2052_boy_hide		myplugin/place_click#myplugin/place_click#myplugin/place_click	7	3				myplugin/part/hongjiu	2	1031.g2052_prop_hongjiu:hongjiu#1047.g2052_prop_hongjiu:hongjiu2			
1514	披萨		4	618	1	1	set:g2052_props_icon.json image:g2052_prop_pizza01	gun:g2052_prop_pizza	idle:g2052_boy_eat	idle:g2052_hold	idle:g2052_boy_hide		myplugin/place_click#myplugin/place_click#myplugin/place_click	7	3				myplugin/part/pizza	2	1031.g2052_prop_pizza:pizza#1047.g2052_prop_pizza:pizza2			
1515	香蕉		4	622	1	1	set:g2052_props_icon.json image:g2052_prop_banana	gun:g2052_prop_banana	idle:g2052_boy_eat	idle:g2052_hold	idle:g2052_boy_hide		myplugin/place_click#myplugin/place_click#myplugin/place_click	7	3				myplugin/part/banana	2	1031.g2052_prop_banana:banana#1047.g2052_prop_banana:banana2			
1516	橙子		4	623	1	1	set:g2052_props_icon.json image:g2052_prop_orange	gun:g2052_prop_orange	idle:g2052_boy_eat	idle:g2052_hold	idle:g2052_boy_hide		myplugin/place_click#myplugin/place_click#myplugin/place_click	7	3				myplugin/part/orange	2	1031.g2052_prop_orange:orange#1047.g2052_prop_orange:orange2			
1517	矿泉水		4	701	1	1	set:g2052_props_icon.json image:g2052_icon_prop_water	gun:g2052_prop_water	idle:g2052_boy_drink	idle:g2052_hold	idle:g2052_boy_hide		myplugin/place_click#myplugin/place_click#myplugin/place_click	7	3				myplugin/part/water	2	1031.g2052_prop_water:water#1047.g2052_prop_water:water2			
1518	纸杯咖啡		4	702	1	1	set:g2052_props_icon.json image:g2052_icon_prop_latte	gun:g2052_prop_latte	idle:g2052_boy_drink	idle:g2052_hold	idle:g2052_boy_hide		myplugin/place_click#myplugin/place_click#myplugin/place_click	7	3				myplugin/part/latte	2				
1519	星冰乐咖啡		4	703	1	1	set:g2052_props_icon.json image:g2052_icon_prop_frappuccino	gun:g2052_prop_frappuccino	idle:g2052_boy_drink	idle:g2052_hold	idle:g2052_boy_hide		myplugin/place_click#myplugin/place_click#myplugin/place_click	7	3				myplugin/part/frappuccino	2				
1601	C4炸弹		3	313	1		set:g2052_props_icon.json image:g2052_icon_prop_c4	gun:g2052_prop_c4	idle:g2052_hold#run:g2052_hold_run#walk:g2052_hold_walk#sprint:g2052_hold_sprint				myplugin/skill_boom	6	3				myplugin/part/bomb				readyTime:35#vanishiTime:15#effect:g2052_c4_explode.effect#sound:explode#throwType:1#effectTime:600	
1602	C4遥控器		3	999	3	1	set:g2052_props_icon.json image:g2052_icon_prop_c4boom	gun:g2052_prop_c4control	idle:g2052_hold#run:g2052_hold_run#walk:g2052_hold_walk#sprint:g2052_hold_sprint															
1603	手铐		3	311	1	1	set:g2052_props_icon.json image:g2052_icon_prop_shoukao	gun:g2052_prop_handcuffs$gun:g2052_prop_handcuffs1	idle:g2052_hold#run:g2052_hold_run#walk:g2052_hold_walk#sprint:g2052_hold_sprint	idle:g2052_rp_beibang1														
1604	警棍		3	312	1		set:g2052_props_icon.json image:g2052_icon_prop_jingun	gun:g2052_prop_jinggun	idle:g2052_hold#run:g2052_hold_run#walk:g2052_hold_walk#sprint:g2052_hold_sprint	idle:g2052_boy_hide			myplugin/skill_attack#myplugin/skill_attack											
1605	防爆盾		3	316	1	1	set:g2052_props_icon.json image:g2052_icon_prop_fangbaodun	gun:g2052_prop_fangbaodun	idle:g2052_skill_shield															
1607	对讲机		3	317	1	1	set:g2052_props_icon.json image:g2052_icon_prop_duijiangji	gun:g2052_prop_duijiangji	idle:g2052_hold#run:g2052_hold_run#walk:g2052_hold_walk#sprint:g2052_hold_sprint	idle:g2052_skill_duijiangji#run:g2052_hold_run#walk:g2052_hold_walk#sprint:g2052_hold_sprint														
1608	烟雾弹		3	314	1		set:g2052_props_icon.json image:g2052_prop_yanwudan	gun:g2052_prop_yanwudan	idle:g2052_hold#run:g2052_hold_run#walk:g2052_hold_walk#sprint:g2052_hold_sprint				myplugin/skill_throw	6	3				myplugin/part/yanwudan				readyTime:50#vanishTime:60#effect:g2052_skill_yanwudan.effect#sound:yanwudan#throwType:2#effectTime:4000	
1609	闪光弹		3	315	1		set:g2052_props_icon.json image:g2052_prop_shanguangdan	gun:g2052_prop_shanguangdan	idle:g2052_hold#run:g2052_hold_run#walk:g2052_hold_walk#sprint:g2052_hold_sprint				myplugin/skill_throw	6	3				myplugin/part/shanguangdan				readyTime:50#vanishTime:15#effect:g2052_skill_shanguangdan.effect#sound:shanguangdan#throwType:2#effectTime:600	
1611	散弹枪		3	303	1		set:g2052_props_icon.json image:g2052_icon_prop_laifuqiang	gun:g2052_prop_shotgun	idle:g2052_skill_gun1	idle:g2052_skill_gun2	idle:g2052_skill_gun3		myplugin/skill_shotgun#myplugin/skill_shotgun2#myplugin/skill_shotgun3											
1612	步枪		3	301	1		set:g2052_props_icon.json image:g2052_icon_prop_m4	gun:gun_22.mesh	idle:g2052_skill_gun1	idle:g2052_skill_gun2	idle:g2052_skill_gun3		myplugin/skill_gun#myplugin/skill_gun2#myplugin/skill_gun3											
1613	手枪		3	304	1		set:g2052_props_icon.json image:g2052_icon_prop_shouqiang	gun:g2052_prop_shouqiang	idle:g2052_skill_pistol	idle:g2052_skill_gun2	idle:g2052_skill_gun3		myplugin/skill_pistol#myplugin/skill_pistol2#myplugin/skill_pistol3										 	
1614	狙击枪		3	305	1		set:g2052_props_icon.json image:g2052_prop_awp	gun:g2052_prop_jujiqiang	idle:g2052_skill_awp	idle:g2052_skill_gun2	idle:g2052_skill_gun3		myplugin/skill_awp#myplugin/skill_awp2#myplugin/skill_awp3											
1615	AK		3	302	1		set:g2052_props_icon.json image:g2052_prop_ak	gun:g2052_prop_ak	idle:g2052_skill_ak	idle:g2052_skill_gun2	idle:g2052_skill_gun3		myplugin/skill_ak#myplugin/skill_ak2#myplugin/skill_ak3											
1616	电击枪		3	306	1		set:g2052_props_icon.json image:g2052_prop_dianjiqiang	gun:g2052_prop_dianjiqiang	idle:g2052_skill_pistol	idle:g2052_skill_gun2	idle:g2052_skill_gun3		myplugin/skill_dianjiqiang#myplugin/skill_dianjiqiang2#myplugin/skill_dianjiqiang3											
1621	钱袋		3	307	1	1	set:g2052_props_icon.json image:g2052_icon_prop_qiandai	gun:g2052_prop_purse	idle:g2052_skill_purse1	idle:g2052_skill_purse2	idle:g2052_throw_money													
1622	美金		1	308	1	1	set:g2052_props_icon.json image:g2052_icon_prop_meijin	gun:g2052_prop_meijin	idle:g2052_hold#run:g2052_hold_run#walk:g2052_hold_walk#sprint:g2052_hold_sprint	idle:g2052_rp_money1	idle:g2052_rp_money2		myplugin/place_click	7	3				myplugin/part/meijin	1				
1623	金条		3	309	1	1	set:g2052_props_icon.json image:g2052_icon_prop_jintiao	gun:g2052_prop_jintiao	idle:g2052_hold#run:g2052_hold_run#walk:g2052_hold_walk#sprint:g2052_hold_sprint	idle:g2052_boy_hide			myplugin/place_click	7	3				myplugin/part/jintiao	1				
1624	银行卡		1	310	1	1	set:g2052_props_icon.json image:g2052_prop_yinhangka	gun:g2052_prop_yinhangka	idle:g2052_hold#run:g2052_hold_run#walk:g2052_hold_walk#sprint:g2052_hold_sprint															
1629	匕首		3	318	1		set:g2052_props_icon.json image:g2052_prop_bishou	gun:g2052_prop_bishou	idle:g2052_hold#run:g2052_hold_run#walk:g2052_hold_walk#sprint:g2052_hold_sprint	idle:g2052_boy_hide			myplugin/skill_bishou#myplugin/skill_bishou											
1630	绑绳		3	323	1	1	set:g2052_props_icon.json image:g2052_prop_bangsheng	gun:g2052_prop_bangsheng1$gun:g2052_prop_bangsheng2	idle:g2052_rp_beibang1	idle:g2052_rp_beibang2														
