n_awardId	name	n_awardType	n_itemId	s_itemName	n_itemCount	s_itemIcon	s_showName	s_showDesc	n_quality	s_actor_name	n_actor_scale	n_actor_rotateY	s_actor_uiOffset	n_actor_rotateX		
20019	兔女郎	2	1018		1	set:g2052_children_icon.json image:g2052_pet_tunvlang	g2052_gift_20019	g2052_gift_20019	4		0.51	0	100#5	0		恐龙套
20020	万圣节限定独轮车	3	1014		1	set:g2052_car_icon.json image:car_dulunche	g2052_gift_20020	g2052_gift_20020	3	g2020_car11.actor	0.45	50	100#-25	15		兔女郎
20021	摩托车头盔	1	21024		1	set:g2052_hat_icon.json image:hat_15	g2052_gift_20021	g2052_gift_20021	3		0.42	0	100#33	0		彩虹马坐骑
20022	小熊套头	1	21022		1	set:g2052_hat_icon.json image:hat_16	g2052_gift_20022	g2052_gift_20022	3	g2020_car11.actor	0.42	0	100#33	0		万圣节限定独轮车
20023	王子面罩	1	23015		1	set:g2052_head_icon.json image:head_13	g2052_gift_20023	g2052_gift_20023	3	g2052_car_motohero.actor	0.42	0	100#33	0		山地三轮
20024	沙滩裤	1	13020		1	set:g2052_pants_icon.json image:g2052_pant_111	g2052_gift_20024	g2052_gift_20024	3	g2052_car_modernmotor.actor	0.42	0	100#33	0		豪华摩托
40001	花园房	4	107		1	set:g2052_architecture_icon.json image:g2052_icon_house7	g2052_gift_40001	g2052_gift_40001	5		0.42	0	0#0	0		花园房
40002	餐厅房	4	112		1	set:g2052_architecture_icon.json image:g2052_icon_house12	g2052_gift_40002	g2052_gift_40002	5		0.42	0	0#0	0		餐厅房
40003	恐龙套	1	11022		1	set:g2052_suit_icon.json image:g2052_clothing_suits_25	g2052_gift_40003	g2052_gift_40003	5		0.42	0	0#0	0		恐龙套
40004	概念车	3	2017		1	set:g2052_car_icon.json image:car_icon_lambo	g2052_gift_40004	g2052_gift_40004	5		0.42	0	0#0	0		概念车
40005	兔子套	1	11026		1	set:g2052_suit_icon.json image:g2052_clothing_suits_24	g2052_gift_40005	g2052_gift_40005	5		0.42	0	0#0	0		兔子套
1100011	侦探上衣	1	12033		1	set:g2052_new_dress.json image:g2052_tops_14	g2052_gift_1100011	g2052_gift_1100011	4		0.42	0	100#33	0		
1100012	小兔子	2	1019		1	set:g2052_new_dress.json image:pet_tuzi	g2052_gift_1100012	g2052_gift_1100012	4		0.51	0	100#5	0		
1100013	超级摩托	3	1015		1	set:g2052_new_dress.json image:car_motuo2	g2052_gift_1100013	g2052_gift_1100013	5	g2052_car_motuo02.actor	0.42	0	100#33	0		
1100014	卡丁车	3	1016		1	set:g2052_new_dress.json image:car_f2	g2052_gift_1100014	g2052_gift_1100014	5	g2052_car_f2.actor	0.42	0	100#33	0		
