1	n_id	s_startEffect	s_startSound	s_startEffectOwner	s_skillEffect	s_skillSound	s_skillEffectOwner	s_hitEffect	s_hitSound	s_hitEffectOwner
火焰冲击	1103002	g2038_skill_c_101.effect	/sound/skill_1103002.mp3	myplugin/skill_melee_timeline	g2038_skill_none.effect		myplugin/skill_melee_attack	g2038_skill_hit_fire.effect		myplugin/buff_melee_hit
烈焰弹	1103003	g2038_skill_c_202_1.effect	/sound/skill_1103003.mp3	myplugin/skill_bullet_timeline	g2038_skill_c_202_2.effect		myplugin/skill_bullet_missile	g2038_skill_hit_fire.effect		myplugin/buff_bullet_hit
神圣之火	1103004	g2038_skill_none.effect	/sound/skill_1103004.mp3	myplugin/skill_singleSpell_timeline	g2038_skill_c_301.effect		myplugin/buff_singleSpell_attack	g2038_skill_hit_fire.effect		myplugin/buff_singleSpell_hit
风火轮	1103005	g2038_skill_c_203_1.effect	/sound/skill_1103005.mp3	myplugin/skill_bullet_timeline	g2038_skill_c_203_2.effect		myplugin/skill_bullet_missile	g2038_skill_hit_fire.effect		myplugin/buff_bullet_hit
烈焰旋涡	1103006	g2038_skill_c_402_1.effect	/sound/skill_1103006.mp3	myplugin/skill_aoe_timeline	g2038_skill_c_402_2.effect		myplugin/skill_aoe_attack	g2038_skill_c_202_1.effect		myplugin/buff_aoe_hit
火焰重拳	1103007	g2038_skill_c_102_1.effect	/sound/skill_1103007.mp3	myplugin/skill_melee_timeline	g2038_skill_none.effect		myplugin/skill_melee_attack	g2038_skill_c_102_2.effect		myplugin/buff_melee_hit
熔岩球	1103008	g2038_skill_c_202_1.effect	/sound/skill_1103008.mp3	myplugin/skill_singleSpell_timeline	g2038_skill_c_302.effect		myplugin/buff_singleSpell_attack	g2038_skill_hit_fire.effect		myplugin/buff_singleSpell_hit
涅槃诅咒	1103009	g2038_skill_c_303_1.effect	/sound/skill_1103009.mp3	myplugin/skill_status_timeline						
重生之火	1103010	g2038_skill_c_305_2.effect	/sound/skill_1103010.mp3	myplugin/skill_status_timeline						
生命原汤	1103011	g2038_skill_none.effect	/sound/skill_1103011.mp3	myplugin/skill_singleSpell_timeline	g2038_skill_b_307_1.effect		myplugin/buff_singleSpell_attack	g2038_skill_none.effect		myplugin/buff_singleSpell_hit
生命液滴	1103012	g2038_skill_none.effect	/sound/skill_1103012.mp3	myplugin/skill_singleSpell_timeline	g2038_skill_b_307_3.effect		myplugin/buff_singleSpell_attack	g2038_skill_none.effect		myplugin/buff_singleSpell_hit
炼狱爆炸	1103013	g2038_skill_c_303_1.effect	/sound/skill_1103013.mp3	myplugin/skill_aoe_timeline	g2038_skill_c_401.effect		myplugin/skill_aoe_attack	g2038_skill_hit_fire.effect		myplugin/buff_aoe_hit
熔岩拳击	1103014	g2038_skill_c_204_1.effect	/sound/skill_1103014.mp3	myplugin/skill_bullet_timeline	g2038_skill_c_204_2.effect		myplugin/skill_bullet_missile	g2038_skill_c_204_3.effect		myplugin/buff_bullet_hit
天照火	1103015	g2038_skill_c_403_1.effect	/sound/skill_1103015.mp3	myplugin/skill_aoe_timeline	g2038_skill_none.effect		myplugin/skill_aoe_attack	g2038_skill_hit_fire.effect		myplugin/buff_aoe_hit
火系群攻	1103016	g2038_skill_none.effect	/sound/skill_1103016.mp3	myplugin/skill_spell_timeline	g2038_skill_c_306.effect		myplugin/buff_spell_attack	g2038_skill_none.effect		myplugin/buff_spell_hit
高级火系群攻	1103017	g2038_skill_c_304_1.effect	/sound/skill_1103017.mp3	myplugin/skill_spellAoe_timeline	g2038_skill_c_304_2.effect		myplugin/skill_aoe_attack	g2038_skill_none.effect		myplugin/buff_aoe_hit
群灼烧	1103018	g2038_skill_c_307_1.effect	/sound/skill_1103018.mp3	myplugin/skill_spell_timeline	g2038_skill_c_307_2.effect		myplugin/buff_spell_attack	g2038_skill_hit_fire.effect		myplugin/buff_spell_hit
高级群灼烧	1103019	g2038_skill_b_305_1.effect	/sound/skill_1103019.mp3	myplugin/skill_spell_timeline	g2038_skill_b_305_2.effect		myplugin/buff_spell_attack	g2038_skill_none.effect		myplugin/buff_spell_hit
叶刃猛击	1104001	g2038_skill_none.effect	/sound/skill_1104001.mp3	myplugin/skill_melee_timeline	g2038_skill_none.effect		myplugin/skill_melee_attack	g2038_skill_d_101.effect		myplugin/buff_melee_hit
青草飞弹	1104002	g2038_skill_none.effect	/sound/skill_1104002.mp3	myplugin/skill_bullet_timeline	g2038_skill_d_201.effect		myplugin/skill_bullet_missile	g2038_skill_hit_grass.effect		myplugin/buff_bullet_hit
剧毒	1104003	g2038_skill_d_302_1.effect	/sound/skill_1104003.mp3	myplugin/skill_singleSpell_timeline	g2038_skill_d_302_2.effect		myplugin/buff_singleSpell_attack	g2038_skill_none.effect		myplugin/buff_singleSpell_hit
毒瓦斯	1104004	g2038_skill_a_402_1.effect	/sound/skill_1104004.mp3	myplugin/skill_singleSpell_timeline	g2038_skill_none.effect		myplugin/buff_singleSpell_attack	g2038_skill_a_402_2.effect		myplugin/buff_singleSpell_hit
旋转飞叶	1104005	g2038_skill_d_301.effect	/sound/skill_1104005.mp3	myplugin/skill_singleSpell_timeline	g2038_skill_d_301.effect		myplugin/buff_singleSpell_attack	g2038_skill_hit_grass.effect		myplugin/buff_singleSpell_hit
叶刃风暴	1104006	g2038_skill_d_303.effect	/sound/skill_1104006.mp3	myplugin/skill_singleSpell_timeline	g2038_skill_d_303.effect		myplugin/buff_singleSpell_attack	g2038_skill_hit_grass.effect		myplugin/buff_singleSpell_hit
丛林风暴	1104007	g2038_skill_d_403_1.effect	/sound/skill_1104007.mp3	myplugin/skill_singleSpell_timeline	g2038_skill_none.effect		myplugin/buff_singleSpell_attack	g2038_skill_d_403_3.effect		myplugin/buff_singleSpell_hit
千箭齐发	1104008	g2038_skill_d_402_1.effect	/sound/skill_1104008.mp3	myplugin/skill_aoe_timeline	g2038_skill_d_402_2.effect		myplugin/skill_aoe_attack	g2038_skill_hit_grass.effect		myplugin/buff_aoe_hit
睡眠花粉	1104009	g2038_skill_d_306_1.effect	/sound/skill_1104009.mp3	myplugin/skill_singleSpell_timeline	g2038_skill_d_306_2.effect		myplugin/buff_singleSpell_attack	g2038_skill_hit_grass.effect		myplugin/buff_singleSpell_hit
柳絮飘扬	1104010	g2038_skill_d_307_1.effect	/sound/skill_1104010.mp3	myplugin/skill_singleSpell_timeline	g2038_skill_none.effect		myplugin/buff_singleSpell_attack	g2038_skill_d_307_2.effect		myplugin/buff_singleSpell_hit
安眠花粉	1104011	g2038_skill_none.effect	/sound/skill_1104011.mp3	myplugin/skill_aoe_timeline	g2038_skill_d_401.effect		myplugin/skill_aoe_attack	g2038_skill_hit_grass.effect		myplugin/buff_aoe_hit
治愈花舞	1104012	g2038_skill_d_304.effect	/sound/skill_1104012.mp3	myplugin/skill_singleSpell_timeline	g2038_skill_none.effect		myplugin/buff_singleSpell_attack	g2038_skill_hit_grass.effect		myplugin/buff_singleSpell_hit
腐蚀炸弹	1104013	g2038_skill_none.effect	/sound/skill_1104013.mp3	myplugin/skill_bullet_timeline	g2038_skill_d_202_1.effect		myplugin/skill_bullet_missile	g2038_skill_d_202_2.effect		myplugin/buff_bullet_hit
大腐蚀炸弹	1104014	g2038_skill_none.effect	/sound/skill_1104013.mp3	myplugin/skill_bullet_timeline	g2038_skill_d_202_5.effect		myplugin/skill_bullet_missile	g2038_skill_d_202_2.effect		myplugin/buff_bullet_hit
梦貘闪光	1104015	g2038_skil_d_204_1.effect	/sound/skill_1104015.mp3	myplugin/skill_bullet_timeline	g2038_skill_d_204_2.effect		myplugin/skill_bullet_missile	g2038_skill_d_204_3.effect		myplugin/buff_bullet_hit
真·梦貘闪光	1104016	g2038_skil_d_204_1.effect	/sound/skill_1104015.mp3	myplugin/skill_bullet_timeline	g2038_skill_d_204_2.effect		myplugin/skill_bullet_missile	g2038_skill_d_204_3.effect		myplugin/buff_bullet_hit
逆生长	1104017	g2038_skil_d_205_1.effect	/sound/skill_1104017.mp3	myplugin/skill_bullet_timeline	g2038_skill_d_205_2.effect		myplugin/skill_bullet_missile	g2038_skill_d_205_3.effect		myplugin/buff_bullet_hit
退化	1104018	g2038_skil_d_205_1.effect	/sound/skill_1104017.mp3	myplugin/skill_bullet_timeline	g2038_skill_d_205_2.effect		myplugin/skill_bullet_missile	g2038_skill_d_205_3.effect		myplugin/buff_bullet_hit
草系群攻	1104019	g2038_skill_d_404.effect	/sound/skill_1104019.mp3	myplugin/skill_spellAoe_timeline	g2038_skill_none.effect		myplugin/skill_aoe_attack	g2038_skill_e_202_2.effect		myplugin/buff_aoe_hit
高级草系群攻	1104020	g2038_skill_d_405_1.effect	/sound/skill_1104020.mp3	myplugin/skill_spellAoe_timeline	g2038_skill_d_405_2.effect		myplugin/skill_aoe_attack	g2038_skill_e_202_5.effect		myplugin/buff_aoe_hit
群中毒	1104021	g2038_skill_a_403_1.effect	/sound/skill_1104004.mp3	myplugin/skill_spellAoe_timeline	g2038_skill_none.effect		myplugin/skill_aoe_attack	g2038_skill_a_403_2.effect		myplugin/buff_aoe_hit
高级群中毒	1104022	g2038_skill_a_403_5.effect	/sound/skill_1104004.mp3	myplugin/skill_spellAoe_timeline	g2038_skill_none.effect		myplugin/skill_aoe_attack	g2038_skill_a_403_6.effect		myplugin/buff_aoe_hit
黑雾球	1105001	g2038_skill_none.effect	/sound/skill_1105001.mp3	myplugin/skill_bullet_timeline	g2038_skill_e_202_1.effect		myplugin/skill_bullet_missile	g2038_skill_e_202_2.effect		myplugin/buff_bullet_hit
十字闪光	1105002	g2038_skill_e_304_1.effect	/sound/skill_1105002.mp3	myplugin/skill_singleSpell_timeline	g2038_skill_none.effect		myplugin/buff_singleSpell_attack	g2038_skill_e_304_2.effect		myplugin/buff_singleSpell_hit
暗冥球	1105003	g2038_skill_e_201_1.effect	/sound/skill_1105003.mp3	myplugin/skill_bullet_timeline	g2038_skill_e_201_2.effect		myplugin/skill_bullet_missile	g2038_skill_hit_Thunder.effect		myplugin/buff_bullet_hit
超能光波	1105004	g2038_skill_e_401_1.effect	/sound/skill_1105004.mp3	myplugin/skill_aoe_timeline	g2038_skill_e_401_2.effect		myplugin/skill_aoe_attack	g2038_skill_hit_Thunder.effect		myplugin/buff_aoe_hit
超能强念	1105005	g2038_skill_e_301_1.effect	/sound/skill_1105005.mp3	myplugin/skill_singleSpell_timeline	g2038_skill_e_301_2.effect		myplugin/buff_singleSpell_attack	g2038_skill_none.effect		myplugin/buff_singleSpell_hit
精神波动	1105006	g2038_skill_e_302_1.effect	/sound/skill_1105006.mp3	myplugin/skill_singleSpell_timeline	g2038_skill_e_302_2.effect		myplugin/buff_singleSpell_attack	g2038_skill_none.effect		myplugin/buff_singleSpell_hit
精神魔法	1105007	g2038_skill_none.effect	/sound/skill_1105007.mp3	myplugin/skill_singleSpell_timeline	g2038_skill_e_306_2.effect		myplugin/buff_singleSpell_attack	g2038_skill_none.effect		myplugin/buff_singleSpell_hit
伊邪纳岐	1105008	g2038_skill_none.effect	/sound/skill_1105008.mp3	myplugin/skill_singleSpell_timeline	g2038_skill_e_306_1.effect		myplugin/buff_singleSpell_attack	g2038_skill_none.effect		myplugin/buff_singleSpell_hit
超能闪耀	1105009	g2038_skill_e_303_1.effect	/sound/skill_1105009.mp3	myplugin/skill_singleSpell_timeline	g2038_skill_e_303_2.effect		myplugin/buff_singleSpell_attack	g2038_skill_none.effect		myplugin/buff_singleSpell_hit
念力刀	1105010	g2038_skill_e_305_1.effect	/sound/skill_1105010.mp3	myplugin/skill_singleSpell_timeline	g2038_skill_e_305_2.effect		myplugin/buff_singleSpell_attack	g2038_skill_hit.effect		myplugin/buff_singleSpell_hit
四方封印	1105011	g2038_skill_e_307_1.effect	/sound/skill_1105011.mp3	myplugin/skill_singleSpell_timeline	g2038_skill_e_307_2.effect		myplugin/buff_singleSpell_attack	g2038_skill_none.effect		myplugin/buff_singleSpell_hit
灭亡之歌	1105012	g2038_skill_e_402_1.effect	/sound/skill_1105012.mp3	myplugin/skill_singleSpell_timeline	g2038_skill_a_305_2.effect		myplugin/buff_singleSpell_attack	g2038_skill_hit.effect		myplugin/buff_singleSpell_hit
超能群攻	1105013	g2038_skill_e_404_1.effect	/sound/skill_1105013.mp3	myplugin/skill_spellAoe_timeline	g2038_skill_e_404_2.effect		myplugin/skill_aoe_attack	g2038_skill_hit_Thunder.effect		myplugin/buff_aoe_hit
高级超能群攻	1105014	g2038_skill_e_403_1.effect	/sound/skill_1105014.mp3	myplugin/skill_spellAoe2_timeline	g2038_skill_e_403_2.effect		myplugin/skill_aoe_attack	g2038_skill_hit_Thunder.effect		myplugin/buff_aoe_hit
反击技能	9101001	g2038_skill_none.effect	/sound/skill_1101001.mp3	myplugin/skill_melee_timeline	g2038_skill_none.effect		myplugin/skill_melee_attack	g2038_skill_a_101.effect		myplugin/buff_melee_hit
混乱打自己	9101002	g2038_skill_none.effect	/sound/skill_101001.mp3	myplugin/skill_self_attack				g2038_skill_hit.effect		myplugin/buff_self_hit
