字段名称	id		name	bookId	fullName	mutateFullName	icon	uiScale	uiOffsetZ	uiOffsetY	levelRange	expMultiple	sexWeight	race	evolutionRule	maxWake	catchProbability	runawayProbability	intro	price	mutateHp	mutateSpeed	mutatepAtk	mutatepDef	mutatesAtk	mutatesDef	mutateCost	level_hpMultiple	level_speedMultiple	level_pAtkMultiple	level_pDefMultiple	level_sAtkMultiple	level_sDefMultiple	star_hpMultiple	star_speedMultiple	star_pAtkMultiple	star_pDefMultiple	star_sAtkMultiple	star_sDefMultiple	wake_hpMultiple	wake_speedMultiple	wake_pAtkMultiple	wake_pDefMultiple	wake_sAtkMultiple	wake_sDefMultiple	quality	starLevel
03_3	10400103	森猎狼	10400103_name	38	myplugin/pet_10400103	myplugin/pet_20400103	set:g2038_pokemon_icon.json image:pet_03_3	0.67	0	0.05	32#60	1	1,50#2,50	4	0	4	0.5	0.1		10	212.5	0	95	85	95	85	214#30	0.85	0.85	0.95	0.85	0.95	0.85	0.85	0.85	0.95	0.85	0.95	0.85	0.85	0.85	0.75	0.85	0.75	0.85	2	3
04_1	10200201	小咬鲨	10200201_name	39	myplugin/pet_10200201	myplugin/pet_10300801	set:g2038_pokemon_icon.json image:pet_04_1	0.65	0	-0.1	1#17	1	1,50#2,50	2	10200202#2	4	0.5	0.1		10	212.5	0	95	85	95	85		0.85	0.85	0.95	0.85	0.95	0.85	0.85	0.85	0.95	0.85	0.95	0.85	0.85	0.85	0.75	0.85	0.75	0.85	2	3
04_2	10200202	尼尔鲨	10200202_name	40	myplugin/pet_10200202	myplugin/pet_10300801	set:g2038_pokemon_icon.json image:pet_04_2	0.7	0	0	18#31	1	1,50#2,50	2	10200203#4	4	0.5	0.1		10	212.5	0	95	85	95	85		0.85	0.85	0.95	0.85	0.95	0.85	0.85	0.85	0.95	0.85	0.95	0.85	0.85	0.85	0.75	0.85	0.75	0.85	2	3
04_3	10200203	暴噬鲨	10200203_name	41	myplugin/pet_10200203	myplugin/pet_10300801	set:g2038_pokemon_icon.json image:pet_04_3	0.7	0	0	32#60	1	1,50#2,50	2	0	4	0.5	0.1		10	212.5	0	95	85	95	85		0.85	0.85	0.95	0.85	0.95	0.85	0.85	0.85	0.95	0.85	0.95	0.85	0.85	0.85	0.75	0.85	0.75	0.85	2	3
05_1	10300201	火苗熊	10300201_name	42	myplugin/pet_10300201	myplugin/pet_10300801	set:g2038_pokemon_icon.json image:pet_05_1	0.65	0	-0.1	1#17	1	1,50#2,50	3	10300202#2	4	0.5	0.1		10	212.5	0	95	85	95	85		0.85	0.85	0.95	0.85	0.95	0.85	0.85	0.85	0.95	0.85	0.95	0.85	0.85	0.85	0.75	0.85	0.75	0.85	2	3
05_2	10300202	烈火熊	10300202_name	43	myplugin/pet_10300202	myplugin/pet_10300801	set:g2038_pokemon_icon.json image:pet_05_2	0.65	0	0	18#31	1	1,50#2,50	3	10300203#4	4	0.5	0.1		10	212.5	0	95	85	95	85		0.85	0.85	0.95	0.85	0.95	0.85	0.85	0.85	0.95	0.85	0.95	0.85	0.85	0.85	0.75	0.85	0.75	0.85	2	3
05_3	10300203	酋长熊	10300203_name	44	myplugin/pet_10300203	myplugin/pet_10300801	set:g2038_pokemon_icon.json image:pet_05_3	0.7	0	0	32#60	1	1,50#2,50	3	0	4	0.5	0.1		10	212.5	0	95	85	95	85		0.85	0.85	0.95	0.85	0.95	0.85	0.85	0.85	0.95	0.85	0.95	0.85	0.85	0.85	0.75	0.85	0.75	0.85	2	3
06_1	10400201	芽芽鹿	10400201_name	45	myplugin/pet_10400201	myplugin/pet_10300801	set:g2038_pokemon_icon.json image:pet_06_1	0.8	0	-0.1	1#17	1	1,50#2,50	4	10400202#2	4	0.5	0.1		10	212.5	0	95	85	95	85		0.85	0.85	0.95	0.85	0.95	0.85	0.85	0.85	0.95	0.85	0.95	0.85	0.85	0.85	0.75	0.85	0.75	0.85	2	3
06_2	10400202	格林鹿	10400202_name	46	myplugin/pet_10400202	myplugin/pet_10300801	set:g2038_pokemon_icon.json image:pet_06_2	0.72	0	0	18#31	1	1,50#2,50	4	10400203#4	4	0.5	0.1		10	212.5	0	95	85	95	85		0.85	0.85	0.95	0.85	0.95	0.85	0.85	0.85	0.95	0.85	0.95	0.85	0.85	0.85	0.75	0.85	0.75	0.85	2	3
06_3	10400203	雷格鹿	10400203_name	47	myplugin/pet_10400203	myplugin/pet_10300801	set:g2038_pokemon_icon.json image:pet_06_3	0.7	0	0	32#60	1	1,50#2,50	4	0	4	0.5	0.1		10	212.5	0	95	85	95	85		0.85	0.85	0.95	0.85	0.95	0.85	0.85	0.85	0.95	0.85	0.95	0.85	0.85	0.85	0.75	0.85	0.75	0.85	2	3
07_1	10100101	霹雳熊	10100101_name	48	myplugin/pet_10100101	myplugin/pet_10300801	set:g2038_pokemon_icon.json image:pet_07_1	0.59	0	0	1#17	1	1,50#2,50	1	10100102#2	4	0.5	0.1		10	212.5	0	95	85	95	85		0.85	0.85	0.95	0.85	0.95	0.85	0.85	0.85	0.95	0.85	0.95	0.85	0.85	0.85	0.75	0.85	0.75	0.85	2	3
07_2	10100102	火箭熊	10100102_name	49	myplugin/pet_10100102	myplugin/pet_10300801	set:g2038_pokemon_icon.json image:pet_07_2	0.62	0	0	18#60	1	1,50#2,50	1	0	4	0.5	0.1		10	212.5	0	95	85	95	85		0.85	0.85	0.95	0.85	0.95	0.85	0.85	0.85	0.95	0.85	0.95	0.85	0.85	0.85	0.75	0.85	0.75	0.85	2	3
08_1	10300301	皮皮鸟	10300301_name	23	myplugin/pet_10300301	myplugin/pet_10300801	set:g2038_pokemon_icon.json image:pet_08_1	0.79	0	-0.02	1#17	1	1,50#2,50	3	10300302#2	5	0.01	0.1		10	250	0	100	100	100	100		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	4
08_2	10300302	皮亚鸟	10300302_name	24	myplugin/pet_10300302	myplugin/pet_10300801	set:g2038_pokemon_icon.json image:pet_08_2	0.88	0	-0.02	18#60	1	1,50#2,50	3	0	5	0.01	0.1		10	250	0	100	100	100	100		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	4
09_1	10200301	拉肯	10200301_name	58	myplugin/pet_10200301	myplugin/pet_10300801	set:g2038_pokemon_icon.json image:pet_09_1	0.88	0	-0.05	1#17	1	1,50#2,50	2	10200302#2	3	0.85	0.1		10	187.5	0	90	75	90	75		0.75	0.75	0.9	0.75	0.9	0.75	0.75	0.75	0.9	0.75	0.9	0.75	0.75	0.75	0.5	0.75	0.5	0.75	1	1
09_2	10200302	古德拉	10200302_name	59	myplugin/pet_10200302	myplugin/pet_10300801	set:g2038_pokemon_icon.json image:pet_09_2	0.74	0	0	18#60	1	1,50#2,50	2	0	3	0.85	0.1		10	187.5	0	90	75	90	75		0.75	0.75	0.9	0.75	0.9	0.75	0.75	0.75	0.9	0.75	0.9	0.75	0.75	0.75	0.5	0.75	0.5	0.75	1	1
10_1	10300401	小娜拉	10300401_name	60	myplugin/pet_10300401	myplugin/pet_10300801	set:g2038_pokemon_icon.json image:pet_10_1	0.57	0	-0.1	1#17	1	1,50#2,50	3	10300402#2	3	0.85	0.1		10	187.5	0	90	75	90	75		0.75	0.75	0.9	0.75	0.9	0.75	0.75	0.75	0.9	0.75	0.9	0.75	0.75	0.75	0.5	0.75	0.5	0.75	1	1
10_2	10300402	肯蒂娜	10300402_name	61	myplugin/pet_10300402	myplugin/pet_10300801	set:g2038_pokemon_icon.json image:pet_10_2	0.63	0	0	18#60	1	1,50#2,50	3	0	3	0.85	0.1		10	187.5	0	90	75	90	75		0.75	0.75	0.9	0.75	0.9	0.75	0.75	0.75	0.9	0.75	0.9	0.75	0.75	0.75	0.5	0.75	0.5	0.75	1	1
11_1	10100201	旋风隼	10100201_name	50	myplugin/pet_10100201	myplugin/pet_10300801	set:g2038_pokemon_icon.json image:pet_11_1	0.59	0	-0.02	1#17	1	1,50#2,50	1	10100202#2	4	0.5	0.1		10	212.5	0	95	85	95	85		0.85	0.85	0.95	0.85	0.95	0.85	0.85	0.85	0.95	0.85	0.95	0.85	0.85	0.85	0.75	0.85	0.75	0.85	2	3
11_2	10100202	疾风隼	10100202_name	51	myplugin/pet_10100202	myplugin/pet_10300801	set:g2038_pokemon_icon.json image:pet_11_2	0.65	0	-0.02	18#60	1	1,50#2,50	1	0	4	0.5	0.1		10	212.5	0	95	85	95	85		0.85	0.85	0.95	0.85	0.95	0.85	0.85	0.85	0.95	0.85	0.95	0.85	0.85	0.85	0.75	0.85	0.75	0.85	2	3
12_1	10100301	格斗小子	10100301_name	62	myplugin/pet_10100301	myplugin/pet_10300801	set:g2038_pokemon_icon.json image:pet_12_1	0.62	0	-0.1	1#17	1	1,50#2,50	1	10100302#2	3	1	0.1		10	187.5	0	90	75	90	75		0.75	0.75	0.9	0.75	0.9	0.75	0.75	0.75	0.9	0.75	0.9	0.75	0.75	0.75	0.5	0.75	0.5	0.75	1	1
12_2	10100302	格斗拳王	10100302_name	63	myplugin/pet_10100302	myplugin/pet_10300801	set:g2038_pokemon_icon.json image:pet_12_2	0.65	0	0	18#60	1	1,50#2,50	1	0	3	0.85	0.1		10	187.5	0	90	75	90	75		0.75	0.75	0.9	0.75	0.9	0.75	0.75	0.75	0.9	0.75	0.9	0.75	0.75	0.75	0.5	0.75	0.5	0.75	1	1
13_1	10300501	小紫驹	10300501_name	64	myplugin/pet_10300501	myplugin/pet_10300801	set:g2038_pokemon_icon.json image:pet_13_1	0.63	0	-0.2	1#17	1	1,50#2,50	3	10300502#2	3	0.85	0.1		10	187.5	0	90	75	90	75		0.75	0.75	0.9	0.75	0.9	0.75	0.75	0.75	0.9	0.75	0.9	0.75	0.75	0.75	0.5	0.75	0.5	0.75	1	1
13_2	10300502	莎马特	10300502_name	65	myplugin/pet_10300502	myplugin/pet_10300801	set:g2038_pokemon_icon.json image:pet_13_2	0.555	0	-0.035	18#60	1	1,50#2,50	3	0	3	0.85	0.1		10	187.5	0	90	75	90	75		0.75	0.75	0.9	0.75	0.9	0.75	0.75	0.75	0.9	0.75	0.9	0.75	0.75	0.75	0.5	0.75	0.5	0.75	1	1
14_1	10400301	月芽鼠	10400301_name	66	myplugin/pet_10400301	myplugin/pet_10300801	set:g2038_pokemon_icon.json image:pet_14_1	0.55	0	-0.1	1#17	1	1,50#2,50	4	10400302#2	3	0.85	0.1		10	187.5	0	90	75	90	75		0.75	0.75	0.9	0.75	0.9	0.75	0.75	0.75	0.9	0.75	0.9	0.75	0.75	0.75	0.5	0.75	0.5	0.75	1	1
14_2	10400302	月华鼠	10400302_name	67	myplugin/pet_10400302	myplugin/pet_10300801	set:g2038_pokemon_icon.json image:pet_14_2	0.47	0	0	18#60	1	1,50#2,50	4	0	3	0.85	0.1		10	187.5	0	90	75	90	75		0.75	0.75	0.9	0.75	0.9	0.75	0.75	0.75	0.9	0.75	0.9	0.75	0.75	0.75	0.5	0.75	0.5	0.75	1	1
15_1	10400401	含羞花	10400401_name	52	myplugin/pet_10400401	myplugin/pet_10300801	set:g2038_pokemon_icon.json image:pet_15_1	0.55	0	-0.02	1#17	1	1,50#2,50	4	10400402#2	4	0.5	0.1		10	212.5	0	95	85	95	85		0.85	0.85	0.95	0.85	0.95	0.85	0.85	0.85	0.95	0.85	0.95	0.85	0.85	0.85	0.75	0.85	0.75	0.85	2	3
15_2	10400402	洛图斯	10400402_name	53	myplugin/pet_10400402	myplugin/pet_10300801	set:g2038_pokemon_icon.json image:pet_15_2	0.63	0	0.02	18#60	1	1,50#2,50	4	0	4	0.5	0.1		10	212.5	0	95	85	95	85		0.85	0.85	0.95	0.85	0.95	0.85	0.85	0.85	0.95	0.85	0.95	0.85	0.85	0.85	0.75	0.85	0.75	0.85	2	3
16_1	10300601	橘蝶蛹	10300601_name	54	myplugin/pet_10300601	myplugin/pet_10300801	set:g2038_pokemon_icon.json image:pet_16_1	0.55	0	-0.02	1#17	1	1,50#2,50	3	10300602#2	4	0.5	0.1		10	212.5	0	95	85	95	85		0.85	0.85	0.95	0.85	0.95	0.85	0.85	0.85	0.95	0.85	0.95	0.85	0.85	0.85	0.75	0.85	0.75	0.85	2	3
16_2	10300602	烈火蝶	10300602_name	55	myplugin/pet_10300602	myplugin/pet_10300801	set:g2038_pokemon_icon.json image:pet_16_2	0.43	0	-0.02	18#60	1	1,50#2,50	3	0	4	0.5	0.1		10	212.5	0	95	85	95	85		0.85	0.85	0.95	0.85	0.95	0.85	0.85	0.85	0.95	0.85	0.95	0.85	0.85	0.85	0.75	0.85	0.75	0.85	2	3
17_1	10200401	小居蟹	10200401_name	68	myplugin/pet_10200401	myplugin/pet_10300801	set:g2038_pokemon_icon.json image:pet_17_1	0.63	0	-0.2	1#17	1	1,50#2,50	2	10200402#2	3	0.85	0.1		10	187.5	0	90	75	90	75		0.75	0.75	0.9	0.75	0.9	0.75	0.75	0.75	0.9	0.75	0.9	0.75	0.75	0.75	0.5	0.75	0.5	0.75	1	1
17_2	10200402	长尾蟹	10200402_name	69	myplugin/pet_10200402	myplugin/pet_10300801	set:g2038_pokemon_icon.json image:pet_17_2	0.36	0	0	18#60	1	1,50#2,50	2	0	3	0.85	0.1		10	187.5	0	90	75	90	75		0.75	0.75	0.9	0.75	0.9	0.75	0.75	0.75	0.9	0.75	0.9	0.75	0.75	0.75	0.5	0.75	0.5	0.75	1	1
18_1	10400501	小荷蛙	10400501_name	70	myplugin/pet_10400501	myplugin/pet_10300801	set:g2038_pokemon_icon.json image:pet_18_1	0.65	0	-0.1	1#17	1	1,50#2,50	4	10400502#2	3	0.85	0.1		10	187.5	0	90	75	90	75		0.75	0.75	0.9	0.75	0.9	0.75	0.75	0.75	0.9	0.75	0.9	0.75	0.75	0.75	0.5	0.75	0.5	0.75	1	1
18_2	10400502	荷叶蛙王	10400502_name	71	myplugin/pet_10400502	myplugin/pet_10300801	set:g2038_pokemon_icon.json image:pet_18_2	0.59	0	-0.01	18#60	1	1,50#2,50	4	0	3	0.85	0.1		10	187.5	0	90	75	90	75		0.75	0.75	0.9	0.75	0.9	0.75	0.75	0.75	0.9	0.75	0.9	0.75	0.75	0.75	0.5	0.75	0.5	0.75	1	1
19_1	10200501	凯希	10200501_name	56	myplugin/pet_10200501	myplugin/pet_10300801	set:g2038_pokemon_icon.json image:pet_19_1	0.75	0	-0.05	1#17	1	1,50#2,50	2	10200502#2	4	0.5	0.1		10	212.5	0	95	85	95	85		0.85	0.85	0.95	0.85	0.95	0.85	0.85	0.85	0.95	0.85	0.95	0.85	0.85	0.85	0.75	0.85	0.75	0.85	2	3
19_2	10200502	凯特	10200502_name	57	myplugin/pet_10200502	myplugin/pet_10300801	set:g2038_pokemon_icon.json image:pet_19_2	0.6	0	0	18#60	1	1,50#2,50	2	0	4	0.5	0.1		10	212.5	0	95	85	95	85		0.85	0.85	0.95	0.85	0.95	0.85	0.85	0.85	0.95	0.85	0.95	0.85	0.85	0.85	0.75	0.85	0.75	0.85	2	3
20_1	10200601	贝尔	10200601_name	21	myplugin/pet_10200601	myplugin/pet_10300801	set:g2038_pokemon_icon.json image:pet_20_1	0.55	0	-0.02	1#17	1	1,50#2,50	2	10200602#2	5	0.01	0.1		10	250	0	100	100	100	100		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	4
20_2	10200602	人鱼公主	10200602_name	22	myplugin/pet_10200602	myplugin/pet_10300801	set:g2038_pokemon_icon.json image:pet_20_2	0.49	0	0.05	18#60	1	1,50#2,50	2	0	5	0.01	0.1		10	250	0	100	100	100	100		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	4
21_1	10400601	艾芙	10400601_name	19	myplugin/pet_10400601	myplugin/pet_10300801	set:g2038_pokemon_icon.json image:pet_21_1	0.7	0	0	1#17	1	1,50#2,50	4	10400602#2	5	0.01	0.1		10	250	0	100	100	100	100		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	4
21_2	10400602	莱茵	10400602_name	20	myplugin/pet_10400602	myplugin/pet_10300801	set:g2038_pokemon_icon.json image:pet_21_2	0.54	0	-0.02	18#60	1	1,50#2,50	4	0	5	0.01	0.1		10	250	0	100	100	100	100		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	4
22	10200701	海魅魔蛇	10200701_name	26	myplugin/pet_10200701	myplugin/pet_10300801	set:g2038_pokemon_icon.json image:pet_22_1	0.55	0	0	1#60	1	1,50#2,50	2	0	5	0.01	0.1		10	250	0	100	100	100	100		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	4
23	10300701	埃文德	10300701_name	27	myplugin/pet_10300701	myplugin/pet_10300801	set:g2038_pokemon_icon.json image:pet_23_1	0.65	0	0.07	1#60	1	1,50#2,50	3	0	5	0.01	0.1		10	250	0	100	100	100	100		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	4
24	10400701	巫森精灵	10400701_name	28	myplugin/pet_10400701	myplugin/pet_10300801	set:g2038_pokemon_icon.json image:pet_35_1	0.62	0	0	1#60	1	1,50#2,50	4	0	5	0.01	0.1		10	250	0	100	100	100	100		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	4
25	10200801	欧塞顿	10200801_name	17	myplugin/pet_10200801	myplugin/pet_10300801	set:g2038_pokemon_icon.json image:pet_28_1	0.64	0	0.2	1#60	1	1,50#2,50	2	0	5	0.01	0.1		10	250	0	100	100	100	100		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	4
26	10300801	赫斯托斯	10300801_name	15	myplugin/pet_10300801	myplugin/pet_10300801	set:g2038_pokemon_icon.json image:pet_29_1	0.53	0	-0.02	1#60	1	1,50#2,50	3	0	5	0.01	0.1		10	250	0	100	100	100	100		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	4
27	10400801	艾德米特	10400801_name	16	myplugin/pet_10400801	myplugin/pet_10300801	set:g2038_pokemon_icon.json image:pet_30_1	0.62	0	-0.02	1#60	1	1,50#2,50	4	0	5	0.01	0.1		10	250	0	100	100	100	100		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	4
28	10500101	怠倦哥特	10500101_name	18	myplugin/pet_10500101	myplugin/pet_10300801	set:g2038_pokemon_icon.json image:pet_25_1	0.58	0	-0.02	1#60	1	1,50#2,50	5	0	5	0.01	0.1		10	250	0	100	100	100	100		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	4
29	10500201	霍克	10500201_name	29	myplugin/pet_10500201	myplugin/pet_10300801	set:g2038_pokemon_icon.json image:pet_26_1	0.46	-0.3	-0.02	1#60	1	1,50#2,50	5	0	5	0.01	0.1		10	250	0	100	100	100	100		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	4
30	10500301	派勒瑟斯	10500301_name	25	myplugin/pet_10500301	myplugin/pet_10300801	set:g2038_pokemon_icon.json image:pet_27_1	0.54	0	-0.02	1#60	1	1,50#2,50	5	0	5	0.01	0.1		10	250	0	100	100	100	100		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	4
31	10201001	托特	10201001_name	11	myplugin/pet_10201001	myplugin/pet_10300801	set:g2038_pokemon_icon.json image:pet_37_1 	0.5	0	-0.1	1#60	1	1,50#2,50	2	0	4	0.5	0.1		10	212.5	0	95	85	95	85		0.85	0.85	0.95	0.85	0.95	0.85	0.85	0.85	0.95	0.85	0.95	0.85	0.85	0.85	0.75	0.85	0.75	0.85	2	3
32	10301001	贝拉	10301001_name	12	myplugin/pet_10301001	myplugin/pet_10300801	set:g2038_pokemon_icon.json image:pet_41_1 	0.48	0	-0.1	1#60	1	1,50#2,50	3	0	4	0.5	0.1		10	212.5	0	95	85	95	85		0.85	0.85	0.95	0.85	0.95	0.85	0.85	0.85	0.95	0.85	0.95	0.85	0.85	0.85	0.75	0.85	0.75	0.85	2	3
33	10401101	雷可犬	10401101_name	13	myplugin/pet_10401101	myplugin/pet_10300801	set:g2038_pokemon_icon.json image:pet_33_1	0.6	0	-0.1	1#60	1	1,50#2,50	4	0	4	0.5	0.1		10	212.5	0	95	85	95	85		0.85	0.85	0.95	0.85	0.95	0.85	0.85	0.85	0.95	0.85	0.95	0.85	0.85	0.85	0.75	0.85	0.75	0.85	2	3
34	10100501	枫叶熊	10100501_name	14	myplugin/pet_10100501	myplugin/pet_10300801	set:g2038_pokemon_icon.json image:pet_45_1 	0.6	0	-0.1	1#60	1	1,50#2,50	1	0	4	0.5	0.1		10	212.5	0	95	85	95	85		0.85	0.85	0.95	0.85	0.95	0.85	0.85	0.85	0.95	0.85	0.95	0.85	0.85	0.85	0.75	0.85	0.75	0.85	2	3
35	10201201	布拉泽	10201201_name	9	myplugin/pet_10201201	myplugin/pet_10300801	set:g2038_pokemon_icon.json image:pet_39_1 	0.5	0	0	1#60	1	1,50#2,50	2	0	5	0.01	0.1		10	250	0	100	100	100	100		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	4
36	10301201	奇达	10301201_name	9	myplugin/pet_10301201	myplugin/pet_10300801	set:g2038_pokemon_icon.json image:pet_43_1	0.6	0	0	1#60	1	1,50#2,50	3	0	5	0.01	0.1		10	250	0	100	100	100	100		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	4
37	10401001	芙蕾尔	10401001_name	9	myplugin/pet_10401001	myplugin/pet_10300801	set:g2038_pokemon_icon.json image:pet_32_1 	0.7	0.1	0	1#60	1	1,50#2,50	4	0	5	0.01	0.1		10	250	0	100	100	100	100		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	4
38	10100601	糖果猫	10100601_name	9	myplugin/pet_10100601	myplugin/pet_10300801	set:g2038_pokemon_icon.json image:pet_46_1 	0.55	0	-0.06	1#60	1	1,50#2,50	1	0	5	0.01	0.1		10	250	0	100	100	100	100		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	4
39	10600101	暴噬蜂	10600101_name	10	myplugin/pet_10600101	myplugin/pet_10300801	set:g2038_pokemon_icon.json image:pet_48_1 	0.65	0	0	1#60	1	1,50#2,50	5	0	5	0.01	0.1		10	250	0	100	100	100	100		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	4
