n_battle_id	n_pkm_exp	n_pkm_coins	items	pokemons
40301	500	2500	item_ticket_02#1#1,pokeball_07#1#1	
40302	500	2500	item_ticket_02#1#1,pokeball_07#1#1	
40303	500	2500	item_ticket_02#1#1,pokeball_07#1#1	
40304	500	2500	item_ticket_02#1#1,pokeball_07#1#1	
40305	1100	5500	item_ticket_02#1#1,pokeball_07#2#1	
40306				
40307	1100	5500	item_ticket_02#1#1,pokeball_07#2#1	
40308				
40309	1200	6000	item_ticket_02#2#1,item_bless_16#3#1	
40310				
50301	660	3300	item_ticket_02#1#1,item_mutate#1#1	
50302	660	3300	item_ticket_02#1#1,item_mutate#1#1	
50303	660	3300	item_ticket_02#1#1,item_mutate#1#1	
50304	660	3300	item_ticket_02#1#1,item_mutate#1#1	
50305	1460	7300	item_ticket_02#1#1,item_mutate#2#1	
50306				
50307	1460	7300	item_ticket_02#1#1,item_mutate#2#1	
50308				
50309	1600	8000	item_ticket_02#2#1,item_bless_13#3#1	
50310				
60301	800	4000	item_ticket_02#1#1,item_mutate#1#1	
60302	800	4000	item_ticket_02#1#1,item_mutate#1#1	
60303	800	4000	item_ticket_02#1#1,item_mutate#1#1	
60304	800	4000	item_ticket_02#1#1,item_mutate#1#1	
60305	1600	8000	item_ticket_02#1#1,item_mutate#2#1	
60306				
60307	1600	8000	item_ticket_02#1#1,item_mutate#2#1	
60308				
60309	1600	8000	item_ticket_02#2#1,item_bless_10#3#1	
60310				
20501				
20502				
20503				
20504				
20505				
20506				
20507				
30501				
30502				
30503				
30504				
30505				
30506				
30507				
40501				
40502				
40503				
40504				
40505				
40506				
40507				
50501				
50502				
50503				
50504				
50505				
50506				
50507				
60501				
60502				
60503				
60504				
60505				
60506				
60507				
70101	40	400	item_ticket_03#2#1	
70102	45	450	item_ticket_03#2#1	
70103	50	500	item_ticket_02#1#1	
70104	55	550	item_ticket_03#2#1	
70105	60	600	item_ticket_03#2#1	
70106	65	650	item_ticket_02#1#1	
70107	70	700	item_ticket_03#2#1	
70108	75	750	item_ticket_03#2#1	
70109	80	800		10201001#1
70110	80	800	item_ticket_02#1#1	
70111	80	800	item_ticket_02#1#1	
70112	80	800		10201201#1
70201	40	400	item_ticket_03#2#1	
70202	45	450	item_ticket_03#2#1	
70203	50	500	item_ticket_02#1#1	
70204	55	550	item_ticket_03#2#1	
70205	60	600	item_ticket_03#2#1	
70206	65	650	item_ticket_02#1#1	
70207	70	700	item_ticket_03#2#1	
70208	75	750	item_ticket_03#2#1	
70209	80	800		10301001#1
70210	80	800	item_ticket_02#1#1	
70211	80	800	item_ticket_02#1#1	
70212	80	800		10301201#1
70301	40	400	item_ticket_03#2#1	
70302	45	450	item_ticket_03#2#1	
70303	50	500	item_ticket_02#1#1	
70304	55	550	item_ticket_03#2#1	
70305	60	600	item_ticket_03#2#1	
70306	65	650	item_ticket_02#1#1	
70307	70	700	item_ticket_03#2#1	
70308	75	750	item_ticket_03#2#1	
70309	80	800		10401101#1
70310	80	800	item_ticket_02#1#1	
70311	80	800	item_ticket_02#1#1	
70312	80	800		10401001#1
70401	40	400	item_ticket_03#2#1	
70402	45	450	item_ticket_03#2#1	
70403	50	500	item_ticket_02#1#1	
70404	55	550	item_ticket_03#2#1	
70405	60	600	item_ticket_03#2#1	
70406	65	650	item_ticket_02#1#1	
70407	70	700	item_ticket_03#2#1	
70408	75	750	item_ticket_03#2#1	
70409	80	800		10100501#1
70410	80	800	item_ticket_02#1#1	
70411	80	800	item_ticket_02#1#1	
70412	80	800		10100601#1
