	n_id	n_target	n_race	n_isLongRoundEffect	n_round	n_abnormal_type	n_isVulnerability	s_immune	n_effectSkillType	n_effectSkill	n_timing	n_timingDelay	n_trigger	n_pr	n_dcm	n_intger	s_effect_desc	s_effect_trigger_desc	s_effect_tip_dec	s_icon	s_effect_fullname	s_add_effect	s_add_sound	s_trigger_effect	s_trigger_sound	iconEffectName	n_effect_type
对单体目标造成伤害，并提高自身30%的物攻，持续3回合	11010091	1	1	0	3#3	0	0		0		3	17	1	1	0.3		s_effect_desc_11010091		s_effect_tip_dec_pAtkUp	set:skillbuff.json image:icon_buff_physical_atk	myplugin/skill_physical_attack_buff	g2038_status_buff.effect	/sound/g2038_status_buff.mp3				
对单体目标造成伤害，并提高自身30%的法攻，持续3回合	11010101	1	1	0	3#3	0	0		0		4		1	1	0.3		s_effect_desc_11010101		s_effect_tip_dec_sAtkUp	set:skillbuff.json image:icon_buff_spell_atk	myplugin/skill_spell_attack_buff	g2038_status_buff.effect	/sound/g2038_status_buff.mp3				
先发技能，对单体目标造成伤害，并提高自身20%的速度，持续3回合	11010111	1	1	0	3#3	0	0		0		4		1	1	0.2		s_effect_desc_11010111		s_effect_tip_dec_speedUp	set:skillbuff.json image:icon_buff_speed	myplugin/skill_speed_buff	g2038_status_buff.effect	/sound/g2038_status_buff.mp3				
对单体目标造成伤害，并提高自身20%的命中，持续3回合	11010121	1	1	0	3#3	0	0		0		4		1	1	0.2		s_effect_desc_11010121		s_effect_tip_dec_accuracyUp	set:skillbuff.json image:icon_buff_accuracy	myplugin/skill_accuracy_bonus_buff	g2038_status_buff.effect	/sound/g2038_status_buff.mp3				
先发技能，降低目标30%的物防和法防，持续3回合	11010131	2	1	0	3#3	0	0		0		3	17	1	1	-0.3		s_effect_desc_11010131		s_effect_tip_dec_pDefDown	set:skillbuff.json image:icon_debuff_physical_def	myplugin/skill_physical_def_buff	g2038_status_debuff.effect	/sound/g2038_status_debuff.mp3				
	11010132	2	1	0	3#3	0	0		0		3		1	1	-0.3				s_effect_tip_dec_sDefDown	set:skillbuff.json image:icon_debuff_spell_def	myplugin/skill_spell_def_buff						
先发技能，对单体目标造成伤害，并降低目标30%的物防和法防，持续5回合	11010141	2	1	0	5#5	0	0		0		3	17	1	1	-0.3		s_effect_desc_11010141		s_effect_tip_dec_pDefDown	set:skillbuff.json image:icon_debuff_physical_def	myplugin/skill_physical_def_buff	g2038_status_debuff.effect	/sound/g2038_status_debuff.mp3				
	11010142	2	1	0	5#5	0	0		0		3		1	1	-0.3				s_effect_tip_dec_sDefDown	set:skillbuff.json image:icon_debuff_spell_def	myplugin/skill_spell_def_buff						
对单体目标造成伤害，并降低目标30%的物攻，持续3回合	11010151	2	1	0	3#3	0	0		0		3	17	1	1	-0.3		s_effect_desc_11010151		s_effect_tip_dec_pAtkDown	set:skillbuff.json image:icon_debuff_physical_atk	myplugin/skill_physical_attack_buff	g2038_status_debuff.effect	/sound/g2038_status_debuff.mp3				
对单体目标造成伤害，并降低目标30%的法攻，持续3回合	11010161	2	1	0	3#3	0	0		0		3		1	1	-0.3		s_effect_desc_11010161		s_effect_tip_dec_sAtkDown	set:skillbuff.json image:icon_debuff_spell_atk	myplugin/skill_spell_attack_buff	g2038_status_debuff.effect	/sound/g2038_status_debuff.mp3				
先发技能，降低目标30%的速度和命中，持续3回合	11010171	2	1	0	3#3	0	0		0		3	17	1	1	-0.3		s_effect_desc_11010171		s_effect_tip_dec_speedDown	set:skillbuff.json image:icon_debuff_speed	myplugin/skill_speed_buff	g2038_status_debuff.effect	/sound/g2038_status_debuff.mp3				
	11010172	2	1	0	3#3	0	0		0		3		1	1	-0.3				s_effect_tip_dec_accuracyDown	set:skillbuff.json image:icon_debuff_accuracy	myplugin/skill_accuracy_bonus_buff						
对单体目标造成伤害，有50%的概率造成潮湿效果，持续3回合	11020031	2	1	1	3#3	3	0		0		3	20	3	0.5	-0.08	-20	s_effect_desc_11020031	s_effect_trigger_desc_11020031	s_effect_tip_dec_damp	set:skillbuff.json image:icon_debuff_damp	myplugin/skill_effect_damp_buff	g2038_status_wet.effect	/sound/g2038_status_wet.mp3	g2038_status_wet.effect	/sound/g2038_status_wet.mp3		
对单体目标造成伤害，有75%的概率造成潮湿效果，持续3回合	11020041	2	1	1	3#3	3	0		0		3	20	3	0.75	-0.08	-20	s_effect_desc_11020041	s_effect_trigger_desc_11020041	s_effect_tip_dec_damp	set:skillbuff.json image:icon_debuff_damp	myplugin/skill_effect_damp_buff	g2038_status_wet.effect	/sound/g2038_status_wet.mp3	g2038_status_wet.effect	/sound/g2038_status_wet.mp3		
先发技能，对单体目标造成伤害，并提高自身20%的速度，持续3回合	11020051	1	1	0	3#3	0	0		0		4		1	1	0.2		s_effect_desc_11020051		s_effect_tip_dec_speedUp	set:skillbuff.json image:icon_buff_speed	myplugin/skill_speed_buff	g2038_status_buff.effect	/sound/g2038_status_buff.mp3				
先发技能，对单体目标造成伤害，并提高自身40%的速度，持续5回合	11020061	1	1	0	5#5	0	0		0		4		1	1	0.4		s_effect_desc_11020061		s_effect_tip_dec_speedUp	set:skillbuff.json image:icon_buff_speed	myplugin/skill_speed_buff	g2038_status_buff.effect	/sound/g2038_status_buff.mp3				
对单体目标造成伤害，并提高自身30%的法攻，持续3回合	11020071	1	1	0	3#3	0	0		0		4		1	1	0.3		s_effect_desc_11020071		s_effect_tip_dec_sAtkUp	set:skillbuff.json image:icon_buff_spell_atk	myplugin/skill_spell_attack_buff	g2038_status_buff.effect	/sound/g2038_status_buff.mp3				
对单体目标造成大量伤害，并提高自身50%的法攻，持续5回合	11020081	1	1	0	5#5	0	0		0		4		1	1	0.5		s_effect_desc_11020081		s_effect_tip_dec_sAtkUp	set:skillbuff.json image:icon_buff_spell_atk	myplugin/skill_spell_attack_buff	g2038_status_buff.effect	/sound/g2038_status_buff.mp3				
对单体目标造成伤害，有40%的连击概率，可以再次释放该技能，可无限连击	11020091	1	1	0	1#1	0	0		4	1102009	1		5	1	0.4			s_effect_trigger_desc_11020091			myplugin/skill_effect_lianji_buff						
对单体目标造成伤害，有40%的连击概率，可以再次释放该技能，可无限连击	11020101	1	1	0	1#1	0	0		4	1102010	1		5	1	0.4			s_effect_trigger_desc_11020101			myplugin/skill_effect_lianji_buff						
对单体目标造成伤害，有50%的连击概率，可以再次释放该技能，可无限连击	11020111	1	1	0	1#1	0	0		4	1102011	1		5	1	0.5			s_effect_trigger_desc_11020111			myplugin/skill_effect_lianji_buff						
对单体目标造成固定伤害，并提高技能【威力】50%，持续5回合	11020131	1	1	0	5#5	0	0		0		3	17	1	1	0.5		s_effect_desc_11020131		s_effect_tip_dec_damageUp	set:skillbuff.json image:icon_buff_damage	myplugin/skill_power_bonus_buff	g2038_status_buff.effect	/sound/g2038_status_buff.mp3				
对单体目标造成固定伤害，并提高技能【威力】80%，持续5回合	11020141	1	1	0	5#5	0	0		0		3	17	1	1	0.8		s_effect_desc_11020141		s_effect_tip_dec_damageUp	set:skillbuff.json image:icon_buff_damage	myplugin/skill_power_bonus_buff	g2038_status_buff.effect	/sound/g2038_status_buff.mp3				
对群体目标造成伤害，有40%的概率造成潮湿效果，持续3回合	11020171	2	1	1	3#3	3	0		0		3	20	3	0.4	-0.08	-20	s_effect_desc_11020031	s_effect_trigger_desc_11020031	s_effect_tip_dec_damp	set:skillbuff.json image:icon_debuff_damp	myplugin/skill_effect_damp_buff	g2038_status_wet.effect	/sound/g2038_status_wet.mp3	g2038_status_wet.effect	/sound/g2038_status_wet.mp3		
对群体目标造成伤害，有60%的概率造成潮湿效果，持续3回合	11020181	2	1	1	3#3	3	0		0		3	20	3	0.6	-0.08	-20	s_effect_desc_11020031	s_effect_trigger_desc_11020031	s_effect_tip_dec_damp	set:skillbuff.json image:icon_debuff_damp	myplugin/skill_effect_damp_buff	g2038_status_wet.effect	/sound/g2038_status_wet.mp3	g2038_status_wet.effect	/sound/g2038_status_wet.mp3		
对单体目标造成伤害，有50%的概率造成灼烧效果，持续3回合	11030031	2	1	1	3#3	2	0		0		3	20	3	0.5	-0.08	-20	s_effect_desc_11030031	s_effect_trigger_desc_11030031	s_effect_tip_dec_burn	set:skillbuff.json image:icon_debuff_burn	myplugin/skill_effect_burn_buff	g2038_status_fire.effect	/sound/g2038_status_fire.mp3	g2038_status_fire.effect	/sound/g2038_status_fire.mp3		
对单体目标造成伤害，有75%的概率造成灼烧效果，持续3回合	11030041	2	1	1	3#3	2	0		0		3	20	3	0.7	-0.08	-20	s_effect_desc_11030041	s_effect_trigger_desc_11030041	s_effect_tip_dec_burn	set:skillbuff.json image:icon_debuff_burn	myplugin/skill_effect_burn_buff	g2038_status_fire.effect	/sound/g2038_status_fire.mp3	g2038_status_fire.effect	/sound/g2038_status_fire.mp3		
先发技能，对单体目标造成伤害，并提高自身30%的法防，持续3回合	11030051	1	1	0	3#3	0	0		0		4		1	1	0.3		s_effect_desc_11030051		s_effect_tip_dec_sDefUp	set:skillbuff.json image:icon_buff_spell_def	myplugin/skill_spell_def_buff	g2038_status_buff.effect	/sound/g2038_status_buff.mp3				
先发技能，对单体目标造成伤害，并提高自身30%的法防，持续5回合	11030061	1	1	0	5#5	0	0		0		4		1	1	0.3		s_effect_desc_11030061		s_effect_tip_dec_sDefUp	set:skillbuff.json image:icon_buff_spell_def	myplugin/skill_spell_def_buff	g2038_status_buff.effect	/sound/g2038_status_buff.mp3				
对单体目标造成伤害，并提高自身30%的物攻，持续3回合	11030071	1	1	0	3#3	0	0		0		3	17	1	1	0.3		s_effect_desc_11030071		s_effect_tip_dec_pAtkUp	set:skillbuff.json image:icon_buff_physical_atk	myplugin/skill_physical_attack_buff	g2038_status_buff.effect	/sound/g2038_status_buff.mp3				
对单体目标造成大量伤害，并提高自身50%的物攻，持续5回合	11030081	1	1	0	5#5	0	0		0		3	17	1	1	0.5		s_effect_desc_11030081		s_effect_tip_dec_pAtkUp	set:skillbuff.json image:icon_buff_physical_atk	myplugin/skill_physical_attack_buff	g2038_status_buff.effect	/sound/g2038_status_buff.mp3				
先发技能，降低10%的物防和法防，提高20%的物攻，本回合死亡复活概率提高50%	11030091	1	1	0	3#3	0	0		0		4		1	1	-0.1		s_effect_desc_11030091		s_effect_tip_dec_pDefDown	set:skillbuff.json image:icon_debuff_physical_def	myplugin/skill_physical_def_buff	g2038_status_buff.effect	/sound/g2038_status_buff.mp3				
	11030092	1	1	0	3#3	0	0		0		4		1	1	-0.1				s_effect_tip_dec_sDefDown	set:skillbuff.json image:icon_debuff_spell_def	myplugin/skill_spell_def_buff						
	11030093	1	1	0	3#3	0	0		0		4		1	1	0.2				s_effect_tip_dec_pAtkUp	set:skillbuff.json image:icon_buff_physical_atk	myplugin/skill_physical_attack_buff						
	11030094	1	1	0	1#1	0	0		0		1		6	1	0.5	10		s_effect_trigger_desc_11030094	s_effect_tip_dec_revived	set:skillbuff.json image:icon_buff_revive	myplugin/skill_effect_revived_buff			g2038_status_life.effect	/sound/g2038_status_life.mp3		
先发技能，降低20%的物防和法防，提高50%的物攻，本回合死亡复活概率提高50%	11030101	1	1	0	5#5	0	0		0		4		1	1	-0.2		s_effect_desc_11030101		s_effect_tip_dec_pDefDown	set:skillbuff.json image:icon_debuff_physical_def	myplugin/skill_physical_def_buff	g2038_status_buff.effect	/sound/g2038_status_buff.mp3				
	11030102	1	1	0	5#5	0	0		0		4		1	1	-0.2				s_effect_tip_dec_sDefDown	set:skillbuff.json image:icon_debuff_spell_def	myplugin/skill_spell_def_buff						
	11030103	1	1	0	5#5	0	0		0		4		1	1	0.5				s_effect_tip_dec_pAtkUp	set:skillbuff.json image:icon_buff_physical_atk	myplugin/skill_physical_attack_buff						
	11030104	1	1	0	1#1	0	0		0		1		6	1	0.5	15		s_effect_trigger_desc_11030104	s_effect_tip_dec_revived	set:skillbuff.json image:icon_buff_revive	myplugin/skill_effect_revived_buff			g2038_status_life.effect	/sound/g2038_status_life.mp3		
先发技能，对单体目标造成伤害，且每次对目标造成伤害时，回复20%的最大生命值，持续3回合	11030111	1	1	0	3#3	0	0		0		1	17	5	1	1	20		s_effect_trigger_desc_11030111	s_effect_tip_dec_recover1	set:skillbuff.json image:icon_buff_recover	myplugin/skill_effect_recover_buff			g2038_status_hp.effect	/sound/g2038_status_hp.mp3		
先发技能，对单体目标造成伤害，且每次对目标造成伤害时，回复30%的最大生命值，持续5回合	11030121	1	1	0	5#5	0	0		0		1	17	5	1	1	30		s_effect_trigger_desc_11030121	s_effect_tip_dec_recover1	set:skillbuff.json image:icon_buff_recover	myplugin/skill_effect_recover_buff			g2038_status_hp.effect	/sound/g2038_status_hp.mp3		
对单体目标造成伤害，如果目标身上有灼烧效果，造成1.5倍伤害	11030131	2	1	0	1#1	0	1		0		3		1	1	1.5	2					myplugin/skill_fragile_bonus_buff						
对单体目标造成伤害，如果目标身上有灼烧效果，造成2倍伤害	11030141	2	1	0	1#1	0	1		0		3		1	1	2	2					myplugin/skill_fragile_bonus_buff						
对群体目标造成伤害，有40%的概率造成灼烧效果，持续3回合	11030181	2	1	1	3#3	2	0		0		3	20	3	0.4	-0.08	-20	s_effect_desc_11030041	s_effect_trigger_desc_11030041	s_effect_tip_dec_burn	set:skillbuff.json image:icon_debuff_burn	myplugin/skill_effect_burn_buff	g2038_status_fire.effect	/sound/g2038_status_fire.mp3	g2038_status_fire.effect	/sound/g2038_status_fire.mp3		
对群体目标造成伤害，有60%的概率造成灼烧效果，持续3回合	11030191	2	1	1	3#3	2	0		0		3	20	3	0.6	-0.08	-20	s_effect_desc_11030041	s_effect_trigger_desc_11030041	s_effect_tip_dec_burn	set:skillbuff.json image:icon_debuff_burn	myplugin/skill_effect_burn_buff	g2038_status_fire.effect	/sound/g2038_status_fire.mp3	g2038_status_fire.effect	/sound/g2038_status_fire.mp3		
对单体目标造成伤害，如果目标身上有灼烧效果，造成3倍伤害	11030151	2	1	0	1#1	0	1		0		3		1	1	3	2					myplugin/skill_fragile_bonus_buff						
对单体目标造成伤害，有50%的概率造成中毒效果，持续3回合	11040031	2	1	1	3#3	1	0		0		3	20	3	0.5	-0.12		s_effect_desc_11040031	s_effect_trigger_desc_11040031	s_effect_tip_dec_dka	set:skillbuff.json image:icon_debuff_dka	myplugin/skill_effect_dka_buff	g2038_status_poison.effect	/sound/g2038_status_poison.mp3	g2038_status_poison.effect	/sound/g2038_status_poison.mp3		
对单体目标造成伤害，有75%的概率造成中毒效果，持续3回合	11040041	2	1	1	3#3	1	0		0		3	20	3	0.75	-0.12		s_effect_desc_11040041	s_effect_trigger_desc_11040041	s_effect_tip_dec_dka	set:skillbuff.json image:icon_debuff_dka	myplugin/skill_effect_dka_buff	g2038_status_poison.effect	/sound/g2038_status_poison.mp3	g2038_status_poison.effect	/sound/g2038_status_poison.mp3		
先发技能，对单体目标造成伤害，并提高自身30%的物防，持续3回合	11040051	1	1	0	3#3	0	0		0		3	17	1	1	0.3		s_effect_desc_11040051		s_effect_tip_dec_pDefUp	set:skillbuff.json image:icon_buff_physical_def	myplugin/skill_physical_def_buff	g2038_status_buff.effect	/sound/g2038_status_buff.mp3				
先发技能，对单体目标造成伤害，并提高自身30%的物防，持续5回合	11040061	1	1	0	5#5	0	0		0		3	17	1	1	0.3		s_effect_desc_11040061		s_effect_tip_dec_pDefUp	set:skillbuff.json image:icon_buff_physical_def	myplugin/skill_physical_def_buff	g2038_status_buff.effect	/sound/g2038_status_buff.mp3				
对单体目标造成伤害，并提高自身20%的命中，持续3回合	11040071	1	1	0	3#3	0	0		0		4		1	1	0.2		s_effect_desc_11040071		s_effect_tip_dec_accuracyUp	set:skillbuff.json image:icon_buff_accuracy	myplugin/skill_accuracy_bonus_buff						
对单体目标造成大量伤害，并提高自身30%的命中，持续5回合	11040081	1	1	0	5#5	0	0		0		4		1	1	0.3		s_effect_desc_11040081		s_effect_tip_dec_accuracyUp	set:skillbuff.json image:icon_buff_accuracy	myplugin/skill_accuracy_bonus_buff						
对单体目标造成睡眠，持续1-3回合	11040091	2	1	1	1#3	5	0		0		3	17	2	1	1		s_effect_desc_11040091	s_effect_trigger_desc_11040091	s_effect_tip_dec_sleep	set:skillbuff.json image:icon_debuff_sleep	myplugin/skill_effect_sleep_buff	g2038_status_sleep.effect	/sound/g2038_status_sleep.mp3	g2038_status_sleep.effect	/sound/g2038_status_sleep.mp3		
对单体目目标造成伤害，并造成睡眠，持续1-3回合	11040101	2	1	1	1#3	5	0		0		3	17	2	1	1		s_effect_desc_11040101	s_effect_trigger_desc_11040101	s_effect_tip_dec_sleep	set:skillbuff.json image:icon_debuff_sleep	myplugin/skill_effect_sleep_buff	g2038_status_sleep.effect	/sound/g2038_status_sleep.mp3	g2038_status_sleep.effect	/sound/g2038_status_sleep.mp3		
对单体目目标造成伤害，并造成睡眠，持续2-5回合	11040111	2	1	1	2#5	5	0		0		3	17	2	1	1		s_effect_desc_11040111	s_effect_trigger_desc_11040111	s_effect_tip_dec_sleep	set:skillbuff.json image:icon_debuff_sleep	myplugin/skill_effect_sleep_buff	g2038_status_sleep.effect	/sound/g2038_status_sleep.mp3	g2038_status_sleep.effect	/sound/g2038_status_sleep.mp3		
降低目标30%的命中，持续2回合	11040121	2	1	0	2#2	0	0		0		3	17	1	1	-0.3		s_effect_desc_11040121		s_effect_tip_dec_accuracyDown	set:skillbuff.json image:icon_debuff_accuracy	myplugin/skill_accuracy_bonus_buff	g2038_status_debuff.effect	/sound/g2038_status_debuff.mp3				
降低目标50%的命中，持续2回合	11040131	2	1	0	2#2	0	0		0		3	17	1	1	-0.5		s_effect_desc_11040131		s_effect_tip_dec_accuracyDown	set:skillbuff.json image:icon_debuff_accuracy	myplugin/skill_accuracy_bonus_buff	g2038_status_debuff.effect	/sound/g2038_status_debuff.mp3				
对单体目标造成伤害，并降低目标50%的命中，持续2回合	11040141	2	1	0	2#2	0	0		0		3	17	1	1	-0.5		s_effect_desc_11040141		s_effect_tip_dec_accuracyDown	set:skillbuff.json image:icon_debuff_accuracy	myplugin/skill_accuracy_bonus_buff	g2038_status_debuff.effect	/sound/g2038_status_debuff.mp3				
对单体目标造成伤害，如果目标身上有睡眠效果，造成1.5倍伤害	11040151	2	1	0	1#1	0	1		0		3		1	1	1.5	5					myplugin/skill_fragile_bonus_buff						
对单体目标造成伤害，如果目标身上有睡眠效果，造成2倍伤害	11040161	2	1	0	1#1	0	1		0		3		1	1	2	5					myplugin/skill_fragile_bonus_buff						
对单体目标造成伤害，如果目标身上有中毒效果，造成1.5倍伤害	11040171	2	1	0	1#1	0	1		0		3		1	1	1.5	1					myplugin/skill_fragile_bonus_buff						
对单体目标造成伤害，如果目标身上有中毒效果，造成2倍伤害	11040181	2	1	0	1#1	0	1		0		3		1	1	2	1					myplugin/skill_fragile_bonus_buff						
对单体目标造成伤害，如果目标身上有麻痹效果，造成1.5倍伤害	11050031	2	1	0	1#1	0	1		0		3		1	1	1.5	4					myplugin/skill_fragile_bonus_buff						
对单体目标造成伤害，如果目标身上有麻痹效果，造成2倍伤害	11050041	2	1	0	1#1	0	1		0		3		1	1	2	4					myplugin/skill_fragile_bonus_buff						
对单体目标造成伤害，如果目标身上有混乱效果，造成1.5倍伤害	11050051	2	1	0	1#1	0	1		0		3		1	1	1.5	6					myplugin/skill_fragile_bonus_buff						
对单体目标造成伤害，如果目标身上有混乱效果，造成2倍伤害	11050061	2	1	0	1#1	0	1		0		3		1	1	2	6					myplugin/skill_fragile_bonus_buff						
先发技能，对单体目标造成伤害，提高自身30%的物防和法防，持续5回合	11050071	1	1	0	5#5	0	0		0		4		1	1	0.3		s_effect_desc_11050071		s_effect_tip_dec_pDefUp	set:skillbuff.json image:icon_buff_physical_def	myplugin/skill_physical_def_buff	g2038_status_buff.effect	/sound/g2038_status_buff.mp3				
	11050072	1	1	0	5#5	0	0		0		4		1	1	0.3				s_effect_tip_dec_sDefUp	set:skillbuff.json image:icon_buff_spell_def	myplugin/skill_spell_def_buff						
先发技能，对单体目标造成伤害，并提高自身40%的速度，本回合免疫睡眠，混乱，麻痹	11050081	1	1	0	5#5	0	0		0		4		1	1	0.4		s_effect_desc_11050081		s_effect_tip_dec_speedUp	set:skillbuff.json image:icon_buff_speed	myplugin/skill_speed_buff	g2038_status_buff.effect	/sound/g2038_status_buff.mp3				
	11050082	1	1	0	3#3	0	0	11040091,11040101,11040111,12030311	0		4		1	1	1			s_effect_trigger_desc_11050082			myplugin/immune_skill_effect_sleep_buff			g2038_status_life.effect	/sound/g2038_status_immune.mp3		
 	11050083	1	1	0	1#1	0	0	11010031,11010041,12020151,12030351	0		4		1	1	1			s_effect_trigger_desc_11050083			myplugin/immune_skill_effect_chaos_buff			g2038_status_life.effect	/sound/g2038_status_immune.mp3		
	11050084	1	1	0	1#1	0	0	11010051,11010061,12020161,12030341	0		4		1	1	1			s_effect_trigger_desc_11050084			myplugin/immune_skill_effect_palsy_buff			g2038_status_life.effect	/sound/g2038_status_immune.mp3		
对单体目标造成固定伤害，并提高技能【威力】50%，持续5回合	11050091	1	1	0	5#5	0	0		0		3	17	1	1	0.5		s_effect_desc_11050091		s_effect_tip_dec_damageUp	set:skillbuff.json image:icon_buff_damage	myplugin/skill_power_bonus_buff	g2038_status_buff.effect	/sound/g2038_status_buff.mp3				
对单体目标造成固定伤害，并提高技能【威力】80%，持续5回合	11050101	1	1	0	5#5	0	0		0		3	17	1	1	0.8		s_effect_desc_11050101		s_effect_tip_dec_damageUp	set:skillbuff.json image:icon_buff_damage	myplugin/skill_power_bonus_buff	g2038_status_buff.effect	/sound/g2038_status_buff.mp3				
对单体目标造成伤害，并提高自身50%的物攻，持续5回合	11050121	1	1	0	5#5	0	0		0		3	17	1	1	0.5		s_effect_desc_11050121		s_effect_tip_dec_pAtkUp	set:skillbuff.json image:icon_buff_physical_atk	myplugin/skill_physical_attack_buff	g2038_status_buff.effect	/sound/g2038_status_buff.mp3				
对群体目标造成伤害，有40%的概率造成中毒效果，持续3回合	11040211	2	1	1	3#3	1	0		0		3	20	3	0.4	-0.12		s_effect_desc_11040041	s_effect_trigger_desc_11040041	s_effect_tip_dec_dka	set:skillbuff.json image:icon_debuff_dka	myplugin/skill_effect_dka_buff	g2038_status_poison.effect	/sound/g2038_status_poison.mp3	g2038_status_poison.effect	/sound/g2038_status_poison.mp3		
对群体目标造成伤害，有60%的概率造成中毒效果，持续3回合	11040221	2	1	1	3#3	1	0		0		3	20	3	0.6	-0.12		s_effect_desc_11040041	s_effect_trigger_desc_11040041	s_effect_tip_dec_dka	set:skillbuff.json image:icon_debuff_dka	myplugin/skill_effect_dka_buff	g2038_status_poison.effect	/sound/g2038_status_poison.mp3	g2038_status_poison.effect	/sound/g2038_status_poison.mp3		
生命+10%	12010011	1	1	0	99#99	0	0		0		2		1	1	0.1						myplugin/skill_life_bonus_buff						
速度+10%	12010021	1	1	0	99#99	0	0		0		2		1	1	0.1						myplugin/skill_speed_buff						
物攻+10%	12010031	1	1	0	99#99	0	0		0		2		1	1	0.1						myplugin/skill_physical_attack_buff						
物防+10%	12010041	1	1	0	99#99	0	0		0		2		1	1	0.1						myplugin/skill_physical_def_buff						
法攻+10%	12010051	1	1	0	99#99	0	0		0		2		1	1	0.1						myplugin/skill_spell_attack_buff						
法防+10%	12010061	1	1	0	99#99	0	0		0		2		1	1	0.1						myplugin/skill_spell_def_buff						
命中+10%	12010071	1	1	0	99#99	0	0		0		2		1	1	0.1						myplugin/skill_accuracy_bonus_buff						
技能威力+10%	12010081	1	1	0	99#99	0	0		0		2		1	1	0.1						myplugin/skill_power_bonus_buff						
