n_id			n_hurt_type	n_race	n_type	n_target	n_count	n_is_effect_triiger	n_hurt	n_skill_speed	n_accuracy	n_max_number	s_skill_effect	s_setting_full_name	s_name	s_describe	s_icon	n_score	n_setting_full_id
1103013	炼狱爆炸	对单体目标造成伤害，如果目标身上有灼烧效果，造成1.5倍伤害	1	3	1	3	1	0	80	1000	85	15	11030131	skill_aoe_timeline	active_skill_1103013_name	active_skill_1103013_desc		50	1
1103014	熔岩拳击	对单体目标造成伤害，如果目标身上有灼烧效果，造成2倍伤害	1	3	1	3	1	0	80	1000	85	10	11030141	skill_bullet_timeline	active_skill_1103014_name	active_skill_1103014_desc		75	1
1103015	天照火		1	3	1	3	1	0	80	1000	85	5	11030151	skill_aoe_timeline	active_skill_1103015_name	active_skill_1103015_desc		100	1
1103016	火系群攻		1	3	1	3	2	0	100	1000	80	10		skill_spell_timeline	active_skill_1103016_name	active_skill_1103016_desc			
1103017	高级火系群攻	对群体目标造成伤害，有40%的概率造成灼烧效果，持续3回合	1	3	1	3	2	0	140	1000	80	7		skill_spellAoe_timeline	active_skill_1103017_name	active_skill_1103017_desc			
1103018	群灼烧	对群体目标造成伤害，有60%的概率造成灼烧效果，持续3回合	1	3	1	3	2	0	100	1000	80	10	11030181	skill_spell_timeline	active_skill_1103018_name	active_skill_1103018_desc			
1103019	高级群灼烧		1	3	1	3	2	0	120	1000	80	5	11030191	skill_spell_timeline	active_skill_1103019_name	active_skill_1103019_desc			
1104001	叶刃猛击		2	4	1	3	1	0	80	1000	100	15		skill_melee_timeline	active_skill_1104001_name	active_skill_1104001_desc		50	1
1104002	青草飞弹		2	4	1	3	1	0	120	1000	100	10		skill_bullet_timeline	active_skill_1104002_name	active_skill_1104002_desc		75	1
1104003	剧毒	对单体目标造成伤害，有50%的概率造成中毒效果，持续3回合	2	4	1	3	1	0	80	1000	85	10	11040031	skill_singleSpell_timeline	active_skill_1104003_name	active_skill_1104003_desc		75	1
1104004	毒瓦斯	对单体目标造成伤害，有75%的概率造成中毒效果，持续3回合	2	4	1	3	1	0	100	1000	85	5	11040041	skill_singleSpell_timeline	active_skill_1104004_name	active_skill_1104004_desc		100	1
1104005	旋转飞叶	先发技能，对单体目标造成伤害，并提高自身30%的物防，持续3回合	1	4	1	3	1	0	60	10000	100	10	11040051	skill_singleSpell_timeline	active_skill_1104005_name	active_skill_1104005_desc		75	1
1104006	叶刃风暴	先发技能，对单体目标造成伤害，并提高自身30%的物防，持续5回合	1	4	1	3	1	0	100	10000	100	5	11040061	skill_singleSpell_timeline	active_skill_1104006_name	active_skill_1104006_desc		100	1
1104007	丛林风暴	对单体目标造成伤害，并提高自身20%的命中，持续3回合	2	4	1	3	1	0	80	1000	100	10	11040071	skill_singleSpell_timeline	active_skill_1104007_name	active_skill_1104007_desc		75	1
1104008	千箭齐发	对单体目标造成大量伤害，并提高自身30%的命中，持续5回合	2	4	1	3	1	0	120	1000	100	5	11040081	skill_aoe_timeline	active_skill_1104008_name	active_skill_1104008_desc		100	1
1104009	睡眠花粉	对单体目标造成睡眠，持续1-3回合	0	4	1	3	1	0	0	1000	60	10	11040091	skill_singleSpell_timeline	active_skill_1104009_name	active_skill_1104009_desc		75	1
1104010	柳絮飘扬	对单体目目标造成伤害，并造成睡眠，持续1-3回合	2	4	1	3	1	0	60	1000	60	10	11040101	skill_singleSpell_timeline	active_skill_1104010_name	active_skill_1104010_desc		75	1
1104011	安眠花粉	对单体目目标造成伤害，并造成睡眠，持续2-5回合	2	4	1	3	1	0	80	1000	60	5	11040111	skill_aoe_timeline	active_skill_1104011_name	active_skill_1104011_desc		100	1
1104012	治愈花舞	降低目标30%的命中，持续2回合	0	4	1	3	1	0	0	1000	85	5	11040121	skill_singleSpell_timeline	active_skill_1104012_name	active_skill_1104012_desc		100	1
1104013	腐蚀炸弹	降低目标50%的命中，持续2回合	0	4	1	3	1	0	0	1000	85	3	11040131	skill_bullet_timeline	active_skill_1104013_name	active_skill_1104013_desc		125	1
1104014	大腐蚀炸弹	对单体目标造成伤害，并降低目标50%的命中，持续2回合	2	4	1	3	1	0	100	1000	85	1	11040141	skill_bullet_timeline	active_skill_1104014_name	active_skill_1104014_desc		150	1
1104015	梦貘闪光	对单体目标造成伤害，如果目标身上有睡眠效果，造成1.5倍伤害	2	4	1	3	1	0	80	1000	85	10	11040151	skill_bullet_timeline	active_skill_1104015_name	active_skill_1104015_desc		75	1
1104016	真·梦貘闪光	对单体目标造成伤害，如果目标身上有睡眠效果，造成2倍伤害	2	4	1	3	1	0	80	1000	85	5	11040161	skill_bullet_timeline	active_skill_1104016_name	active_skill_1104016_desc		100	1
1104017	逆生长	对单体目标造成伤害，如果目标身上有中毒效果，造成1.5倍伤害	2	4	1	3	1	0	80	1000	85	10	11040171	skill_bullet_timeline	active_skill_1104017_name	active_skill_1104017_desc		75	1
1104018	退化	对单体目标造成伤害，如果目标身上有中毒效果，造成2倍伤害	2	4	1	3	1	0	80	1000	85	5	11040181	skill_bullet_timeline	active_skill_1104018_name	active_skill_1104018_desc		100	1
1104019	草系群攻		2	4	1	3	2	0	100	1000	80	10		skill_spellAoe_timeline	active_skill_1104019_name	active_skill_1104019_desc			
1104020	高级草系群攻		2	4	1	3	2	0	140	1000	80	7		skill_spellAoe_timeline	active_skill_1104020_name	active_skill_1104020_desc			
1104021	群中毒	对群体目标造成伤害，有40%的概率造成中毒效果，持续3回合	2	4	1	3	2	0	100	1000	80	10	11040211	skill_spellAoe_timeline	active_skill_1104021_name	active_skill_1104021_desc			
1104022	高级群中毒	对群体目标造成伤害，有60%的概率造成中毒效果，持续3回合	2	4	1	3	2	0	120	1000	80	5	11040221	skill_spellAoe_timeline	active_skill_1104022_name	active_skill_1104022_desc			
1105001	黑雾球		2	5	1	3	1	0	120	1000	100	15		skill_bullet_timeline	active_skill_1105001_name	active_skill_1105001_desc		50	1
1105002	十字闪光		1	5	1	3	1	0	120	1000	100	15		skill_singleSpell_timeline	active_skill_1105002_name	active_skill_1105002_desc		50	1
1105003	暗冥球	对单体目标造成伤害，如果目标身上有麻痹效果，造成1.5倍伤害	2	5	1	3	1	0	80	1000	85	10	11050031	skill_bullet_timeline	active_skill_1105003_name	active_skill_1105003_desc		75	1
1105004	超能光波	对单体目标造成伤害，如果目标身上有麻痹效果，造成2倍伤害	2	5	1	3	1	0	80	1000	85	5	11050041	skill_aoe_timeline	active_skill_1105004_name	active_skill_1105004_desc		100	1
1105005	超能强念	对单体目标造成伤害，如果目标身上有混乱效果，造成1.5倍伤害	1	5	1	3	1	0	80	1000	85	10	11050051	skill_singleSpell_timeline	active_skill_1105005_name	active_skill_1105005_desc		75	1
1105006	精神波动	对单体目标造成伤害，如果目标身上有混乱效果，造成2倍伤害	1	5	1	3	1	0	80	1000	85	5	11050061	skill_singleSpell_timeline	active_skill_1105006_name	active_skill_1105006_desc		100	1
1105007	精神魔法	先发技能，对单体目标造成伤害，提高自身30%的物防和法防，持续5回合	2	5	1	3	1	0	80	10000	100	5	11050071,11050072	skill_singleSpell_timeline	active_skill_1105007_name	active_skill_1105007_desc		100	1
1105008	伊邪纳岐	先发技能，对单体目标造成伤害，并提高自身40%的速度，本回合免疫睡眠，混乱，麻痹	2	5	1	3	1	0	100	10000	85	5	11050081,11050082,11050083,11050084	skill_singleSpell_timeline	active_skill_1105008_name	active_skill_1105008_desc		100	1
1105009	超能闪耀	对单体目标造成固定伤害，并提高技能【威力】50%，持续5回合	1	5	1	3	1	0	250	1000	70	5		skill_singleSpell_timeline	active_skill_1105009_name	active_skill_1105009_desc		100	1
1105010	念力刀	对单体目标造成固定伤害，并提高技能【威力】80%，持续5回合	1	5	1	3	1	0	400	1000	70	5		skill_singleSpell_timeline	active_skill_1105010_name	active_skill_1105010_desc		100	1
1105011	四方封印	对单体目标造成伤害，并提高自身50%的物攻，持续5回合	1	5	1	3	1	0	150	1000	100	5		skill_singleSpell_timeline	active_skill_1105011_name	active_skill_1105011_desc		100	1
1105012	灭亡之歌		1	5	1	3	1	0	150	1000	85	5	11050121	skill_singleSpell_timeline	active_skill_1105012_name	active_skill_1105012_desc		100	1
1105013	超能群攻		2	5	1	3	2	0	100	1000	80	15		skill_spellAoe_timeline	active_skill_1105013_name	active_skill_1105013_desc			
1105014	高级超能群攻		2	5	1	3	2	0	140	1000	80	10		skill_spellAoe2_timeline	active_skill_1105014_name	active_skill_1105014_desc			
1201001			0	0	2	1	1	0	0	0	0	-1	12010011	player_skill_1_timeline	passive_skill_1201001_name	passive_skill_1201001_desc	set:g2038_pokemon_passive_skill.json image:g2038_skill_1201001	50	1
1201002			0	0	2	1	1	0	0	0	0	-1	12010021	player_skill_1_timeline	passive_skill_1201002_name	passive_skill_1201002_desc	set:g2038_pokemon_passive_skill.json image:g2038_skill_1201002	50	1
1201003			0	0	2	1	1	0	0	0	0	-1	12010031	player_skill_1_timeline	passive_skill_1201003_name	passive_skill_1201003_desc	set:g2038_pokemon_passive_skill.json image:g2038_skill_1201003	50	1
1201004			0	0	2	1	1	0	0	0	0	-1	12010041	player_skill_1_timeline	passive_skill_1201004_name	passive_skill_1201004_desc	set:g2038_pokemon_passive_skill.json image:g2038_skill_1201004	50	1
1201005			0	0	2	1	1	0	0	0	0	-1	12010051	player_skill_1_timeline	passive_skill_1201005_name	passive_skill_1201005_desc	set:g2038_pokemon_passive_skill.json image:g2038_skill_1201005	150	1
1201006			0	0	2	1	1	0	0	0	0	-1	12010061	player_skill_1_timeline	passive_skill_1201006_name	passive_skill_1201006_desc	set:g2038_pokemon_passive_skill.json image:g2038_skill_1201006	150	1
1201007			0	0	2	1	1	0	0	0	0	-1	12010071	player_skill_1_timeline	passive_skill_1201007_name	passive_skill_1201007_desc	set:g2038_pokemon_passive_skill.json image:g2038_skill_1201007	150	1
1201008			0	0	2	1	1	0	0	0	0	-1	12010081	player_skill_1_timeline	passive_skill_1201008_name	passive_skill_1201008_desc	set:g2038_pokemon_passive_skill.json image:g2038_skill_1201008	150	1
1201009			0	0	2	1	1	0	0	0	0	-1	12010091	player_skill_1_timeline	passive_skill_1201009_name	passive_skill_1201009_desc	set:g2038_pokemon_passive_skill.json image:g2038_skill_1201009	150	1
1201010			0	0	2	1	1	0	0	0	0	-1	12010101	player_skill_1_timeline	passive_skill_1201010_name	passive_skill_1201010_desc	set:g2038_pokemon_passive_skill.json image:g2038_skill_1201010	150	1
1201011			0	0	2	1	1	0	0	0	0	-1	12010111	player_skill_1_timeline	passive_skill_1201011_name	passive_skill_1201011_desc	set:g2038_pokemon_passive_skill.json image:g2038_skill_1201011	150	1
1201012			0	0	2	1	1	0	0	0	0	-1	12010121	player_skill_1_timeline	passive_skill_1201012_name	passive_skill_1201012_desc	set:g2038_pokemon_passive_skill.json image:g2038_skill_1201012	150	1
1201013			0	0	2	1	1	0	0	0	0	-1	12010131	player_skill_1_timeline	passive_skill_1201013_name	passive_skill_1201013_desc	set:g2038_pokemon_passive_skill.json image:g2038_skill_1201013	150	1
1201014			0	0	2	1	1	0	0	0	0	-1	12010141	player_skill_1_timeline	passive_skill_1201014_name	passive_skill_1201014_desc	set:g2038_pokemon_passive_skill.json image:g2038_skill_1201014	150	1
1202001			0	0	2	1	1	0	0	0	0	-1	12020011	player_skill_1_timeline	passive_skill_1202001_name	passive_skill_1202001_desc	set:g2038_pokemon_passive_skill.json image:g2038_skill_1202001	150	1
1202002			0	0	2	1	1	0	0	0	0	-1	12020021	player_skill_1_timeline	passive_skill_1202002_name	passive_skill_1202002_desc	set:g2038_pokemon_passive_skill.json image:g2038_skill_1202002	150	1
1202003			0	0	2	1	1	0	0	0	0	-1	12020031	player_skill_1_timeline	passive_skill_1202003_name	passive_skill_1202003_desc	set:g2038_pokemon_passive_skill.json image:g2038_skill_1202003	150	1
1202004			0	0	2	1	1	0	0	0	0	-1	12020041	player_skill_1_timeline	passive_skill_1202004_name	passive_skill_1202004_desc	set:g2038_pokemon_passive_skill.json image:g2038_skill_1202004	150	1
1202005			0	0	2	1	1	0	0	0	0	-1	12020051	player_skill_1_timeline	passive_skill_1202005_name	passive_skill_1202005_desc	set:g2038_pokemon_passive_skill.json image:g2038_skill_1202005	150	1
1202006			0	0	2	1	1	0	0	0	0	-1	12020061	player_skill_1_timeline	passive_skill_1202006_name	passive_skill_1202006_desc	set:g2038_pokemon_passive_skill.json image:g2038_skill_1202006	150	1
1202007			0	0	2	1	1	0	0	0	0	-1	12020071	player_skill_1_timeline	passive_skill_1202007_name	passive_skill_1202007_desc	set:g2038_pokemon_passive_skill.json image:g2038_skill_1202007	150	1
1202008			0	0	2	1	1	0	0	0	0	-1	12020081	player_skill_1_timeline	passive_skill_1202008_name	passive_skill_1202008_desc	set:g2038_pokemon_passive_skill.json image:g2038_skill_1202008	150	1
1202009			0	0	2	1	1	0	0	0	0	-1	12020091	player_skill_1_timeline	passive_skill_1202009_name	passive_skill_1202009_desc	set:g2038_pokemon_passive_skill.json image:g2038_skill_1202009	150	1
1202010			0	0	2	1	1	0	0	0	0	-1	12020101	player_skill_1_timeline	passive_skill_1202010_name	passive_skill_1202010_desc	set:g2038_pokemon_passive_skill.json image:g2038_skill_1202010	150	1
1202011			0	0	2	1	1	0	0	0	0	-1	12020111	player_skill_1_timeline	passive_skill_1202011_name	passive_skill_1202011_desc	set:g2038_pokemon_passive_skill.json image:g2038_skill_1202011	150	1
1202012			0	0	2	1	1	0	0	0	0	-1	12020121	player_skill_1_timeline	passive_skill_1202012_name	passive_skill_1202012_desc	set:g2038_pokemon_passive_skill.json image:g2038_skill_1202012	150	1
1202013			0	0	2	1	1	0	0	0	0	-1	12020131	player_skill_1_timeline	passive_skill_1202013_name	passive_skill_1202013_desc	set:g2038_pokemon_passive_skill.json image:g2038_skill_1202013	150	1
1202014			0	0	2	1	1	0	0	0	0	-1	12020141	player_skill_1_timeline	passive_skill_1202014_name	passive_skill_1202014_desc	set:g2038_pokemon_passive_skill.json image:g2038_skill_1202014	150	1
1202015			0	0	2	1	1	0	0	0	0	-1	12020151	player_skill_1_timeline	passive_skill_1202015_name	passive_skill_1202015_desc	set:g2038_pokemon_passive_skill.json image:g2038_skill_1202015	150	1
1202016			0	0	2	1	1	0	0	0	0	-1	12020161	player_skill_1_timeline	passive_skill_1202016_name	passive_skill_1202016_desc	set:g2038_pokemon_passive_skill.json image:g2038_skill_1202016	150	1
1202017			0	0	2	1	1	0	0	0	0	-1	12020171	player_skill_1_timeline	passive_skill_1202017_name	passive_skill_1202017_desc	set:g2038_pokemon_passive_skill.json image:g2038_skill_1202017	150	1
1202018			0	0	2	1	1	0	0	0	0	-1	12020181	player_skill_1_timeline	passive_skill_1202018_name	passive_skill_1202018_desc	set:g2038_pokemon_passive_skill.json image:g2038_skill_1202018	150	1
1202019			0	0	2	1	1	0	0	0	0	-1	12020191	player_skill_1_timeline	passive_skill_1202019_name	passive_skill_1202019_desc	set:g2038_pokemon_passive_skill.json image:g2038_skill_1202019	150	1
1202020			0	0	2	1	1	0	0	0	0	-1	12020201	player_skill_1_timeline	passive_skill_1202020_name	passive_skill_1202020_desc	set:g2038_pokemon_passive_skill.json image:g2038_skill_1202020	150	1
1202021			0	0	2	1	1	0	0	0	0	-1	12020211	player_skill_1_timeline	passive_skill_1202021_name	passive_skill_1202021_desc	set:g2038_pokemon_passive_skill.json image:g2038_skill_1202021	200	1
1202022			0	0	2	1	1	0	0	0	0	-1	12020221	player_skill_1_timeline	passive_skill_1202022_name	passive_skill_1202022_desc	set:g2038_pokemon_passive_skill.json image:g2038_skill_1202022	200	1
1202023			0	0	2	1	1	0	0	0	0	-1	12020231	player_skill_1_timeline	passive_skill_1202023_name	passive_skill_1202023_desc	set:g2038_pokemon_passive_skill.json image:g2038_skill_1202023	200	1
1202024			0	0	2	1	1	0	0	0	0	-1	12020241	player_skill_1_timeline	passive_skill_1202024_name	passive_skill_1202024_desc	set:g2038_pokemon_passive_skill.json image:g2038_skill_1202024	200	1
1202025			0	0	2	1	1	0	0	0	0	-1	12020251	player_skill_1_timeline	passive_skill_1202025_name	passive_skill_1202025_desc	set:g2038_pokemon_passive_skill.json image:g2038_skill_1202025	200	1
1202026			0	0	2	1	1	0	0	0	0	-1	12020261	player_skill_1_timeline	passive_skill_1202026_name	passive_skill_1202026_desc	set:g2038_pokemon_passive_skill.json image:g2038_skill_1202026	200	1
1203001			0	0	2	1	1	0	0	0	0	-1	12030011	player_skill_1_timeline	passive_skill_1203001_name	passive_skill_1203001_desc	set:g2038_pokemon_passive_skill.json image:g2038_skill_1203001	200	1
1203002			0	0	2	1	1	0	0	0	0	-1	12030021	player_skill_1_timeline	passive_skill_1203002_name	passive_skill_1203002_desc	set:g2038_pokemon_passive_skill.json image:g2038_skill_1203002	200	1
1203003			0	0	2	1	1	0	0	0	0	-1	12030031	player_skill_1_timeline	passive_skill_1203003_name	passive_skill_1203003_desc	set:g2038_pokemon_passive_skill.json image:g2038_skill_1203003	200	1
1203004			0	0	2	1	1	0	0	0	0	-1	12030041	player_skill_1_timeline	passive_skill_1203004_name	passive_skill_1203004_desc	set:g2038_pokemon_passive_skill.json image:g2038_skill_1203004	200	1
1203005			0	0	2	1	1	0	0	0	0	-1	12030051	player_skill_1_timeline	passive_skill_1203005_name	passive_skill_1203005_desc	set:g2038_pokemon_passive_skill.json image:g2038_skill_1203005	200	1
