字段名称	id	hp_bless_count	speed_bless_count	pAtk_bless_count	pDef_bless_count	sAtk_bless_count	sDef_bless_count
大火熊	10300203	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40
小草鹿	10400201	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40
中草鹿	10400202	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40
大草鹿	10400203	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40
小浣熊	10100101	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40
大浣熊	10100102	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40
小火鸟	10300301	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40
大火鸟	10300302	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40
小水羊	10200301	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40
大水羊	10200302	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40
小灯妖	10300401	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40
大灯妖	10300402	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40
小鹰	10100201	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40
大鹰	10100202	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40
小格斗家	10100301	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40
大格斗家	10100302	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40
小火马	10300501	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40
大火马	10300502	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40
小草鼠	10400301	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40
大草鼠	10400302	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40
小草仙	10400401	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40
大草仙	10400402	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40
小蝴蝶	10300601	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40
大蝴蝶	10300602	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40
小螃蟹	10200401	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40
大螃蟹	10200402	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40
小草蛙	10400501	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40
大草蛙	10400502	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40
人形宠1-1	10200501	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40
人形宠1-2	10200502	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40
小人鱼	10200601	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40
大人鱼	10200602	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40
人形宠3-1	10400601	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40
人形宠3-2	10400602	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40
蛇女	10200701	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40
人形宠5	10300701	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40
羊女	10400701	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40
水神兽	10200801	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40
火神兽	10300801	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40
草神兽	10400801	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40
萝莉法	10500101	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40
超能待定	10500201	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40
超能神兽	10500301	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40
托特	10201001	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40
贝拉	10301001	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40
雷可犬	10401101	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40
枫叶熊	10100501	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40
布拉泽	10201201	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40
奇达	10301201	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40
芙蕾尔	10401001	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40
糖果猫	10100601	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40
暴噬蜂	10600101	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40
雷卓	10600301	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40
伯鲁斯	10500401	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40
