id	xxx	next_guide_index	continue_guide_index	prev_guide_index	desc	title	scene_pos	dialog_pos	reward_title	reward_desc	reward_pos	reward_items	reward_exp	reward_index	reward_details	time	trans_mask	lucency_area_1	show_lucency_area_2	lucency_area_2	arrows_area_1	arrows_area_2	arrows_img_1	arrows_img_2	npc_id
45	完成10连抽	46			0	0	0	0				item_exp_02#2,item_revive_01#2,item_spray_01#2	100	2	1#4#5,2#4#5,	0	0	none	0	none	0	0			
46	点击队列按钮	47			0	0	0	0	guide_reward_46_title	guide_reward_46_desc	2#0#-15#2#0#-260#289#201	potion_hp_001#3,potion_hp_002#2,item_spray_01#2				0	0	all	1	pokemonMain/PokemonMain-Team	0	0#0#0#0#0#32#0#32		g2038_yindao_shouzhi.effect	
47	点击觉醒标签	48	46		0	0	0	0								0	0	all	1	pokemonPacket/PokemonPacket-Detail-Tab4	0	0#0#0#0#0#32#0#32		g2038_yindao_shouzhi.effect	
48	打开觉醒界面	49	46		0	0	0	0								0	0	all	1	pokemonPacket/PokemonPacket-Detail-Function_Wake	0	0#0#0#0#0#32#0#32		g2038_yindao_shouzhi.effect	
49	点击添加材料	50	46		0	0	0	0								0	0	all	1	pokemonWake/guide_pokemon_wake_select	0	0#0#0#0#0#32#0#32		g2038_yindao_shouzhi.effect	
50	选择材料	51	46		0	0	0	0								0	0	all	1	pokemonWake/guide_pokemon_wake_first_cell	0	0#0#0#0#0#32#0#32		g2038_yindao_shouzhi.effect	
51	确认材料	52	46		0	0	0	0								0	0	all	1	pokemonWake/PokemonWake-yesBtn	0	0#0#0#0#0#32#0#32		g2038_yindao_shouzhi.effect	
52	确认觉醒	53	46		0	0	0	0								0	0	all	1	pokemonWake/PokemonWake-UpWake	0	0#0#0#0#0#32#0#32		g2038_yindao_shouzhi.effect	
53	关闭觉醒	54	46		0	0	0	0								0	0	all	1	pokemonWake/PokemonWake-CloseBtn	0	0#0#0#0#0#32#0#32		g2038_yindao_shouzhi.effect	
54	关闭队列界面	55	55		0	0	0	0								0	0	pokemonPacket/PokemonPacket-Close	0	none	0#0#0#0#0#32#0#32	0	g2038_yindao_shouzhi.effect		
55	觉醒任务完成	39			0	0	0	0				potion_hp_001#3,potion_hp_002#2,item_spray_01#2	50	2	1#4#5,2#4#5,	0	0	none	0	none	0	0			
56	第二个道馆的boss	57		39	0	0	260#5#388	0	guide_reward_56_title	guide_reward_56_desc	2#0#-15#2#0#-260#289#201	item_ticket_02#2,item_ticket_03#10,pokeball_03#3		1		0	0	none	0	none	0	0			30307
57	战胜第二个道馆的boss	58			0	0	0	0				item_ticket_02#2,item_ticket_03#10,pokeball_03#3	500	2		0	0	none	0	none	0	0			30307
58	第三个道馆的boss	59		56	0	0	0	0	guide_reward_58_title	guide_reward_58_desc	2#0#-15#2#0#-260#289#201	item_ticket_02#2,item_ticket_03#10,pokeball_03#3		1		0	0	none	0	none	0	0			40309
59	战胜第三个道馆的boss	60			0	0	0	0				item_ticket_02#2,item_ticket_03#10,pokeball_03#3	700	2		0	0	none	0	none	0	0			40309
60	第四个道馆的boss	61		58	0	0	0	0	guide_reward_60_title	guide_reward_60_desc	2#0#-15#2#0#-260#289#201	item_ticket_02#2,item_ticket_03#10,pokeball_03#3		1		0	0	none	0	none	0	0			50309
61	战胜第四个道馆的boss	62			0	0	0	0				item_ticket_02#2,item_ticket_03#10,pokeball_03#3	900	2		0	0	none	0	none	0	0			50309
62	第五个道馆的boss	63		60	0	0	0	0	guide_reward_62_title	guide_reward_62_desc	2#0#-15#2#0#-260#289#201	item_ticket_02#2,item_ticket_03#10,pokeball_03#3		1		0	0	none	0	none	0	0			60309
63	战胜第五个道馆的boss	-1			0	0	0	0				item_ticket_02#2,item_ticket_03#10,pokeball_03#3	1200	2		0	0	none	0	none	0	0			60309
64	点击宠物跟随按钮	65	64		0	0	0	0								0	0	all	1	pokemonPacket/PokemonPacket-Follow-Pet-Release	0	0#0#0#0#0#32#0#32		g2038_yindao_shouzhi.effect	
65	确认开启宠物跟随	10	64		0	0	0	0								0	0	followPetPrivilegeTip/FollowPetPrivilege-item_yes	0	none	0#0#0#0#0#32#0#32	0	g2038_yindao_shouzhi.effect		
