id	region	serialnum	pokemon_id	level	is_random_skill	active_skill_list	passive_skill_list	npc_hp	npc_speed	npc_pAtk	npc_pDef	npc_sAtk	npc_sDef	npc_star	npc_wake
401082	4	147	10300201	62	1			2144	99	842	388	842	388	6	0
401091	4	148	10100601	64	1			2536	99	928	440	928	440	6	0
401092	4	149	10300801	64	1			2536	99	928	440	928	440	6	0
401093	4	150	10400601	64	1			2536	99	928	440	928	440	6	0
401094	4	151	10500201	64	1			2536	99	928	440	928	440	6	0
501011	5	152	10100101	66	1			2301	99	903	418	903	418	6	0
501012	5	153	10300801	66	1			2301	99	903	418	903	418	6	0
501021	5	154	10200501	68	1			2379	99	934	433	934	433	6	0
501022	5	155	10100201	68	1			2379	99	934	433	934	433	6	0
501023	5	156	10300801	68	1			2379	99	934	433	934	433	6	0
501031	5	157	10200701	70	1			2800	99	1024	488	1024	488	6	0
501032	5	158	10300801	70	1			2800	99	1024	488	1024	488	6	0
501041	5	159	10200401	72	1			2292	99	936	434	936	434	6	0
501042	5	160	10300801	72	1			2292	99	936	434	936	434	6	0
501051	5	161	10200401	74	1			2364	99	966	448	966	448	6	0
501052	5	162	10200401	74	1			2364	99	966	448	966	448	6	0
501053	5	163	10401001	74	1			2364	99	966	448	966	448	6	0
501061	5	164	10400501	76	1			2486	99	1036	473	1036	473	6	0
501062	5	165	10400501	76	1			2486	99	1036	473	1036	473	6	0
501063	5	166	10400701	76	1			3164	99	1200	556	1200	556	6	0
501064	5	167	10401001	76	1			3164	99	1200	556	1200	556	6	0
501071	5	168	10400501	77	1			2510	99	1046	475	1046	475	6	0
501072	5	169	10400501	77	1			2510	99	1046	475	1046	475	6	0
501081	5	170	10400501	78	1			2558	99	1066	487	1066	487	6	0
501082	5	171	10401001	78	1			2558	99	1066	487	1066	487	6	0
501091	5	172	10401001	79	1			2873	99	1159	526	1159	526	6	0
501092	5	173	10500201	79	1			3284	99	1243	575	1243	575	6	0
501093	5	174	10500301	79	1			3284	99	1243	575	1243	575	6	0
501094	5	175	10600301	79	1			3284	99	1243	575	1243	575	6	0
601011	6	176	10200201	80	1			2925	99	1180	538	1180	538	6	0
601012	6	177	10200501	80	1			2925	99	1180	538	1180	538	6	0
601013	6	178	10200601	80	1			3340	99	1264	588	1264	588	6	0
601014	6	179	10400701	80	1			3340	99	1264	588	1264	588	6	0
601021	6	180	10200101	80	1			2973	99	1199	557	1199	557	6	0
601022	6	181	10200601	80	1			3388	99	1283	607	1283	607	6	0
601023	6	182	10200701	80	1			3388	99	1283	607	1283	607	6	0
601024	6	183	10400701	80	1			3388	99	1283	607	1283	607	6	0
601031	6	184	10300201	80	1			3021	99	1218	577	1218	577	6	0
601032	6	185	10300601	80	1			3021	99	1218	577	1218	577	6	0
601033	6	186	10300301	80	1			3436	99	1302	626	1302	626	6	0
601034	6	187	10400701	80	1			3436	99	1302	626	1302	626	6	0
601041	6	188	10300101	80	1			3069	99	1237	596	1237	596	6	0
601042	6	189	10300301	80	1			3484	99	1321	645	1321	645	6	0
601043	6	190	10300701	80	1			3484	99	1321	645	1321	645	6	0
601044	6	191	10400701	80	1			3484	99	1321	645	1321	645	6	0
601051	6	192	10400201	80	1			3117	99	1256	615	1256	615	6	0
601052	6	193	10400401	80	1			3117	99	1256	615	1256	615	6	0
601053	6	194	10400601	80	1			3532	99	1340	664	1340	664	6	0
601054	6	195	10201201	80	1			3532	99	1340	664	1340	664	6	0
601061	6	196	10400101	80	1			3165	99	1276	634	1276	634	6	0
601062	6	197	10400601	80	1			3580	99	1360	684	1360	684	6	0
601063	6	198	10400701	80	1			3580	99	1360	684	1360	684	6	0
601064	6	199	10201201	80	1			3580	99	1360	684	1360	684	6	0
601071	6	200	10201201	80	1			3580	99	1360	684	1360	684	6	0
601072	6	201	10400601	80	1			3580	99	1360	684	1360	684	6	0
601073	6	202	10300301	80	1			3580	99	1360	684	1360	684	6	0
601074	6	203	10500101	80	1			3580	99	1360	684	1360	684	6	0
601081	6	204	10201201	80	1			3580	99	1360	684	1360	684	6	0
601082	6	205	10200701	80	1			3580	99	1360	684	1360	684	6	0
601083	6	206	10400701	80	1			3580	99	1360	684	1360	684	6	0
601084	6	207	10500201	80	1			3580	99	1360	684	1360	684	6	0
601091	6	208	10400801	80	1			3580	99	1360	684	1360	684	6	0
601092	6	209	10300801	80	1			3580	99	1360	684	1360	684	6	0
601093	6	210	10200801	80	1			3580	99	1360	684	1360	684	6	0
601094	6	211	10600101	80	1			3580	99	1360	684	1360	684	6	0
202011	2	1101	10100301	6	1			72	50	52	9	52	9	1	0
202021	2	1102	10100301	9	1			85	50	62	11	62	11	1	0
202022	2	1103	10100301	9	1			119	50	70	4	70	4	2	0
202031	2	1104	10200401	12	1			141	50	78	26	78	26	2	0
202041	2	1105	10300501	18	1			159	50	91	30	91	30	2	0
202051	2	1106	10400501	22	1			245	50	111	35	111	35	2	0
202052	2	1107	10100101	22	1			305	50	116	43	116	43	2	0
202061	2	1108	10100101	26	1			376	50	159	53	159	53	2	0
202062	2	1109	10100201	26	1			325	50	127	38	127	38	0	0
302011	3	1110	10200101	30	1			335	50	224	63	224	63	2	0
302012	3	1111	10200201	30	1			532	50	201	89	201	89	3	0
302021	3	1112	10300201	40	1			507	50	342	92	342	92	2	0
302022	3	1113	10300101	40	1			571	50	320	23	320	23	3	0
302023	3	1114	10300601	40	1			898	50	337	159	337	159	4	0
402011	4	1115	10400201	48	1			770	50	515	152	515	152	3	0
402012	4	1116	10400401	48	1			1027	50	396	152	396	152	3	0
402013	4	1117	10400101	48	1			1163	50	441	193	441	193	4	0
402021	4	1118	10100301	55	1			888	50	629	172	629	172	3	0
402022	4	1119	10100101	55	1			1079	50	605	45	605	45	4	0
402023	4	1120	10100201	55	1			1439	50	550	228	550	228	4	0
402024	4	1121	10500301	55	1			1920	50	657	342	657	342	5	0
502011	5	1122	10100101	68	1			1454	50	970	285	970	285	4	0
502012	5	1123	10100201	68	1			2177	50	826	357	826	357	5	0
502013	5	1124	10100101	68	1			2517	50	940	459	940	459	6	0
502021	5	1125	10200401	75	1			1912	50	1322	450	1322	450	6	0
502022	5	1126	10200201	75	1			2122	50	1169	99	1169	99	6	0
502023	5	1127	10200501	75	1			2830	50	1063	498	1063	498	6	0
502024	5	1128	10200601	75	1			3250	50	1110	570	1110	570	6	0
602011	6	1129	10300501	80	1			2100	50	1469	488	1469	488	6	0
602012	6	1130	10300201	80	1			3112	50	1190	542	1190	542	6	0
602013	6	1131	10300601	80	1			3112	50	1190	542	1190	542	6	0
602014	6	1132	10300301	80	1			3575	50	1250	621	1250	621	6	0
602021	6	1133	10400501	80	1			2184	50	1547	515	1547	515	6	0
602022	6	1134	10400201	80	1			2432	50	1391	115	1391	115	6	0
602023	6	1135	10400401	80	1			3243	50	1265	575	1265	575	6	0
602024	6	1136	10400601	80	1			3725	50	1340	660	1340	660	6	0
602031	6	1137	10100101	80	1			2601	50	1800	629	1800	629	6	0
602032	6	1138	10500101	80	1			2981	50	1628	144	1628	144	6	0
602033	6	1139	10500301	80	1			3975	50	1480	722	1480	722	6	0
602034	6	1140	10500201	80	1			3975	50	1480	722	1480	722	6	0
203011	2	2101	10100101	15	1			192	99	81	21	81	21	2	0
203021	2	2102	10100301	15	1			161	99	68	17	68	17	3	0
203022	2	2103	10200301	15	1			161	99	68	17	68	17	3	0
203031	2	2104	10200401	15	1			172	99	72	19	72	19	3	0
203032	2	2105	10200201	15	1			198	99	80	22	80	22	3	0
203041	2	2106	10200401	15	1			217	99	90	37	90	37	3	0
203042	2	2107	10100201	15	1			243	99	98	40	98	40	3	0
203051	2	2108	10200501	22	1			255	99	99	41	99	41	4	0
203061	2	2109	10100301	22	1			268	99	108	49	108	49	4	0
203062	2	2110	10200201	22	1			297	99	115	52	115	52	4	0
203071	2	2111	10200401	30	1			354	99	144	65	144	65	4	0
203072	2	2112	10200501	30	1			391	99	152	69	152	69	4	0
203073	2	2113	10200801	30	1			447	99	161	75	161	75	4	0
303011	3	2114	10100301	35	1			540	99	227	99	227	99	4	0
303012	3	2115	10300401	35	1			540	99	227	99	227	99	4	0
303021	3	2116	10300501	35	1			562	99	236	108	236	108	4	0
303022	3	2117	10100101	35	1			626	99	256	116	256	116	4	0
303031	3	2118	10300401	35	1			585	99	245	117	245	117	4	0
303032	3	2119	10100201	35	1			649	99	265	125	265	125	4	0
303033	3	2120	10300101	35	1			649	99	265	125	265	125	4	0
303041	3	2121	10100301	35	1			776	99	315	146	315	146	5	0
303042	3	2122	10300501	35	1			776	99	315	146	315	146	5	0
303051	3	2123	10100301	40	1			855	99	348	161	348	161	5	0
303052	3	2124	10300601	40	1			949	99	372	173	372	173	5	0
303053	3	2125	10300701	40	1			1083	99	396	189	396	189	5	0
303061	3	2126	10100201	40	1			971	99	381	182	381	182	5	0
303062	3	2127	10300101	40	1			971	99	381	182	381	182	5	0
303071	3	2128	10300401	45	1			1006	99	421	193	421	193	5	0
303072	3	2129	10300201	45	1			1125	99	459	208	459	208	5	0
303073	3	2130	10300601	45	1			1125	99	459	208	459	208	5	0
303074	3	2131	10300701	45	1			1290	99	496	228	496	228	5	0
403011	4	2132	10100301	50	1			1182	99	494	223	494	223	5	0
403012	4	2133	10400501	50	1			1182	99	494	223	494	223	5	0
403013	4	2134	10400401	50	1			1320	99	536	241	536	241	5	0
403021	4	2135	10400301	50	1			1206	99	504	233	504	233	5	0
403022	4	2136	10100201	50	1			1344	99	546	251	546	251	5	0
403023	4	2137	10400201	50	1			1344	99	546	251	546	251	5	0
403031	4	2138	10100101	50	1			1368	99	555	260	555	260	5	0
403032	4	2139	10400101	50	1			1368	99	555	260	555	260	5	0
403033	4	2140	10400201	50	1			1368	99	555	260	555	260	5	0
403034	4	2141	10400601	50	1			1560	99	597	284	597	284	5	0
403041	4	2142	10400201	50	1			1392	99	565	270	565	270	5	0
403042	4	2143	10100201	50	1			1392	99	565	270	565	270	5	0
403043	4	2144	10400101	50	1			1392	99	565	270	565	270	5	0
403044	4	2145	10400401	50	1			1392	99	565	270	565	270	5	0
403051	4	2146	10400301	55	1			1704	99	693	318	693	318	6	0
403052	4	2147	10400201	55	1			1895	99	744	341	744	341	6	0
403061	4	2148	10400501	55	1			1704	99	693	318	693	318	6	0
403062	4	2149	10400101	55	1			1895	99	744	341	744	341	6	0
403071	4	2150	10400301	55	1			1752	99	713	337	713	337	6	0
403072	4	2151	10100101	55	1			1943	99	763	360	763	360	6	0
403073	4	2152	10400201	55	1			1943	99	763	360	763	360	6	0
403081	4	2153	10400501	55	1			1752	99	713	337	713	337	6	0
403082	4	2154	10100201	55	1			1943	99	763	360	763	360	6	0
403083	4	2155	10400101	55	1			1943	99	763	360	763	360	6	0
403091	4	2156	10400301	60	1			1958	99	817	377	817	377	6	0
403092	4	2157	10400201	60	1			2189	99	890	407	890	407	6	0
403093	4	2158	10400101	60	1			2189	99	890	407	890	407	6	0
403094	4	2159	10400701	60	1			2508	99	963	447	963	447	6	0
403101	4	2160	10400501	60	1			1958	99	817	377	817	377	6	0
403102	4	2161	10400101	60	1			2189	99	890	407	890	407	6	0
403103	4	2162	10400401	60	1			2189	99	890	407	890	407	6	0
403104	4	2163	10400801	60	1			2508	99	963	447	963	447	6	0
503011	5	2164	10200301	66	1			2284	99	953	436	953	436	6	0
503012	5	2165	10200101	66	1			2550	99	1034	470	1034	470	6	0
503013	5	2166	10200201	66	1			2550	99	1034	470	1034	470	6	0
503014	5	2167	10200801	66	1			2919	99	1115	515	1115	515	6	0
503021	5	2168	10300401	66	1			2335	99	973	456	973	456	6	0
503022	5	2169	10300101	66	1			2601	99	1054	491	1054	491	6	0
503023	5	2170	10300201	66	1			2601	99	1054	491	1054	491	6	0
503024	5	2171	10300801	66	1			2970	99	1135	536	1135	536	6	0
503031	5	2172	10400301	66	1			2386	99	994	477	994	477	6	0
503032	5	2173	10400101	66	1			2652	99	1075	511	1075	511	6	0
503033	5	2174	10400201	66	1			2652	99	1075	511	1075	511	6	0
503034	5	2175	10400801	66	1			3021	99	1156	556	1156	556	6	0
503041	5	2176	10100101	66	1			2703	99	1095	531	1095	531	6	0
503042	5	2177	10500101	66	1			3072	99	1176	577	1176	577	6	0
503043	5	2178	10500301	66	1			3072	99	1176	577	1176	577	6	0
503044	5	2179	10500201	66	1			3072	99	1176	577	1176	577	6	0
503051	5	2180	10200301	73	1			2666	99	1109	535	1109	535	6	0
503052	5	2181	10200101	73	1			2956	99	1195	572	1195	572	6	0
503053	5	2182	10200201	73	1			2956	99	1195	572	1195	572	6	0
503054	5	2183	10200801	73	1			3361	99	1280	621	1280	621	6	0
503061	5	2184	10300401	73	1			2666	99	1109	535	1109	535	6	0
503062	5	2185	10300101	73	1			2956	99	1195	572	1195	572	6	0
503063	5	2186	10300201	73	1			2956	99	1195	572	1195	572	6	0
503064	5	2187	10300801	73	1			3361	99	1280	621	1280	621	6	0
503071	5	2188	10400301	73	1			2717	99	1130	556	1130	556	6	0
503072	5	2189	10400101	73	1			3007	99	1215	592	1215	592	6	0
503073	5	2190	10400201	73	1			3007	99	1215	592	1215	592	6	0
503074	5	2191	10400801	73	1			3412	99	1300	641	1300	641	6	0
503081	5	2192	10200401	73	1			2717	99	1130	556	1130	556	6	0
503082	5	2193	10200501	73	1			3007	99	1215	592	1215	592	6	0
503083	5	2194	10200201	73	1			3007	99	1215	592	1215	592	6	0
503084	5	2195	10200701	73	1			3412	99	1300	641	1300	641	6	0
503091	5	2196	10100101	80	1			3260	99	1314	633	1314	633	6	0
503092	5	2197	10500201	80	1			3701	99	1404	685	1404	685	6	0
503093	5	2198	10500301	80	1			3701	99	1404	685	1404	685	6	0
503094	5	2199	10500101	80	1			3701	99	1404	685	1404	685	6	0
503101	5	2200	10100201	80	1			3260	99	1314	633	1314	633	6	0
503102	5	2201	10500101	80	1			3701	99	1404	685	1404	685	6	0
503103	5	2202	10500301	80	1			3701	99	1404	685	1404	685	6	0
503104	5	2203	10500201	80	1			3701	99	1404	685	1404	685	6	0
603011	6	2204	10400401	80	1			3658	99	1535	722	1535	722	6	0
603012	6	2205	10400201	80	1			3658	99	1535	722	1535	722	6	0
603013	6	2206	10400701	80	1			4176	99	1670	788	1670	788	6	0
603014	6	2207	10400601	80	1			4176	99	1670	788	1670	788	6	0
603021	6	2208	10200501	80	1			3712	99	1557	744	1557	744	6	0
603022	6	2209	10200201	80	1			3712	99	1557	744	1557	744	6	0
603023	6	2210	10200701	80	1			4230	99	1692	810	1692	810	6	0
603024	6	2211	10200601	80	1			4230	99	1692	810	1692	810	6	0
603031	6	2212	10300601	80	1			3712	99	1557	744	1557	744	6	0
603032	6	2213	10300201	80	1			3712	99	1557	744	1557	744	6	0
603033	6	2214	10300701	80	1			4230	99	1692	810	1692	810	6	0
603034	6	2215	10300301	80	1			4230	99	1692	810	1692	810	6	0
603041	6	2216	10500201	80	1			4230	99	1692	810	1692	810	6	0
603042	6	2217	10500301	80	1			4230	99	1692	810	1692	810	6	0
603043	6	2218	10500101	80	1			4230	99	1692	810	1692	810	6	0
603044	6	2219	10500201	80	1			4230	99	1692	810	1692	810	6	0
603051	6	2220	10200101	80	1			3712	99	1557	744	1557	744	6	0
603052	6	2221	10200801	80	1			4230	99	1692	810	1692	810	6	0
603053	6	2222	10200701	80	1			4230	99	1692	810	1692	810	6	0
603054	6	2223	10200601	80	1			4230	99	1692	810	1692	810	6	0
603061	6	2224	10300101	80	1			3712	99	1557	744	1557	744	6	0
603062	6	2225	10300801	80	1			4230	99	1692	810	1692	810	6	0
603063	6	2226	10300701	80	1			4230	99	1692	810	1692	810	6	0
603064	6	2227	10300301	80	1			4230	99	1692	810	1692	810	6	0
603071	6	2228	10400101	80	1			3712	99	1557	744	1557	744	6	0
603072	6	2229	10400801	80	1			4230	99	1692	810	1692	810	6	0
603073	6	2230	10400701	80	1			4230	99	1692	810	1692	810	6	0
603074	6	2231	10400601	80	1			4230	99	1692	810	1692	810	6	0
603081	6	2232	10100101	80	1			3712	99	1557	744	1557	744	6	0
603082	6	2233	10500101	80	1			4230	99	1692	810	1692	810	6	0
603083	6	2234	10500201	80	1			4230	99	1692	810	1692	810	6	0
603084	6	2235	10500301	80	1			4230	99	1692	810	1692	810	6	0
603091	6	2236	10300701	80	1			4230	99	1692	810	1692	810	6	0
603092	6	2237	10400701	80	1			4230	99	1692	810	1692	810	6	0
603093	6	2238	10200701	80	1			4230	99	1692	810	1692	810	6	0
603094	6	2239	10500301	80	1			4230	99	1692	810	1692	810	6	0
603101	6	2240	10300301	80	1			4230	99	1692	810	1692	810	6	0
603102	6	2241	10400801	80	1			4230	99	1692	810	1692	810	6	0
603103	6	2242	10200801	80	1			4230	99	1692	810	1692	810	6	0
603104	6	2243	10500201	80	1			4230	99	1692	810	1692	810	6	0
205011	2	3101	10200301	25	1			345	50	140	51	140	51	2	0
205012	2	3102	10200101	25	1			381	50	146	55	146	55	2	0
205021	2	3103	10200401	25	1			345	50	140	51	140	51	2	0
205022	2	3104	10200201	25	1			381	50	146	55	146	55	2	0
205031	2	3105	10200301	25	1			345	50	140	51	140	51	2	0
205032	2	3106	10200501	25	1			381	50	146	55	146	55	2	0
205041	2	3107	10200401	25	1			345	50	140	51	140	51	2	0
205042	2	3108	10200101	25	1			381	50	146	55	146	55	2	0
205051	2	3109	10200301	30	1			540	50	216	93	216	93	3	0
205052	2	3110	10200201	30	1			592	50	225	101	225	101	3	0
205053	2	3111	10200701	30	1			670	50	234	114	234	114	3	0
205061	2	3112	10200401	30	1			540	50	216	93	216	93	3	0
205062	2	3113	10200501	30	1			592	50	225	101	225	101	3	0
205063	2	3114	10200601	30	1			670	50	234	114	234	114	3	0
205071	2	3115	10200101	35	1			752	50	288	124	288	124	3	0
205072	2	3116	10200201	35	1			752	50	288	124	288	124	3	0
205073	2	3117	10200501	35	1			752	50	288	124	288	124	3	0
205074	2	3118	10200801	35	1			845	50	299	139	299	139	3	0
305011	3	3119	10300401	40	1			960	50	382	174	382	174	4	0
305012	3	3120	10300101	40	1			1048	50	397	189	397	189	4	0
305013	3	3121	10300201	40	1			1048	50	397	189	397	189	4	0
305021	3	3122	10300501	40	1			960	50	382	174	382	174	4	0
305022	3	3123	10300601	40	1			1048	50	397	189	397	189	4	0
305023	3	3124	10300101	40	1			1048	50	397	189	397	189	4	0
305031	3	3125	10300401	40	1			960	50	382	174	382	174	4	0
305032	3	3126	10300201	40	1			1048	50	397	189	397	189	4	0
305033	3	3127	10300601	40	1			1048	50	397	189	397	189	4	0
305041	3	3128	10300501	40	1			960	50	382	174	382	174	4	0
305042	3	3129	10300101	40	1			1048	50	397	189	397	189	4	0
305043	3	3130	10300201	40	1			1048	50	397	189	397	189	4	0
305051	3	3131	10300401	45	1			1140	50	456	199	456	199	4	0
305052	3	3132	10300601	45	1			1242	50	473	216	473	216	4	0
305053	3	3133	10300101	45	1			1242	50	473	216	473	216	4	0
305054	3	3134	10300701	45	1			1395	50	491	241	491	241	4	0
305061	3	3135	10300501	45	1			1140	50	456	199	456	199	4	0
305062	3	3136	10300201	45	1			1242	50	473	216	473	216	4	0
305063	3	3137	10300601	45	1			1242	50	473	216	473	216	4	0
305064	3	3138	10300301	45	1			1395	50	491	241	491	241	4	0
305071	3	3139	10300101	50	1			1674	50	630	314	630	314	5	0
305072	3	3140	10300201	50	1			1674	50	630	314	630	314	5	0
305073	3	3141	10300601	50	1			1674	50	630	314	630	314	5	0
305074	3	3142	10300801	50	1			1890	50	654	354	654	354	5	0
405011	4	3143	10400301	55	1			1740	50	693	316	693	316	5	0
405012	4	3144	10400101	55	1			1902	50	720	344	720	344	5	0
405013	4	3145	10400201	55	1			1902	50	720	344	720	344	5	0
405021	4	3146	10400501	55	1			1740	50	693	316	693	316	5	0
405022	4	3147	10400401	55	1			1902	50	720	344	720	344	5	0
405023	4	3148	10400101	55	1			1902	50	720	344	720	344	5	0
405031	4	3149	10400301	55	1			1740	50	693	316	693	316	5	0
405032	4	3150	10400201	55	1			1902	50	720	344	720	344	5	0
405033	4	3151	10400401	55	1			1902	50	720	344	720	344	5	0
405041	4	3152	10400501	55	1			1740	50	693	316	693	316	5	0
405042	4	3153	10400101	55	1			1902	50	720	344	720	344	5	0
405043	4	3154	10400201	55	1			1902	50	720	344	720	344	5	0
405051	4	3155	10400301	60	1			2250	50	888	435	888	435	6	0
405052	4	3156	10400401	60	1			2470	50	924	477	924	477	6	0
405053	4	3157	10400101	60	1			2470	50	924	477	924	477	6	0
405054	4	3158	10400701	60	1			2800	50	960	540	960	540	6	0
405061	4	3159	10400501	60	1			2250	50	888	435	888	435	6	0
405062	4	3160	10400201	60	1			2470	50	924	477	924	477	6	0
405063	4	3161	10400401	60	1			2470	50	924	477	924	477	6	0
405064	4	3162	10400601	60	1			2800	50	960	540	960	540	6	0
405071	4	3163	10400101	70	1			2885	50	1087	526	1087	526	6	0
405072	4	3164	10400201	70	1			2885	50	1087	526	1087	526	6	0
405073	4	3165	10400401	70	1			2885	50	1087	526	1087	526	6	0
405074	4	3166	10400801	70	1			3275	50	1130	595	1130	595	6	0
505011	5	3167	10500101	75	1			3550	50	1230	630	1230	630	6	0
505012	5	3168	10500201	75	1			3550	50	1230	630	1230	630	6	0
505013	5	3169	10500301	75	1			3550	50	1230	630	1230	630	6	0
505021	5	3170	10500101	75	1			3550	50	1230	630	1230	630	6	0
505022	5	3171	10500201	75	1			3550	50	1230	630	1230	630	6	0
505023	5	3172	10500301	75	1			3550	50	1230	630	1230	630	6	0
505031	5	3173	10500101	75	1			3550	50	1230	630	1230	630	6	0
505032	5	3174	10500201	75	1			3550	50	1230	630	1230	630	6	0
505033	5	3175	10500301	75	1			3550	50	1230	630	1230	630	6	0
505041	5	3176	10500101	75	1			3550	50	1230	630	1230	630	6	0
505042	5	3177	10500201	75	1			3550	50	1230	630	1230	630	6	0
505043	5	3178	10500301	75	1			3550	50	1230	630	1230	630	6	0
505051	5	3179	10500101	80	1			3825	50	1330	665	1330	665	6	0
505052	5	3180	10500101	80	1			3825	50	1330	665	1330	665	6	0
505053	5	3181	10500101	80	1			3825	50	1330	665	1330	665	6	0
505054	5	3182	10500101	80	1			3825	50	1330	665	1330	665	6	0
505061	5	3183	10500301	80	1			3825	50	1330	665	1330	665	6	0
505062	5	3184	10500301	80	1			3825	50	1330	665	1330	665	6	0
505063	5	3185	10500301	80	1			3825	50	1330	665	1330	665	6	0
505064	5	3186	10500301	80	1			3825	50	1330	665	1330	665	6	0
505071	5	3187	10500201	80	1			3900	50	1360	680	1360	680	6	0
505072	5	3188	10500201	80	1			3900	50	1360	680	1360	680	6	0
505073	5	3189	10500201	80	1			3900	50	1360	680	1360	680	6	0
505074	5	3190	10500201	80	1			3900	50	1360	680	1360	680	6	0
605011	6	3191	10500101	80	1			4100	50	1460	726	1460	726	6	0
605012	6	3192	10500201	80	1			4100	50	1460	726	1460	726	6	0
605013	6	3193	10500301	80	1			4100	50	1460	726	1460	726	6	0
605021	6	3194	10500101	80	1			4100	50	1460	726	1460	726	6	0
605022	6	3195	10500201	80	1			4100	50	1460	726	1460	726	6	0
605023	6	3196	10500301	80	1			4100	50	1460	726	1460	726	6	0
605031	6	3197	10500101	80	1			4100	50	1460	726	1460	726	6	0
605032	6	3198	10500201	80	1			4100	50	1460	726	1460	726	6	0
605033	6	3199	10500301	80	1			4100	50	1460	726	1460	726	6	0
605041	6	3200	10500101	80	1			4100	50	1460	726	1460	726	6	0
605042	6	3201	10500201	80	1			4100	50	1460	726	1460	726	6	0
605043	6	3202	10500301	80	1			4100	50	1460	726	1460	726	6	0
605051	6	3203	10500101	80	1			4425	50	1660	812	1660	812	6	0
605052	6	3204	10500101	80	1			4425	50	1660	812	1660	812	6	0
605053	6	3205	10500101	80	1			4425	50	1660	812	1660	812	6	0
605054	6	3206	10500101	80	1			4425	50	1660	812	1660	812	6	0
605061	6	3207	10500301	80	1			4425	50	1660	812	1660	812	6	0
605062	6	3208	10500301	80	1			4425	50	1660	812	1660	812	6	0
605063	6	3209	10500301	80	1			4425	50	1660	812	1660	812	6	0
