字段名称	id	studyActiveRule	activeRule	passiveRule	featuresRule
格林鹿	10400202	1,1104001#6,1104003#12,1104009#18,1104007#24,1101007#30,1101011#42,1104004#54,1104010	1104001#1104003#1104009#1104007#1101007#1101011#1104004#1104010	1202001,0#1202009,0#1202005,1#1202006,2#1202007,3#1202013,4	1301022#1302022
雷格鹿	10400203	1,1104001#6,1104003#12,1104009#18,1104007#24,1101007#30,1101011#42,1104004#54,1104010	1104001#1104003#1104009#1104007#1101007#1101011#1104004#1104010	1202001,0#1202009,0#1202005,1#1202006,2#1202007,3#1202013,4	1301022#1302022
霹雳熊	10100101	1,1101001#6,1101007#12,1101003#18,1101015#24,1101016#30,1101011#42,1101008#54,1101004	1101001#1101007#1101003#1101015#1101016#1101011#1101008#1101004	1202004,0#1202006,0#1202009,1#1202001,2#1202011,3#1202015,4	1301013#1302013
火箭熊	10100102	1,1101001#6,1101007#12,1101003#18,1101015#24,1101016#30,1101011#42,1101008#54,1101004	1101001#1101007#1101003#1101015#1101016#1101011#1101008#1101004	1202004,0#1202006,0#1202009,1#1202001,2#1202011,3#1202015,4	1301013#1302013
皮皮鸟	10300301	1,1103002#1,1101002#6,1103004#12,1103009#18,1101017#24,1103008#30,1101014#36,1101011#42,1101012#54,1103010	1103002#1101002#1103004#1103009#1101017#1103008#1101014#1101011#1101012#1103010	1203026,0#1203027,0#1203011,0#1203028,1#1203029,2#1203014,3#1203030,4#1203002,5	1301006#1302006
皮亚鸟	10300302	1,1103002#1,1101002#6,1103004#12,1103009#18,1101017#24,1103008#30,1101014#36,1101011#42,1101012#54,1103010	1103002#1101002#1103004#1103009#1101017#1103008#1101014#1101011#1101012#1103010	1203026,0#1203027,0#1203011,0#1203028,1#1203029,2#1203014,3#1203030,4#1203002,5	1301006#1302006
拉肯	10200301	1,1102001#6,1102003#12,1101010#18,1101009#30,1102005#42,1102004	1102001#1102003#1101010#1101009#1102005#1102004	1201002,0#1201004,1#1201005,2#1201013,3	1301025#1302025
古德拉	10200302	1,1102001#6,1102003#12,1101010#18,1101009#30,1102005#42,1102004	1102001#1102003#1101010#1101009#1102005#1102004	1201002,0#1201004,1#1201005,2#1201013,3	1301025#1302025
小娜拉	10300401	1,1103001#6,1103003#12,1101011#18,1103007#30,1101015#42,1103004	1103001#1103003#1101011#1103007#1101015#1103004	1201006,0#1201002,1#1201003,2#1201014,3	1301027#1302027
肯蒂娜	10300402	1,1103001#6,1103003#12,1101011#18,1103007#30,1101015#42,1103004	1103001#1103003#1101011#1103007#1101015#1103004	1201006,0#1201002,1#1201003,2#1201014,3	1301027#1302027
旋风隼	10100201	1,1101001#6,1101011#12,1101005#18,1101013#24,1101010#30,1101009#42,1101017#54,1101006	1101001#1101011#1101005#1101013#1101010#1101009#1101017#1101006	1202003,0#1202005,0#1202002,1#1202010,2#1202001,3#1202016,4	1301014#1302014
疾风隼	10100202	1,1101001#6,1101011#12,1101005#18,1101013#24,1101010#30,1101009#42,1101017#54,1101006	1101001#1101011#1101005#1101013#1101010#1101009#1101017#1101006	1202003,0#1202005,0#1202002,1#1202010,2#1202001,3#1202016,4	1301014#1302014
格斗小子	10100301	1,1101001#6,1101007#12,1101002#18,1101009#30,1101016#42,1101008	1101001#1101007#1101002#1101009#1101016#1101008	1201003,0#1201001,1#1201006,2#1201014,3	1301024#1302024
格斗拳王	10100302	1,1101001#6,1101007#12,1101002#18,1101009#30,1101016#42,1101008	1101001#1101007#1101002#1101009#1101016#1101008	1201003,0#1201001,1#1201006,2#1201014,3	1301024#1302024
小紫驹	10300501	1,1103001#6,1103003#12,1101007#18,1103005#30,1103004#42,1101015	1103001#1103003#1101007#1103005#1103004#1101015	1201001,0#1201004,1#1201006,2#1201011,3	1301028#1302028
莎马特	10300502	1,1103001#6,1103003#12,1101007#18,1103005#30,1103004#42,1101015	1103001#1103003#1101007#1103005#1103004#1101015	1201001,0#1201004,1#1201006,2#1201011,3	1301028#1302028
月芽鼠	10400301	1,1104001#6,1104003#12,1101011#18,1101007#30,1104004#42,1104007	1104001#1104003#1101011#1101007#1104004#1104007	1201004,0#1201005,1#1201002,2#1201012,3	1301029#1302029
月华鼠	10400302	1,1104001#6,1104003#12,1101011#18,1101007#30,1104004#42,1104007	1104001#1104003#1101011#1101007#1104004#1104007	1201004,0#1201005,1#1201002,2#1201012,3	1301029#1302029
含羞花	10400401	1,1104001#6,1104003#12,1104012#18,1104007#24,1101011#30,1101007#42,1104004#54,1104013	1104001#1104003#1104012#1104007#1101011#1101007#1104004#1104013	1202002,0#1202009,0#1202001,1#1202004,2#1202006,3#1202012,4	1301023#1302023
洛图斯	10400402	1,1104001#6,1104003#12,1104012#18,1104007#24,1101011#30,1101007#42,1104004#54,1104013	1104001#1104003#1104012#1104007#1101011#1101007#1104004#1104013	1202002,0#1202009,0#1202001,1#1202004,2#1202006,3#1202012,4	1301023#1302023
橘蝶蛹	10300601	1,1103001#6,1103003#12,1103013#18,1103005#24,1101011#30,1101012#42,1103004#54,1103014	1103001#1103003#1103013#1103005#1101011#1101012#1103004#1103014	1202024,0#1202011,0#1202006,1#1202004,2#1202002,3#1202014,4	1301020#1302020
烈火蝶	10300602	1,1103001#6,1103003#12,1103013#18,1103005#24,1101011#30,1101012#42,1103004#54,1103014	1103001#1103003#1103013#1103005#1101011#1101012#1103004#1103014	1202024,0#1202011,0#1202006,1#1202004,2#1202002,3#1202014,4	1301020#1302020
小居蟹	10200401	1,1102001#6,1102003#12,1101007#18,1101016#30,1102004#42,1102005	1102001#1102003#1101007#1101016#1102004#1102005	1201006,0#1201007,1#1201001,2#1201010,3	1301026#1302026
长尾蟹	10200402	1,1102001#6,1102003#12,1101007#18,1101016#30,1102004#42,1102005	1102001#1102003#1101007#1101016#1102004#1102005	1201006,0#1201007,1#1201001,2#1201010,3	1301026#1302026
小荷蛙	10400501	1,1104001#6,1104003#12,1101016#18,1101012#30,1104005#42,1104004	1104001#1104003#1101016#1101012#1104005#1104004	1201001,0#1201003,1#1201006,2#1201009,3	1301030#1302030
荷叶蛙王	10400502	1,1104001#6,1104003#12,1101016#18,1101012#30,1104005#42,1104004	1104001#1104003#1101016#1101012#1104005#1104004	1201001,0#1201003,1#1201006,2#1201009,3	1301030#1302030
凯希	10200501	1,1102001#6,1102012#12,1102003#18,1102005#24,1101007#30,1102004#42,1101017#54,1102013	1102001#1102012#1102003#1102005#1101007#1102004#1101017#1102013	1202010,0#1202008,0#1202001,1#1202002,2#1202008,3#1202014,4	1301017#1302017
凯特	10200502	1,1102001#6,1102012#12,1102003#18,1102005#24,1101007#30,1102004#42,1101017#54,1102013	1102001#1102012#1102003#1102005#1101007#1102004#1101017#1102013	1202010,0#1202008,0#1202001,1#1202002,2#1202008,3#1202014,4	1301017#1302017
贝尔	10200601	1,1102002#1,1101002#6,1102010#12,1102004#18,1101008#24,1102006#30,1101015#36,1101016#42,1101006#54,1102011	1102002#1101002#1102010#1102004#1101008#1102006#1101015#1101016#1101006#1102011	1203020,0#1203001,0#1203010,0#1203004,1#1203006,2#1203014,3#1203016,4#1203002,5	1301003#1302003
人鱼公主	10200602	1,1102002#1,1101002#6,1102010#12,1102004#18,1101008#24,1102006#30,1101015#36,1101016#42,1101006#54,1102011	1102002#1101002#1102010#1102004#1101008#1102006#1101015#1101016#1101006#1102011	1203020,0#1203001,0#1203010,0#1203004,1#1203006,2#1203014,3#1203016,4#1203002,5	1301003#1302003
艾芙	10400601	1,1104002#1,1101002#6,1104004#12,1104017#18,1104013#24,1104008#30,1101011#36,1101006#42,1104018#54,1104014	1104002#1101002#1104004#1104017#1104013#1104008#1101011#1101006#1104018#1104014	1203002,0#1203001,0#1203009,0#1203002,1#1203004,2#1203014,3#1203006,4#1203002,5	1301009#1302009
莱茵	10400602	1,1104002#1,1101002#6,1104004#12,1104017#18,1104013#24,1104008#30,1101011#36,1101006#42,1104018#54,1104014	1104002#1101002#1104004#1104017#1104013#1104008#1101011#1101006#1104018#1104014	1203002,0#1203001,0#1203009,0#1203002,1#1203004,2#1203014,3#1203006,4#1203002,5	1301009#1302009
海魅魔蛇	10200701	1,1102002#1,1101002#6,1102013#12,1102004#18,1102008#24,1102006#30,1101006#36,1101004#42,1101008#54,1102014	1102002#1101002#1102013#1102004#1102008#1102006#1101006#1101004#1101008#1102014	1203008,0#1203001,0#1203010,0#1203004,1#1203018,2#1203012,3#1203006,4#1203019,5	1301002#1302002
埃文德	10300701	1,1103002#1,1101002#6,1103004#12,1103014#18,1101011#24,1103008#30,1101012#36,1103006#42,1101014#54,1103015	1103002#1101002#1103004#1103014#1101011#1103008#1101012#1103006#1101014#1103015	1203025,0#1203001,0#1203011,0#1203004,1#1203006,2#1203012,3#1203003,4#1203002,5	1301005#1302005
巫森精灵	10400701	1,1104002#1,1101002#6,1104004#12,1101008#18,1104017#24,1104006#30,1101015#36,1101016#42,1101004#54,1104018	1104002#1101002#1104004#1101008#1104017#1104006#1101015#1101016#1101004#1104018	1203001,0#1203032,0#1203009,0#1203002,1#1203033,2#1203013,3#1203003,4#1203005,5	1301008#1302008
欧塞顿	10200801	1,1102002#1,1101002#6,1102010#12,1102004#18,1101014#24,1102008#30,1101004#36,1102006#42,1101012#54,1102011	1102002#1101002#1102010#1102004#1101014#1102008#1101004#1102006#1101012#1102011	1203015,0#1203005,0#1203010,0#1203002,1#1203002,2#1203013,3#1203016,4#1203017,5	1301001#1302001
赫斯托斯	10300801	1,1103002#1,1101002#6,1103004#12,1101014#18,1103011#24,1101017#30,1103006#36,1101011#42,1103008#54,1103012	1103002#1101002#1103004#1101014#1103011#1101017#1103006#1101011#1103008#1103012	1203022,0#1203004,0#1203011,0#1203001,1#1203023,2#1203013,3#1203024,4#1203001,5	1301004#1302004
艾德米特	10400801	1,1104002#1,1101002#6,1104004#12,1104010#18,1104008#24,1104015#30,1101011#36,1101014#42,1104016#54,1104011	1104002#1101002#1104004#1104010#1104008#1104015#1101011#1101014#1104016#1104011	1203031,0#1203005,0#1203009,0#1203006,1#1203004,2#1203012,3#1203007,4#1203002,5	1301007#1302007
怠倦哥特	10500101	1,1105001#1,1101002#6,1101006#12,1105003#18,1105007#24,1101004#30,1105005#36,1105008#42,1105004#54,1105006	1105001#1101002#1101006#1105003#1105007#1101004#1105005#1105008#1105004#1105006	1203004,0#1203006,0#1203013,0#1203034,1#1203002,2#1203012,3#1203034,4#1203001,5	1301010#1302010
霍克	10500201	1,1105001#1,1101002#6,1105009#12,1101014#18,1103010#24,1105007#30,1105008#36,1101012#42,1104010#54,1105010	1105001#1101002#1105009#1101014#1103010#1105007#1105008#1101012#1104010#1105010	1203008,0#1203026,0#1203014,0#1203001,1#1203004,2#1203012,3#1203036,4#1203006,5	1301011#1302011
派勒瑟斯	10500301	1,1105002#1,1101002#6,1105008#12,1104013#18,1105011#24,1102010#30,1105007#36,1103011#42,1101012#54,1105012	1105002#1101002#1105008#1104013#1105011#1102010#1105007#1103011#1101012#1105012	1203037,0#1203001,0#1203014,0#1203003,1#1203007,2#1203013,3#1203038,4#1203008,5	1301012#1302012
属性加成主动测试	101	1,1101007#1,1101008#1,1102013#1,1101001	1101001#1102001#1102009#1102003#1101013#1102007#1101012#1102004#1102010	1202001,0	1301012#1302012
属性加成被动测试	102	11101001	1101001#1102001#1102009#1102003#1101013#1102007#1101012#1102004#1102010	1203001,0#1203015,0	1301012#1302012
属性减益主动测试	103	1,1101013#1,1101014#1,1101015#1,1101001	1101001#1102001#1102009#1102003#1101013#1102007#1101012#1102004#1102010	1202001,0	1301012#1302012
属性减益被动测试	104	11101001	1101001#1102001#1102009#1102003#1101013#1102007#1101012#1102004#1102010	1203017,0	1301012#1302012
主动施加混乱/麻痹/睡眠	105	1,1104011#1,1101006#1,1101004#1,1101001	1101001#1102001#1102009#1102003#1101013#1102007#1101012#1102004#1102010	1202001,0	1301012#1302012
被动施加混乱/麻痹/睡眠	106	11101001	1101001#1102001#1102009#1102003#1101013#1102007#1101012#1102004#1102010	1203034,0#1203035,0#1203031,0	1301012#1302012
主动施加灼烧/潮湿/中毒	107	1,1102004#1,1103004#1,1104004#1,1101001	1101001#1102001#1102009#1102003#1101013#1102007#1101012#1102004#1102010	1202001,0	1301012#1302012
被动施加灼烧/潮湿/中毒	108	11101001	1101001#1102001#1102009#1102003#1101013#1102007#1101012#1102004#1102010	1202024,0#1203018,0	1301012#1302012
无限连击主动测试	109	1,1102011#1,1101001	1101001#1102001#1102009#1102003#1101013#1102007#1101012#1102004#1102010	1202001,0	1301012#1302012
无限连击被动测试	110	11101001	1101001#1102001#1102009#1102003#1101013#1102007#1101012#1102004#1102010	1203021,0#1203016,0	1301012#1302012
反击测试	111	11101001	1101001#1102001#1102009#1102003#1101013#1102007#1101012#1102004#1102010	1203037,0#1203038,0	1301012#1302012
反弹测试	112	11101001	1101001#1102001#1102009#1102003#1101013#1102007#1101012#1102004#1102010	1203022,0#1203024,0	1301012#1302012
吸血被动测试	113	11101001	1101001#1102001#1102009#1102003#1101013#1102007#1101012#1102004#1102010	1202018,0#1202026,0	1301012#1302012
回血被动测试	114	1,1103011#1,1103012#1,1101001	1101001#1102001#1102009#1102003#1101013#1102007#1101012#1102004#1102010	1203032,0#1203023,0	1301012#1302012
复活测试	115	1,1103010#1,1101001	1101001#1102001#1102009#1102003#1101013#1102007#1101012#1102004#1102010	1203036,0#1203030,0#1202019,0	1301012#1302012
全异常免疫测试	116	1,1105008#1,1101001	1101001#1102001#1102009#1102003#1101013#1102007#1101012#1102004#1102010	1203009,0#1203010,0#1203011,0	1301012#1302012
超强测试宠	117	1,1105008#1,1101001	1101001#1102001#1102009#1102003#1101013#1102007#1101012#1102004#1102010	1203009,0#1203010,0#1203011,0	1301012#1302012
小火龙	1	1,1104001#6,1104003#12,1104009#18,1104007#24,1101007#30,1101011#36,1104004#42,1104010	1101001#1102001#1102009#1102003#1101013#1102007#1101012#1102004#1102010	1202010,0#1202002,1#1202005,2#1202017,3#1202007,4#1202012,5	1301022#1302022
火恐龙	2	1,1104001#6,1104003#12,1104009#18,1104007#24,1101007#30,1101011#36,1104004#42,1104010	1101001#1102001#1102009#1102003#1101013#1102007#1101012#1102004#1102010	1202010,0#1202002,1#1202005,2#1202017,3#1202007,4#1202012,5	1301022#1302022
喷火龙	3	1,1104001#6,1104003#12,1104012#18,1104007#24,1101011#30,1101007#36,1104004#42,1104013	1101001#1102001#1102009#1102003#1101013#1102007#1101012#1102004#1102010	1202010,0#1202002,1#1202005,2#1202017,3#1202007,4#1202012,5	1301022#1302022
托特	10201001	1,1102001#6,1102017#12,1102015#18,1102008#24,1102006#30,1102013#42,1102016#54,1102018	1102001#1102017#1102015#1102008#1102006#1102013#1102016#1102018	1202008,0#1202007,0#1202018,1#1202012,2#1202005,3#1202001,4	1301015#1302015
贝拉	10301001	1,1103001#6,1103018#12,1103004#18,1101012#24,1103008#30,1103016#42,1103019#54,1103014	1103001#1103018#1103004#1101012#1103008#1103016#1103019#1103014	1202024,0#1202001,0#1202004,1#1202006,2#1203013,3#1202007,4	1301019#1302019
雷可犬	10401101	1,1104001#6,1104003#12,1104017#18,1101007#24,1104019#30,1104004#42,1104020#54,1104018	1104001#1104003#1104017#1101007#1104019#1104004#1104020#1104018	1202001,0#1202004,0#1202006,1#1202022,2#1202023,3#1202001,4	1301021#1302021
枫叶熊	10100501	1,1101001#6,1101005#12,1101018#18,1101007#24,1101014#30,1101006#42,1101019#54,1101017	1101001#1101005#1101018#1101007#1101014#1101006#1101019#1101017	1202002,0#1202014,0#1202001,1#1202011,2#1202016,3#1202007,4	1301022#1302022
布拉泽	10201201	1,1102002#1,1101002#6,1102015#12,1102008#18,1102017#24,1102006#30,1102013#36,1102016#42,1102018#54,1102014	1102002#1101002#1102015#1102008#1102017#1102006#1102013#1102016#1102018#1102014	1203008,0#1203007,0#1203013,0#1203020,1#1203012,2#1203005,3#1203001,4#1203007,5	1301001#1302001
奇达	10301201	1,1103002#1,1101002#6,1103004#12,1103014#18,1103018#24,1103008#30,1101014#36,1103017#42,1103019#54,1103015	1103002#1101002#1103004#1103014#1103018#1103008#1101014#1103017#1103019#1103015	1203025,0#1203001,0#1203004,0#1203006,1#1203013,2#1203012,3#1203007,4#1203003,5	1301006#1302006
芙蕾尔	10401001	1,1104002#1,1104004#6,1104017#12,1101007#18,1104014#24,1104022#30,1104011#36,1104016#42,1104018#54,1104020	1104002#1104004#1104017#1101007#1104014#1104022#1104011#1104016#1104018#1104020	1203001,0#1203004,0#1203006,0#1203001,1#1203022,2#1203013,3#1203024,4#1203011,5	1301008#1302008
糖果猫	10100601	1,1101002#1,1101007#6,1101018#12,1101014#18,1101006#24,1101004#30,1101019#36,1101012#42,1101015#54,1101017	1101002#1101007#1101018#1101014#1101006#1101004#1101019#1101012#1101015#1101017	1203002,0#1203014,0#1203001,0#1203011,1#1203034,2#1203007,3#1203035,4#1203032,5	1301009#1302009
暴噬蜂	10600101	1,1105002#1,1101002#6,1105013#12,1105009#18,1101014#24,1105008#30,1101012#36,1105012#42,1105014#54,1105010	1105002#1101002#1105013#1105009#1101014#1105008#1101012#1105012#1105014#1105010	1203008,0#1203003,0#1203010,0#1203002,1#1203001,2#1203013,3#1203007,4#1203008,5	1301012#1302012
雷卓	10600301	1,1105001#1,1101002#6,1101007#12,1101013#18,1101008#24,1104009#30,1103009#36,1105008#42,1103010#54,1105007	1105001#1101002#1101007#1101013#1101008#1104009#1103009#1105008#1103010#1105007	1203001,0#1203004,0#1203022,0#1203037,1#1203006,2#1203024,3#1203038,4#1203024,5	1301011#1302011
叮铃铛	10400901	11101001	1101001#1102001#1102009#1102003#1101013#1102007#1101012#1102004#1102010	1203001,0#1203015,0	1301012#1302012
艾尔	10400902	11101001	1101001#1102001#1102009#1102003#1101013#1102007#1101012#1102004#1102010	1203001,0#1203015,0	1301012#1302012
埃米尔	10401301	11101002	1101001#1102001#1102009#1102003#1101013#1102007#1101012#1102004#1102011	1203001,0#1203015,1	1301012#1302013
德拉贡	10200901	1,1105001#1,1101002#6,1101006#12,1105003#18,1105007#24,1101004#30,1105005#36,1105008#42,1105004#54,1105006	1101001#1102001#1102009#1102003#1101013#1102007#1101012#1102004#1102012	1203001,0#1203015,2	1301012#1302014
洛德	10201102	11101004	1101001#1102001#1102009#1102003#1101013#1102007#1101012#1102004#1102013	1203001,0#1203015,3	1301012#1302015
拉斐	10300901	11101003	1101001#1102001#1102009#1102003#1101013#1102007#1101012#1102004#1102012	1203001,0#1203015,2	1301012#1302014
拉斐尔	10300902	11101003	1101001#1102001#1102009#1102003#1101013#1102007#1101012#1102004#1102012	1203001,0#1203015,2	1301012#1302014
长空鸟	10100401	11101001	1101001#1102001#1102009#1102003#1101013#1102007#1101012#1102004#1102010	1203001,0#1203015,0	1301012#1302012
库鲁	10401201	11101001	1101001#1102001#1102009#1102003#1101013#1102007#1101012#1102004#1102010	1203001,0#1203015,0	1301012#1302012
洛非	10201101	11101001	1101001#1102001#1102009#1102003#1101013#1102007#1101012#1102004#1102010	1203001,0#1203015,0	1301012#1302012
贝贝拉	10100702	11101001	1101001#1102001#1102009#1102003#1101013#1102007#1101012#1102004#1102010	1203001,0#1203015,0	1301012#1302012
伯鲁斯	10500401	1,1105001#1,1101002#6,1105005#12,1101013#18,1101003#24,1101008#30,1105008#36,1101004#42,1105004#54,1105010	1105001#1101002#1105005#1101013#1101003#1101008#1105008#1101004#1105004#1105010	1203001,0#1203004,0#1203007,0#1203037,1#1203008,2#1203013,3#1203002,4#1203035,5	1301010#1302010
瓦尔基里	10301301	1,1103002#1,1101002#6,1103004#12,1101014#18,1103014#24,1101017#30,1103011#36,1101011#42,1103008#54,1103010	1103002#1101002#1103004#1101014#1103014#1101017#1103012#1101011#1103010#1103015	1203026,0#1203001,0#1203036,0#1203004,1#1203023,2#1203012,3#1203016,4#1203001,5	1301004#1302004
阿波菲斯	10500501	1,1105005#1,1101001#6,1105009#12,1101014#18,1101012#24,1105007#30,1101016#36,1101010#42,1105008#54,1104008	1105005#1101001#1105009#1101014#1101012#1105007#1101016#1101010#1105008#1104008	1203032,0#1203001,0#1203003,0#1203020,1#1203005,2#1203008,3#1203015,4#1203016,5	1301010#1302010
卡纳尔	10301401	1,1103002#1,1101012#6,1103004#12,1103014#18,1103018#24,1103008#30,1101014#36,1103017#42,1103019#54,1103015	1103002#1101012#1103004#1103014#1103018#1103008#1101014#1103017#1103019#1103015	1203001,0#1203003,0#1203024,0#1203001,1#1203025,2#1203002,3#1203024,4#1203034,5	1301005#1302005
暗牙	10100801	1,1101002#1,1101003#6,1101007#12,1101008#18,1101009#24,1101005#30,1101014#36,1101015#42,1101018#54,1101019	1101001#1101003#1101007#1101008#1101009#1101005#1101014#1101015#1101018#1101019	1203016,0#1203003,0#1203035,0#1203004,1#1203002,2#1203020,3#1203021,4#1203008,5	1301007#1302007
黑爪	10100802	1,1101002#1,1101003#6,1101007#12,1101008#18,1101009#24,1101005#30,1101014#36,1101015#42,1101018#54,1101019	1101001#1101003#1101007#1101008#1101009#1101005#1101014#1101015#1101018#1101019	1203016,0#1203003,0#1203035,0#1203004,1#1203002,2#1203020,3#1203021,4#1203008,5	1301007#1302007
小艾达丝	10501501	1,1105002#1,1101001#6,1105004#12,1101011#18,1101004#24,1105007#30,1105005#36,1105011#42,1105013#54,1105014	1105005#1101001#1105004#1101011#1101004#1105007#1105005#1105011#1105013#1105014	1203001,0#1203006,0#1203023,0#1203004,1#1203008,2#1203032,3#1203036,4#1203026,5	1301004#1302004
艾达丝	10501502	1,1105002#1,1101001#6,1105004#12,1101011#18,1101004#24,1105007#30,1105005#36,1105011#42,1105013#54,1105014	1105005#1101001#1105004#1101011#1101004#1105007#1105005#1105011#1105013#1105014	1203001,0#1203006,0#1203023,0#1203004,1#1203008,2#1203032,3#1203036,4#1203026,5	1301004#1302004
小阿狸	10100901	1,1101002#1,1101003#6,1101007#12,1101008#18,1101009#24,1101010#30,1101014#36,1101011#42,1101018#54,1104022	1101001#1101003#1101007#1101008#1101009#1101010#1101014#1101011#1101018#1104022	1203003,0#1203016,0#1203036,0#1203033,1#1203021,2#1203027,3#1203029,4#1203030,5	1301009#1302009
阿狸	10100902	1,1101002#1,1101003#6,1101007#12,1101008#18,1101009#24,1101010#30,1101014#36,1101011#42,1101018#54,1104022	1101001#1101003#1101007#1101008#1101009#1101010#1101014#1101011#1101018#1104022	1203003,0#1203016,0#1203036,0#1203033,1#1203021,2#1203027,3#1203029,4#1203030,5	1301009#1302009
库洛斯	10200901	1,1102002#1,1101001#6,1102007#12,1102004#18,1101014#24,1102008#30,1101010#36,1102006#42,1102017#54,1102016	1102002#1101002#1102007#1102004#1101014#1102008#1101010#1102006#1102017#1102016	1203006,0#1203005,0#1203010,0#1203004,1#1203001,2#1203018,3#1203023,4#1203019,5	1301017#1302017
