id	gym_id	is_pvp	region	serialnum	free_challenge_per_day	props_to_challenge	pokemon_list	pokemon_per_round	dynamic_strength	trigger	gym_progress	gym_index	is_gym_boss	action_id	trans_gyms	medal_id	map	team_id	challenge_race	min_challenge_power	is_honor	cfg	host_cfg	host_pokemon_list
70307	13		7	7	1		703071,703072,703073,703074	1			7			3			map020				1			
70308	13		7	8	1		703081,703082,703083,703084	1			8			3			map020				1			
70309	13		7	9	1		703091,703092,703093,703094	1			9			3			map020				1			
70310	13		7	10	1		703101,703102,703103,703104	1			10			3			map020				1			
70311	13		7	11	1		703111,703112,703113,703114	1			11			3			map020				1			
70312	13		7	12	1		703121,703122,703123,703124	1			12			3			map020				1			
70401	14		7	1	1		704011,704012,704013,704014	1			1			3			map021				1			
70402	14		7	2	1		704021,704022,704023,704024	1			2			3			map021				1			
70403	14		7	3	1		704031,704032,704033,704034	1			3			3			map021				1			
70404	14		7	4	1		704041,704042,704043,704044	1			4			3			map021				1			
70405	14		7	5	1		704051,704052,704053,704054	1			5			3			map021				1			
70406	14		7	6	1		704061,704062,704063,704064	1			6			3			map021				1			
70407	14		7	7	1		704071,704072,704073,704074	1			7			3			map021				1			
70408	14		7	8	1		704081,704082,704083,704084	1			8			3			map021				1			
70409	14		7	9	1		704091,704092,704093,704094	1			9			3			map021				1			
70410	14		7	10	1		704101,704102,704103,704104	1			10			3			map021				1			
70411	14		7	11	1		704111,704112,704113,704114	1			11			3			map021				1			
70412	14		7	12	1		704121,704122,704123,704124	1			12			3			map021				1			
71001			7	50	0									5										
