n_id	n_type	s_title	n_quality	n_original	n_discount	s_items	s_itemsType	s_itemsCount	s_petStarLevel	s_highlight	n_duration	s_trigger	s_sameTypeGift	n_battleShow	s_sp_icon	n_auto_weight
40115	1	level_gift_pack_23	2	2000	0.3	212#3	3#2	10#30000		1	48					10
40116	1	level_gift_pack_24	2	2000	0.3	212#3	3#2	10#30000		1	48					10
40117	1	level_gift_pack_25	2	2000	0.3	212#3	3#2	10#30000		1	48					10
40118	1	level_gift_pack_26	2	2000	0.3	212#3	3#2	10#30000		1	48					10
40119	1	level_gift_pack_27	2	2000	0.3	212#3	3#2	10#30000		1	48					10
40120	1	level_gift_pack_28	2	2000	0.3	212#3	3#2	10#30000		1	48					10
40121	1	level_gift_pack_48	1	200	0.3	76#79#85	3#3#3	5#5#5		1	24					10
40122	1	level_gift_pack_49	1	200	0.3	73#82#88	3#3#3	5#5#5		1	48					10
40123	1	level_gift_pack_50	1	200	0.3	76#79#85	3#3#3	5#5#5		1	48					10
40124	1	level_gift_pack_51	1	200	0.3	73#82#88	3#3#3	5#5#5		1	48					10
40125	1	level_gift_pack_52	1	200	0.3	76#79#85	3#3#3	5#5#5		1	48					10
40126	1	level_gift_pack_53	1	200	0.3	73#82#88	3#3#3	5#5#5		1	48					10
40127	1	level_gift_pack_54	1	200	0.3	76#79#85	3#3#3	5#5#5		1	48					10
40128	1	level_gift_pack_55	1	200	0.3	73#82#88	3#3#3	5#5#5		1	48					10
40129	1	level_gift_pack_56	1	200	0.3	76#79#85	3#3#3	5#5#5		1	48					10
40130	1	level_gift_pack_57	1	200	0.3	73#82#88	3#3#3	5#5#5		1	48					10
40201	2	level_gift_pack_29	2	2000	0.3	212#3	3#2	10#30000		1	48					10
40202	2	level_gift_pack_30	2	2000	0.3	212#3	3#2	10#30000		1	48					10
40203	2	level_gift_pack_31	2	2000	0.3	212#3	3#2	10#30000		1	48					10
40204	2	level_gift_pack_32	2	2000	0.3	212#3	3#2	10#30000		1	48					10
40205	2	level_gift_pack_33	2	2000	0.3	212#3	3#2	10#30000		1	48					10
40206	2	level_gift_pack_34	2	2000	0.45	10200801,10200701,10200601#35#34#3	1#3#3#2	1#10#100#20000		1	48				set:g2038_pokemon_pack.json image:img_0_3choose1_water_gift	10
40207	2	level_gift_pack_35	2	2000	0.45	10300801,10300701,10300301#35#34#3	1#3#3#2	1#10#100#20000		1	48				set:g2038_pokemon_pack.json image:img_0_3choose1_fire_gift	10
40208	2	level_gift_pack_36	2	2000	0.45	10400801,10400701,10400601#35#34#3	1#3#3#2	1#10#100#20000		1	48				set:g2038_pokemon_pack.json image:img_0_3choose1_grass_gift	10
40209	2	level_gift_pack_37	3	6000	0.5	10500101,10500201,10500301#35#34#3	1#3#3#2	1#20#200#80000		1	48				set:g2038_pokemon_pack.json image:img_0_3choose1_super_gift	10
40210	2	level_gift_pack_38	3	6000	0.5	10500101,10500201,10500301#35#34#3	1#3#3#2	1#20#200#80000		1	48				set:g2038_pokemon_pack.json image:img_0_3choose1_super_gift	10
40211	2	level_gift_pack_39	1	200	0.3	212#33	3#3	1#30		1	0.5					10
40212	2	level_gift_pack_40	1	600	0.3	212#34	3#3	3#50		1	1					10
40213	2	level_gift_pack_41	2	1200	0.3	212#35	3#3	6#2		1	2					10
40131	1	level_gift_pack_01	1	200	0.3	10200101,10300101,10400101#33#3	1#3#2	1#50#2500		1	4				set:g2038_pokemon_pack.json image:img_0_3choose1gift	10
40132	1	level_gift_pack_15	2	2000	0.3	212#3	3#2	10#30000		1	4					10
40133	2	level_gift_pack_58	1	200	0.3	212#33	3#3	1#30		1	8					10
40134	2	level_gift_pack_59	1	200	0.3	212#3	3#2	1#5000		1	8					10
40135	2	level_gift_pack_60	1	500	0.3	212#33	3#3	3#50		1	16					10
40136	2	level_gift_pack_61	1	600	0.25	212#3	3#2	3#15000		1	12					10
40137	2	level_gift_pack_62	1	300	0.2	212#17	3#3	1#3		1	24					10
40138	2	level_gift_pack_63	1	600	0.25	212#13	3#3	3#15		1	12					10
40139	2	level_gift_pack_64	1	750	0.2	212#2	3#3	3#3		1	24					10
40140	2	level_gift_pack_65	1	300	0.2	212#3	3#3	1#3		1	48					10
40141	2	level_gift_pack_66	1	200	0.3	212#3	3#2	1#5000		1	48					10
40142	2	level_gift_pack_67	1	600	0.25	212#3	3#2	3#15000		1	48					10
40143	2	level_gift_pack_68	1	600	0.25	212#3	3#2	3#15000		1	48					10
40144	2	level_gift_pack_69	1	300	0.1	10200501#10300601	1#1	1#1		1	48					10
40145	2	level_gift_pack_70	1	300	0.1	10200501#10300601	1#1	1#1		1	48					10
40146	2	level_gift_pack_71	1	600	0.15	10200501#10300601#10400401#10100201	1#1#1#1	1#1#1#1		1	48					10
40147	2	level_gift_pack_72	1	300	0.1	10400201#10100101	1#1	1#1		1	48					10
40148	2	level_gift_pack_73	1	300	0.1	10400201#10100101	1#1	1#1		1	48					10
40149	2	level_gift_pack_74	1	600	0.15	10400201#10100101#10200201#10300201	1#1#1#1	1#1#1#1		1	48					10
40150	2	level_gift_pack_75	1	300	0.1	10200501#10300601	1#1	1#1		1	48					10
40151	2	level_gift_pack_76	1	300	0.1	10200501#10300601	1#1	1#1		1	48					10
40152	2	level_gift_pack_77	1	600	0.15	10200501#10300601#10400401#10100201	1#1#1#1	1#1#1#1		1	48					10
40153	2	level_gift_pack_78	1	1200	0.05	10200801#33#3	1#3#2	1#20#10000		1	72					10
40154	2	level_gift_pack_78	1	1200	0.05	10200701#33#3	1#3#2	1#20#10000		1	72					10
40155	2	level_gift_pack_78	1	1200	0.05	10200601#33#3	1#3#2	1#20#10000		1	72					10
40156	2	level_gift_pack_78	1	1200	0.05	10300801#33#3	1#3#2	1#20#10000		1	72					10
40157	2	level_gift_pack_78	1	1200	0.05	10300701#33#3	1#3#2	1#20#10000		1	72					10
40158	2	level_gift_pack_78	1	1200	0.05	10300301#33#3	1#3#2	1#20#10000		1	72					10
40159	2	level_gift_pack_78	1	1200	0.05	10400801#33#3	1#3#2	1#20#10000		1	72					10
40160	2	level_gift_pack_78	1	1200	0.05	10400701#33#3	1#3#2	1#20#10000		1	72					10
40161	2	level_gift_pack_78	1	1200	0.05	10400601#33#3	1#3#2	1#20#10000		1	72					10
40162	2	level_gift_pack_78	1	2400	0.05	10500101#33#3	1#3#2	1#20#10000		1	72					10
40163	2	level_gift_pack_78	1	2400	0.05	10500201#33#3	1#3#2	1#20#10000		1	72					10
40164	2	level_gift_pack_78	1	2400	0.05	10500301#33#3	1#3#2	1#20#10000		1	72					10
51001	2	level_gift_pack_79	1	900	0.1	10401101#33#3#3	1#3#2#2	1#20#1000#1000	4#0#0#0	1	2	6#20102				10
51002	2	level_gift_pack_80	1	900	0.1	10401101#33#3#3	1#3#2#2	1#20#1000#1000	4#0#0#0	1	2	6#20103	51001			10
51003	2	level_gift_pack_80	2	1800	0.1	10401101#10401101#33#3	1#1#3#2	1#1#50#5000	4#4#0#0	1	2	6#20104	51001#51002			10
51004	2	level_gift_pack_80	2	1800	0.1	10401101#10401101#33#3	1#1#3#2	1#1#50#5000	4#4#0#0	1	2	6#20105	51001#51002#51003			10
51011	2	level_gift_pack_81	1	900	0.1	10100501#33#3#3	1#3#2#2	1#20#1000#1000	4#0#0#0	1	2	6#20106				10
51012	2	level_gift_pack_82	1	900	0.1	10100501#33#3#3	1#3#2#2	1#20#1000#1000	4#0#0#0	1	2	6#20107	51011			10
51013	2	level_gift_pack_82	2	1800	0.1	10100501#10100501#33#3	1#1#3#2	1#1#50#5000	4#4#0#0	1	2	6#20108	51011#51012			10
51014	2	level_gift_pack_82	2	1800	0.1	10100501#10100501#33#3	1#1#3#2	1#1#50#5000	4#4#0#0	1	2	6#20109	51011#51012#51013			10
51021	2	level_gift_pack_83	1	900	0.1	10201001#33#3#3	1#3#2#2	1#20#1000#1000	4#0#0#0	1	12	6#30101				10
51022	2	level_gift_pack_84	1	900	0.1	10201001#33#3#3	1#3#2#2	1#20#1000#1000	4#0#0#0	1	12	6#30102	51021			10
51023	2	level_gift_pack_84	2	1800	0.1	10201001#10201001#33#3	1#1#3#2	1#1#50#5000	4#4#0#0	1	12	6#30103	51021#51022			10
51024	2	level_gift_pack_84	2	1800	0.1	10201001#10201001#33#3	1#1#3#2	1#1#50#5000	4#4#0#0	1	12	6#30104	51021#51022#51023			10
51031	2	level_gift_pack_85	1	900	0.1	10301001#33#3#3	1#3#2#2	1#20#1000#1000	4#0#0#0	1	12	6#30105				10
51032	2	level_gift_pack_86	1	900	0.1	10301001#33#3#3	1#3#2#2	1#20#1000#1000	4#0#0#0	1	12	6#30106	51031			10
51033	2	level_gift_pack_86	2	1800	0.1	10301001#10301001#33#3	1#1#3#2	1#1#50#5000	4#4#0#0	1	12	6#30108	51031#51032			10
51034	2	level_gift_pack_86	2	1800	0.1	10301001#10301001#33#3	1#1#3#2	1#1#50#5000	4#4#0#0	1	12	6#30109	51031#51032#51033			10
51041	2	level_gift_pack_87	2	4500	0.1	10301201#33#3#3	1#3#2#2	1#50#5000#5000	4#0#0#0	1	24	6#40102				10
51042	2	level_gift_pack_88	2	4500	0.1	10301201#33#3#3	1#3#2#2	1#50#5000#5000	4#0#0#0	1	24	6#40103	51041			10
51043	2	level_gift_pack_88	3	4500	0.1	10301201#10301201#33#3	1#1#3#2	1#1#100#15000	4#4#0#0	1	24	6#40104	51041#51042			10
51044	2	level_gift_pack_88	3	4500	0.1	10301201#10301201#33#3	1#1#3#2	1#1#100#15000	4#4#0#0	1	24	6#40105	51041#51042#51043			10
51051	2	level_gift_pack_89	2	4500	0.1	10100601#33#3#3	1#3#2#2	1#50#5000#5000	4#0#0#0	1	24	6#40106				10
51052	2	level_gift_pack_90	2	4500	0.1	10100601#33#3#3	1#3#2#2	1#50#5000#5000	4#0#0#0	1	24	6#40107	51051			10
51053	2	level_gift_pack_90	3	4500	0.1	10100601#10100601#33#3	1#1#3#2	1#1#100#15000	4#4#0#0	1	24	6#40108	51051#51052			10
51054	2	level_gift_pack_90	3	4500	0.1	10100601#10100601#33#3	1#1#3#2	1#1#100#15000	4#4#0#0	1	24	6#40109	51051#51052#51053			10
51061	2	level_gift_pack_91	2	4500	0.1	10300801#33#3#3	1#3#2#2	1#50#5000#5000	4#0#0#0	1	24	6#50101				10
51062	2	level_gift_pack_92	2	4500	0.1	10300801#33#3#3	1#3#2#2	1#50#5000#5000	4#0#0#0	1	24	6#50102	51061			10
51063	2	level_gift_pack_92	3	4500	0.1	10300801#10300801#33#3	1#1#3#2	1#1#100#15000	4#4#0#0	1	24	6#50103	51061#51062			10
51064	2	level_gift_pack_92	3	4500	0.1	10300801#10300801#33#3	1#1#3#2	1#1#100#15000	4#4#0#0	1	24	6#50104	51061#51062#51063			10
51071	2	level_gift_pack_93	2	4500	0.1	10401001#33#3#3	1#3#2#2	1#50#5000#5000	4#0#0#0	1	24	6#50105				10
51072	2	level_gift_pack_94	2	4500	0.1	10401001#33#3#3	1#3#2#2	1#50#5000#5000	4#0#0#0	1	24	6#50106	51071			10
51073	2	level_gift_pack_94	3	4500	0.1	10401001#10401001#33#3	1#1#3#2	1#1#100#15000	4#4#0#0	1	24	6#50108	51071#51072			10
51074	2	level_gift_pack_94	3	4500	0.1	10401001#10401001#33#3	1#1#3#2	1#1#100#15000	4#4#0#0	1	24	6#50109	51071#51072#51073			10
51081	2	level_gift_pack_95	2	4500	0.1	10400701#33#3#3	1#3#2#2	1#50#5000#5000	4#0#0#0	1	24	6#60101				10
51082	2	level_gift_pack_96	2	4500	0.1	10400701#33#3#3	1#3#2#2	1#50#5000#5000	4#0#0#0	1	24	6#60102	51081			10
51083	2	level_gift_pack_96	3	4500	0.1	10400701#10400701#33#3	1#1#3#2	1#1#100#15000	4#4#0#0	1	24	6#60103	51081#51082			10
51084	2	level_gift_pack_96	3	4500	0.1	10400701#10400701#33#3	1#1#3#2	1#1#100#15000	4#4#0#0	1	24	6#60104	51081#51082#51083			10
51091	2	level_gift_pack_97	2	4500	0.1	10201201#33#3#3	1#3#2#2	1#50#5000#5000	4#0#0#0	1	24	6#60105				10
51092	2	level_gift_pack_98	2	4500	0.1	10201201#33#3#3	1#3#2#2	1#50#5000#5000	4#0#0#0	1	24	6#60106	51091			10
51093	2	level_gift_pack_98	3	4500	0.1	10201201#10201201#33#3	1#1#3#2	1#1#100#15000	4#4#0#0	1	24	6#60107	51091#51092			10
51094	2	level_gift_pack_98	3	4500	0.1	10201201#10201201#33#3	1#1#3#2	1#1#100#15000	4#4#0#0	1	24	6#60108	51091#51092#51093			10
52001	1	level_gift_pack_99	1	300	0.1	10100301#10200401#10300401	1#1#1	1#1#1	3#3#3	1	2	1#15				10
52002	1	level_gift_pack_99	1	300	0.1	10100301#10400301#10200301	1#1#1	1#1#1	3#3#3	1	2	1#20	52001			10
52003	1	level_gift_pack_99	1	300	0.1	10100301#10400501#10300501	1#1#1	1#1#1	3#3#3	1	2	1#25	52001#52002			10
52101	1	level_gift_pack_100	2	800	0.1	10200301#10200301	1#1	1#1	4#4	1	12	1#30				10
52102	1	level_gift_pack_100	2	800	0.1	10200401#10200401	1#1	1#1	4#4	1	12	1#35	52101			10
52103	1	level_gift_pack_100	2	800	0.1	10300401#10300401	1#1	1#1	4#4	1	12	1#40	52101#52102			10
52104	1	level_gift_pack_100	2	800	0.1	10300501#10300501	1#1	1#1	4#4	1	12	1#45	52101#52102#52103			10
52105	1	level_gift_pack_100	2	800	0.1	10400301#10400301	1#1	1#1	4#4	1	12	1#50	52101#52102#52103#52104			10
52106	1	level_gift_pack_100	2	800	0.1	10400501#10400501	1#1	1#1	4#4	1	12	1#55	52101#52102#52103#52104#52105			10
52201	1	level_gift_pack_101	3	2400	0.1	10100301#10100301	1#1	1#1	5#5	1	24	1#60				10
52202	1	level_gift_pack_101	3	2400	0.1	10200301#10200401	1#1	1#1	5#5	1	24	1#65	52201			10
52203	1	level_gift_pack_101	3	2400	0.1	10300401#10300501	1#1	1#1	5#5	1	24	1#70	52201#52202			10
52204	1	level_gift_pack_101	3	2400	0.1	10400301#10400501	1#1	1#1	5#5	1	24	1#75	52201#52202#52203			10
52205	1	level_gift_pack_101	3	2400	0.1	10100301#10100301	1#1	1#1	5#5	1	24	1#80	52201#52202#52203#52204			10
53001	1	level_gift_pack_102	1	300	0.2	3#3#3	2#2#2	10000#10000#10000		1	2	1#20				10
53002	1	level_gift_pack_102	1	300	0.2	3#3#3	2#2#2	10000#10000#10000		1	2	1#30	53001			10
53003	1	level_gift_pack_102	1	300	0.2	3#3#3	2#2#2	10000#10000#10000		1	2	1#40	53001#53002			10
53004	1	level_gift_pack_102	1	300	0.2	3#3#3	2#2#2	10000#10000#10000		1	2	1#50	53001#53002#53003			10
53101	1	level_gift_pack_103	2	600	0.2	3#3#3	2#2#2	20000#20000#20000		1	24	1#60				10
53102	1	level_gift_pack_103	2	600	0.2	3#3#3	2#2#2	20000#20000#20000		1	24	1#70	53101			10
53103	1	level_gift_pack_103	2	600	0.2	3#3#3	2#2#2	20000#20000#20000		1	24	1#80	53101#53102			10
54001	1	level_gift_pack_104	1	150	0.4	79#85#82#88	3#3#3#3	3#3#3#3		1	2	11#20	54001#54002#54003#54004			10
54002	1	level_gift_pack_104	1	150	0.4	79#85#82#88	3#3#3#3	3#3#3#3		1	2	11#30	54001#54002#54003#54004			10
54003	1	level_gift_pack_104	1	150	0.4	79#85#82#88	3#3#3#3	3#3#3#3		1	2	11#40	54001#54002#54003#54004			10
54004	1	level_gift_pack_104	1	150	0.4	79#85#82#88	3#3#3#3	3#3#3#3		1	2	11#50	54001#54002#54003#54004			10
54101	1	level_gift_pack_105	2	300	0.4	76#73#3	3#3#2	6#6#30000		1	24	11#60	54101#54102#54103			10
54102	1	level_gift_pack_105	2	300	0.4	76#73#3	3#3#2	6#6#30000		1	24	11#70	54101#54102#54103			10
54103	1	level_gift_pack_105	2	300	0.4	76#73#3	3#3#2	6#6#30000		1	24	11#80	54101#54102#54103			10
55001	2	level_gift_pack_106	1	300	0.1	10200301#10200301#10200301	1#1#1	1#1#1	3#3#3	1	2	6#20304				10
55002	2	level_gift_pack_106	1	300	0.1	10200401#10200401#10200401	1#1#1	1#1#1	3#3#3	1	2	6#20306	55001			10
55003	2	level_gift_pack_106	1	300	0.1	10200301#10200301#10200301	1#1#1	1#1#1	3#3#3	1	2	6#20307	55001#55002			10
55101	2	level_gift_pack_107	2	800	0.1	10300401#10300401	1#1	1#1	4#4	1	12	6#30304				10
55102	2	level_gift_pack_107	2	800	0.1	10300501#10300501	1#1	1#1	4#4	1	12	6#30306	55101			10
55103	2	level_gift_pack_107	2	800	0.1	10300401#10300401	1#1	1#1	4#4	1	12	6#30307	55101#55102			10
55201	2	level_gift_pack_108	2	800	0.1	10400301#10400301	1#1	1#1	4#4	1	24	6#40304				10
55202	2	level_gift_pack_108	2	800	0.1	10400501#10400501	1#1	1#1	4#4	1	24	6#40307	55201			10
55203	2	level_gift_pack_108	2	800	0.1	10400301#10400301	1#1	1#1	4#4	1	24	6#40309	55201#55202			10
55301	2	level_gift_pack_109	3	2400	0.1	10100301#10100301	1#1	1#1	5#5	1	24	6#50304				10
55302	2	level_gift_pack_109	3	2400	0.1	10100301#10100301	1#1	1#1	5#5	1	24	6#50307	55301			10
55303	2	level_gift_pack_109	3	2400	0.1	10100301#10100301	1#1	1#1	5#5	1	24	6#50309	55301#55302			10
55401	2	level_gift_pack_110	3	2400	0.1	10100301#10100301	1#1	1#1	5#5	1	24	6#60304				10
55402	2	level_gift_pack_110	3	2400	0.1	10100301#10100301	1#1	1#1	5#5	1	24	6#60307	55401			10
55403	2	level_gift_pack_110	3	2400	0.1	10100301#10100301	1#1	1#1	5#5	1	24	6#60309	55401#55402			10
56001	2	level_gift_pack_111	1	900	0.2	212#3	3#2	6#10000		1	2	6#20304				10
56002	2	level_gift_pack_112	2	1500	0.2	212#3	3#2	10#30000		1	2	6#20306	56001			10
56003	2	level_gift_pack_113	3	3000	0.2	212#212#3	3#3#2	10#10#60000		1	2	6#20307	56001#56002			10
56101	2	level_gift_pack_114	1	900	0.2	212#3	3#2	6#10000		1	2	6#30304	56001			10
56102	2	level_gift_pack_115	2	1500	0.2	212#3	3#2	10#30000		1	2	6#30306	56002			10
56103	2	level_gift_pack_116	3	3000	0.2	212#212#3	3#3#2	10#10#60000		1	2	6#30307	56003			10
56201	2	level_gift_pack_117	1	900	0.2	212#3	3#2	6#10000		1	24	6#40304	56001#56101			10
56202	2	level_gift_pack_118	2	1500	0.2	212#3	3#2	10#30000		1	24	6#40307	56002#56102			10
56203	2	level_gift_pack_119	3	3000	0.2	212#212#3	3#3#2	10#10#60000		1	24	6#40309	56003#56103			10
56301	2	level_gift_pack_120	1	900	0.2	212#3	3#2	6#10000		1	24	6#50304	56001#56101#56201			10
56302	2	level_gift_pack_121	2	1500	0.2	212#3	3#2	10#30000		1	24	6#50307	56002#56102#56202			10
56303	2	level_gift_pack_122	3	3000	0.2	212#212#3	3#3#2	10#10#60000		1	24	6#50309	56003#56103#56203			10
56401	2	level_gift_pack_123	1	900	0.2	212#3	3#2	6#10000		1	24	6#60304	56001#56101#56201#56301			10
56402	2	level_gift_pack_124	2	1500	0.2	212#3	3#2	10#30000		1	24	6#60307	56002#56102#56202#56302			10
56403	2	level_gift_pack_125	3	3000	0.2	212#212#3	3#3#2	10#10#60000		1	24	6#60309	56003#56103#56203#56303			10
58001	2	level_gift_pack_128	2	1500	0.2	212#3	3#2	10#30000		1	12	6#70103				10
