dialogue_id	npc_name	dialogue_list	npc_id	action_id	reason_id
332	npc_30202	3020224	30202	2	4
333	npc_30202	3020231	30202	3	1
334	npc_30301	3030123	30301	2	3
335	npc_30301	3030124	30301	2	4
336	npc_30301	3030131	30301	3	1
337	npc_30302	3030222	30302	2	2
338	npc_30302	3030223	30302	2	3
339	npc_30302	3030224	30302	2	4
340	npc_30302	3030231	30302	3	1
341	npc_30303	3030322	30303	2	2
342	npc_30303	3030323	30303	2	3
343	npc_30303	3030324	30303	2	4
344	npc_30303	3030331	30303	3	1
345	npc_30304	3030422	30304	2	2
346	npc_30304	3030423	30304	2	3
347	npc_30304	3030424	30304	2	4
348	npc_30304	3030431	30304	3	1
349	npc_30305	3030522	30305	2	2
350	npc_30305	3030523	30305	2	3
351	npc_30305	3030524	30305	2	4
352	npc_30305	3030531	30305	3	1
353	npc_30306	3030622	30306	2	2
354	npc_30306	3030623	30306	2	3
355	npc_30306	3030624	30306	2	4
356	npc_30306	3030631	30306	3	1
357	npc_30307	3030722	30307	2	2
358	npc_30307	3030723	30307	2	3
359	npc_30307	3030724	30307	2	4
360	npc_30307	3030731	30307	3	1
361	npc_30401	3040151	30401	5	1
362	npc_30402	3040251	30402	5	1
363	npc_30403	3040351	30403	5	1
401	npc_40101	4010123	40101	2	3
402	npc_40101	4010124	40101	2	4
403	npc_40101	4010131	40101	3	1
404	npc_40102	4010223	40102	2	3
405	npc_40102	4010224	40102	2	4
406	npc_40102	4010231	40102	3	1
407	npc_40103	4010323	40103	2	3
408	npc_40103	4010324	40103	2	4
409	npc_40103	4010331	40103	3	1
410	npc_40104	4010423	40104	2	3
411	npc_40104	4010424	40104	2	4
412	npc_40104	4010431	40104	3	1
413	npc_40105	4010523	40105	2	3
414	npc_40105	4010524	40105	2	4
415	npc_40105	4010531	40105	3	1
416	npc_40106	4010623	40106	2	3
417	npc_40106	4010624	40106	2	4
418	npc_40106	4010631	40106	3	1
419	npc_40107	4010723	40107	2	3
420	npc_40107	4010724	40107	2	4
421	npc_40107	4010731	40107	3	1
422	npc_40108	4010823	40108	2	3
423	npc_40108	4010824	40108	2	4
424	npc_40108	4010831	40108	3	1
425	npc_40109	4010923	40109	2	3
426	npc_40109	4010924	40109	2	4
427	npc_40109	4010931	40109	3	1
428	npc_40201	4020123	40201	2	3
429	npc_40201	4020124	40201	2	4
430	npc_40201	4020131	40201	3	1
431	npc_40202	4020223	40202	2	3
432	npc_40202	4020224	40202	2	4
433	npc_40202	4020231	40202	3	1
434	npc_40301	4030123	40301	2	3
435	npc_40301	4030124	40301	2	4
436	npc_40301	4030131	40301	3	1
437	npc_40302	4030222	40302	2	2
438	npc_40302	4030223	40302	2	3
439	npc_40302	4030224	40302	2	4
440	npc_40302	4030231	40302	3	1
441	npc_40303	4030322	40303	2	2
442	npc_40303	4030323	40303	2	3
443	npc_40303	4030324	40303	2	4
444	npc_40303	4030331	40303	3	1
445	npc_40304	4030422	40304	2	2
446	npc_40304	4030423	40304	2	3
447	npc_40304	4030424	40304	2	4
448	npc_40304	4030431	40304	3	1
449	npc_40305	4030522	40305	2	2
450	npc_40305	4030524	40305	2	4
451	npc_40305	4030531	40305	3	1
452	npc_40306	4030621	40306	2	1
453	npc_40307	4030722	40307	2	2
454	npc_40307	4030724	40307	2	4
455	npc_40307	4030731	40307	3	1
456	npc_40308	4030821	40308	2	1
457	npc_40309	4030922	40309	2	2
458	npc_40309	4030924	40309	2	4
459	npc_40309	4030931	40309	3	1
460	npc_40310	4031021	40310	2	1
461	npc_40401	4040151	40401	5	1
462	npc_40402	4040251	40402	5	1
463	npc_40403	4040351	40403	5	1
501	npc_50101	5010123	50101	2	3
502	npc_50101	5010124	50101	2	4
503	npc_50101	5010131	50101	3	1
504	npc_50102	5010223	50102	2	3
505	npc_50102	5010224	50102	2	4
506	npc_50102	5010231	50102	3	1
507	npc_50103	5010323	50103	2	3
508	npc_50103	5010324	50103	2	4
509	npc_50103	5010331	50103	3	1
510	npc_50104	5010423	50104	2	3
511	npc_50104	5010424	50104	2	4
512	npc_50104	5010431	50104	3	1
513	npc_50105	5010523	50105	2	3
514	npc_50105	5010524	50105	2	4
515	npc_50105	5010531	50105	3	1
516	npc_50106	5010623	50106	2	3
517	npc_50106	5010624	50106	2	4
518	npc_50106	5010631	50106	3	1
519	npc_50107	5010723	50107	2	3
520	npc_50107	5010724	50107	2	4
521	npc_50107	5010731	50107	3	1
522	npc_50108	5010823	50108	2	3
523	npc_50108	5010824	50108	2	4
524	npc_50108	5010831	50108	3	1
525	npc_50109	5010923	50109	2	3
526	npc_50109	5010924	50109	2	4
527	npc_50109	5010931	50109	3	1
528	npc_50201	5020123	50201	2	3
529	npc_50201	5020124	50201	2	4
530	npc_50201	5020131	50201	3	1
531	npc_50202	5020223	50202	2	3
532	npc_50202	5020224	50202	2	4
533	npc_50202	5020231	50202	3	1
534	npc_50301	5030123	50301	2	3
535	npc_50301	5030124	50301	2	4
536	npc_50301	5030131	50301	3	1
537	npc_50302	5030222	50302	2	2
538	npc_50302	5030223	50302	2	3
539	npc_50302	5030224	50302	2	4
540	npc_50302	5030231	50302	3	1
541	npc_50303	5030322	50303	2	2
542	npc_50303	5030323	50303	2	3
543	npc_50303	5030324	50303	2	4
544	npc_50303	5030331	50303	3	1
545	npc_50304	5030422	50304	2	2
546	npc_50304	5030423	50304	2	3
547	npc_50304	5030424	50304	2	4
548	npc_50304	5030431	50304	3	1
549	npc_50305	5030522	50305	2	2
550	npc_50305	5030524	50305	2	4
551	npc_50305	5030531	50305	3	1
552	npc_50306	5030621	50306	2	1
553	npc_50307	5030722	50307	2	2
554	npc_50307	5030724	50307	2	4
555	npc_50307	5030731	50307	3	1
556	npc_50308	5030821	50308	2	1
557	npc_50309	5030922	50309	2	2
558	npc_50309	5030924	50309	2	4
559	npc_50309	5030931	50309	3	1
560	npc_50310	5031021	50310	2	1
561	npc_50401	5040151	50401	5	1
562	npc_50402	5040251	50402	5	1
563	npc_50403	5040351	50403	5	1
601	npc_60101	6010123	60101	2	3
602	npc_60101	6010124	60101	2	4
603	npc_60101	6010131	60101	3	1
604	npc_60102	6010223	60102	2	3
605	npc_60102	6010224	60102	2	4
606	npc_60102	6010231	60102	3	1
607	npc_60103	6010323	60103	2	3
608	npc_60103	6010324	60103	2	4
609	npc_60103	6010331	60103	3	1
610	npc_60104	6010423	60104	2	3
611	npc_60104	6010424	60104	2	4
612	npc_60104	6010431	60104	3	1
613	npc_60105	6010523	60105	2	3
614	npc_60105	6010524	60105	2	4
615	npc_60105	6010531	60105	3	1
616	npc_60106	6010623	60106	2	3
617	npc_60106	6010624	60106	2	4
618	npc_60106	6010631	60106	3	1
619	npc_60107	6010723	60107	2	3
620	npc_60107	6010724	60107	2	4
621	npc_60107	6010731	60107	3	1
622	npc_60108	6010823	60108	2	3
623	npc_60108	6010824	60108	2	4
624	npc_60108	6010831	60108	3	1
625	npc_60109	6010923	60109	2	3
626	npc_60109	6010924	60109	2	4
627	npc_60109	6010931	60109	3	1
628	npc_60201	6020123	60201	2	3
629	npc_60201	6020124	60201	2	4
630	npc_60201	6020131	60201	3	1
631	npc_60202	6020223	60202	2	3
632	npc_60202	6020224	60202	2	4
633	npc_60202	6020231	60202	3	1
634	npc_60203	6020323	60203	2	3
635	npc_60203	6020324	60203	2	4
636	npc_60203	6020331	60203	3	1
637	npc_60301	6030123	60301	2	3
638	npc_60301	6030124	60301	2	4
639	npc_60301	6030131	60301	3	1
640	npc_60302	6030222	60302	2	2
641	npc_60302	6030223	60302	2	3
642	npc_60302	6030224	60302	2	4
643	npc_60302	6030231	60302	3	1
644	npc_60303	6030322	60303	2	2
645	npc_60303	6030323	60303	2	3
646	npc_60303	6030324	60303	2	4
647	npc_60303	6030331	60303	3	1
648	npc_60304	6030422	60304	2	2
649	npc_60304	6030423	60304	2	3
650	npc_60304	6030424	60304	2	4
651	npc_60304	6030431	60304	3	1
652	npc_60305	6030522	60305	2	2
653	npc_60305	6030524	60305	2	4
654	npc_60305	6030531	60305	3	1
655	npc_60306	6030621	60306	2	1
656	npc_60307	6030722	60307	2	2
657	npc_60307	6030724	60307	2	4
658	npc_60307	6030731	60307	3	1
659	npc_60308	6030821	60308	2	1
660	npc_60309	6030922	60309	2	2
661	npc_60309	6030924	60309	2	4
662	npc_60309	6030931	60309	3	1
663	npc_60310	6031021	60310	2	1
664	npc_60401	6040151	60401	5	1
665	npc_60402	6040251	60402	5	1
666	npc_60403	6040351	60403	5	1
667	npc_20501	2050122	20501	2	2
668	npc_20502	2050222	20502	2	2
669	npc_20503	2050322	20503	2	2
670	npc_20504	2050422	20504	2	2
671	npc_20505	2050522	20505	2	2
672	npc_20506	2050622	20506	2	2
673	npc_20507	2050722	20507	2	2
674	npc_30501	3050122	30501	2	2
675	npc_30502	3050222	30502	2	2
676	npc_30503	3050322	30503	2	2
677	npc_30504	3050422	30504	2	2
678	npc_30505	3050522	30505	2	2
679	npc_30506	3050622	30506	2	2
680	npc_30507	3050722	30507	2	2
681	npc_40501	4050122	40501	2	2
682	npc_40502	4050222	40502	2	2
683	npc_40503	4050322	40503	2	2
684	npc_40504	4050422	40504	2	2
685	npc_40505	4050522	40505	2	2
686	npc_40506	4050622	40506	2	2
687	npc_40507	4050722	40507	2	2
688	npc_50501	5050122	50501	2	2
689	npc_50502	5050222	50502	2	2
690	npc_50503	5050322	50503	2	2
691	npc_50504	5050422	50504	2	2
692	npc_50505	5050522	50505	2	2
693	npc_50506	5050622	50506	2	2
694	npc_50507	5050722	50507	2	2
695	npc_60501	6050122	60501	2	2
696	npc_60502	6050222	60502	2	2
697	npc_60503	6050322	60503	2	2
698	npc_60504	6050422	60504	2	2
699	npc_60505	6050522	60505	2	2
700	npc_60506	6050622	60506	2	2
701	npc_60507	6050722	60507	2	2
702	npc_20501	2050123	20501	2	3
703	npc_20502	2050223	20502	2	3
704	npc_20503	2050323	20503	2	3
705	npc_20504	2050423	20504	2	3
706	npc_20505	2050523	20505	2	3
707	npc_20506	2050623	20506	2	3
708	npc_20507	2050723	20507	2	3
709	npc_30501	3050123	30501	2	3
710	npc_30502	3050223	30502	2	3
711	npc_30503	3050323	30503	2	3
712	npc_30504	3050423	30504	2	3
713	npc_30505	3050523	30505	2	3
714	npc_30506	3050623	30506	2	3
715	npc_30507	3050723	30507	2	3
716	npc_40501	4050123	40501	2	3
717	npc_40502	4050223	40502	2	3
718	npc_40503	4050323	40503	2	3
719	npc_40504	4050423	40504	2	3
720	npc_40505	4050523	40505	2	3
721	npc_40506	4050623	40506	2	3
722	npc_40507	4050723	40507	2	3
723	npc_50501	5050123	50501	2	3
724	npc_50502	5050223	50502	2	3
725	npc_50503	5050323	50503	2	3
726	npc_50504	5050423	50504	2	3
727	npc_50505	5050523	50505	2	3
728	npc_50506	5050623	50506	2	3
729	npc_50507	5050723	50507	2	3
730	npc_60501	6050123	60501	2	3
731	npc_60502	6050223	60502	2	3
732	npc_60503	6050323	60503	2	3
733	npc_60504	6050423	60504	2	3
734	npc_60505	6050523	60505	2	3
735	npc_60506	6050623	60506	2	3
736	npc_60507	6050723	60507	2	3
737	npc_20501	2050125	20501	2	5
738	npc_20502	2050225	20502	2	5
739	npc_20503	2050325	20503	2	5
740	npc_20504	2050425	20504	2	5
741	npc_20505	2050525	20505	2	5
742	npc_20506	2050625	20506	2	5
743	npc_20507	2050725	20507	2	5
744	npc_30501	3050125	30501	2	5
745	npc_30502	3050225	30502	2	5
746	npc_30503	3050325	30503	2	5
747	npc_30504	3050425	30504	2	5
748	npc_30505	3050525	30505	2	5
749	npc_30506	3050625	30506	2	5
750	npc_30507	3050725	30507	2	5
751	npc_40501	4050125	40501	2	5
752	npc_40502	4050225	40502	2	5
753	npc_40503	4050325	40503	2	5
754	npc_40504	4050425	40504	2	5
755	npc_40505	4050525	40505	2	5
756	npc_40506	4050625	40506	2	5
757	npc_40507	4050725	40507	2	5
758	npc_50501	5050125	50501	2	5
759	npc_50502	5050225	50502	2	5
760	npc_50503	5050325	50503	2	5
761	npc_50504	5050425	50504	2	5
762	npc_50505	5050525	50505	2	5
763	npc_50506	5050625	50506	2	5
764	npc_50507	5050725	50507	2	5
765	npc_60501	6050125	60501	2	5
766	npc_60502	6050225	60502	2	5
767	npc_60503	6050325	60503	2	5
768	npc_60504	6050425	60504	2	5
769	npc_60505	6050525	60505	2	5
770	npc_60506	6050625	60506	2	5
771	npc_60507	6050725	60507	2	5
772	npc_20501	2050126	20501	2	6
773	npc_20502	2050226	20502	2	6
774	npc_20503	2050326	20503	2	6
775	npc_20504	2050426	20504	2	6
776	npc_20505	2050526	20505	2	6
777	npc_20506	2050626	20506	2	6
778	npc_20507	2050726	20507	2	6
779	npc_30501	3050126	30501	2	6
780	npc_30502	3050226	30502	2	6
781	npc_30503	3050326	30503	2	6
782	npc_30504	3050426	30504	2	6
783	npc_30505	3050526	30505	2	6
784	npc_30506	3050626	30506	2	6
785	npc_30507	3050726	30507	2	6
786	npc_40501	4050126	40501	2	6
787	npc_40502	4050226	40502	2	6
788	npc_40503	4050326	40503	2	6
789	npc_40504	4050426	40504	2	6
790	npc_40505	4050526	40505	2	6
791	npc_40506	4050626	40506	2	6
792	npc_40507	4050726	40507	2	6
793	npc_50501	5050126	50501	2	6
794	npc_50502	5050226	50502	2	6
795	npc_50503	5050326	50503	2	6
796	npc_50504	5050426	50504	2	6
797	npc_50505	5050526	50505	2	6
798	npc_50506	5050626	50506	2	6
799	npc_50507	5050726	50507	2	6
800	npc_60501	6050126	60501	2	6
801	npc_60502	6050226	60502	2	6
802	npc_60503	6050326	60503	2	6
803	npc_60504	6050426	60504	2	6
804	npc_60505	6050526	60505	2	6
805	npc_60506	6050626	60506	2	6
806	npc_60507	6050726	60507	2	6
807	npc_20501	2050127	20501	2	7
808	npc_20502	2050227	20502	2	7
809	npc_20503	2050327	20503	2	7
810	npc_20504	2050427	20504	2	7
811	npc_20505	2050527	20505	2	7
812	npc_20506	2050627	20506	2	7
813	npc_20507	2050727	20507	2	7
814	npc_30501	3050127	30501	2	7
815	npc_30502	3050227	30502	2	7
816	npc_30503	3050327	30503	2	7
817	npc_30504	3050427	30504	2	7
818	npc_30505	3050527	30505	2	7
819	npc_30506	3050627	30506	2	7
820	npc_30507	3050727	30507	2	7
821	npc_40501	4050127	40501	2	7
822	npc_40502	4050227	40502	2	7
823	npc_40503	4050327	40503	2	7
824	npc_40504	4050427	40504	2	7
825	npc_40505	4050527	40505	2	7
826	npc_40506	4050627	40506	2	7
827	npc_40507	4050727	40507	2	7
828	npc_50501	5050127	50501	2	7
829	npc_50502	5050227	50502	2	7
830	npc_50503	5050327	50503	2	7
831	npc_50504	5050427	50504	2	7
832	npc_50505	5050527	50505	2	7
833	npc_50506	5050627	50506	2	7
834	npc_50507	5050727	50507	2	7
835	npc_60501	6050127	60501	2	7
836	npc_60502	6050227	60502	2	7
837	npc_60503	6050327	60503	2	7
838	npc_60504	6050427	60504	2	7
839	npc_60505	6050527	60505	2	7
840	npc_60506	6050627	60506	2	7
841	npc_60507	6050727	60507	2	7
842	npc_20501	2050131	20501	3	1
843	npc_20502	2050231	20502	3	1
844	npc_20503	2050331	20503	3	1
845	npc_20504	2050431	20504	3	1
846	npc_20505	2050531	20505	3	1
847	npc_20506	2050631	20506	3	1
848	npc_20507	2050731	20507	3	1
849	npc_30501	3050131	30501	3	1
850	npc_30502	3050231	30502	3	1
851	npc_30503	3050331	30503	3	1
852	npc_30504	3050431	30504	3	1
853	npc_30505	3050531	30505	3	1
854	npc_30506	3050631	30506	3	1
855	npc_30507	3050731	30507	3	1
856	npc_40501	4050131	40501	3	1
857	npc_40502	4050231	40502	3	1
858	npc_40503	4050331	40503	3	1
859	npc_40504	4050431	40504	3	1
860	npc_40505	4050531	40505	3	1
861	npc_40506	4050631	40506	3	1
862	npc_40507	4050731	40507	3	1
863	npc_50501	5050131	50501	3	1
864	npc_50502	5050231	50502	3	1
865	npc_50503	5050331	50503	3	1
866	npc_50504	5050431	50504	3	1
867	npc_50505	5050531	50505	3	1
868	npc_50506	5050631	50506	3	1
869	npc_50507	5050731	50507	3	1
870	npc_60501	6050131	60501	3	1
871	npc_60502	6050231	60502	3	1
872	npc_60503	6050331	60503	3	1
873	npc_60504	6050431	60504	3	1
874	npc_60505	6050531	60505	3	1
875	npc_60506	6050631	60506	3	1
876	npc_60507	6050731	60507	3	1
877	npc_20301	2030127	20301	2	7
878	npc_20302	2030227	20302	2	7
879	npc_20303	2030327	20303	2	7
880	npc_20304	2030427	20304	2	7
881	npc_20305	2030527	20305	2	7
882	npc_20306	2030627	20306	2	7
883	npc_20307	2030727	20307	2	7
884	npc_30301	3030127	30301	2	7
885	npc_30302	3030227	30302	2	7
886	npc_30303	3030327	30303	2	7
887	npc_30304	3030427	30304	2	7
888	npc_30305	3030527	30305	2	7
889	npc_30306	3030627	30306	2	7
890	npc_30307	3030727	30307	2	7
891	npc_40301	4030127	40301	2	7
892	npc_40302	4030227	40302	2	7
893	npc_40303	4030327	40303	2	7
894	npc_40304	4030427	40304	2	7
895	npc_40305	4030527	40305	2	7
896	npc_40307	4030727	40307	2	7
897	npc_40309	4030927	40309	2	7
898	npc_50301	5030127	50301	2	7
899	npc_50302	5030227	50302	2	7
900	npc_50303	5030327	50303	2	7
901	npc_50304	5030427	50304	2	7
902	npc_50305	5030527	50305	2	7
903	npc_50307	5030727	50307	2	7
904	npc_50309	5030927	50309	2	7
905	npc_60301	6030127	60301	2	7
906	npc_60302	6030227	60302	2	7
907	npc_60303	6030327	60303	2	7
908	npc_60304	6030427	60304	2	7
909	npc_60305	6030527	60305	2	7
910	npc_60307	6030727	60307	2	7
911	npc_60309	6030927	60309	2	7
912	npc_40305	4030533	40305	3	3
913	npc_40307	4030733	40307	3	3
914	npc_40309	4030933	40309	3	3
915	npc_50305	5030533	50305	3	3
916	npc_50307	5030733	50307	3	3
917	npc_50309	5030933	50309	3	3
918	npc_60305	6030533	60305	3	3
919	npc_60307	6030733	60307	3	3
920	npc_60309	6030933	60309	3	3
921	npc_70101	7010131	70101	3	1
922	npc_70102	7010231	70102	3	1
923	npc_70103	7010331	70103	3	1
924	npc_70104	7010431	70104	3	1
925	npc_70105	7010531	70105	3	1
926	npc_70106	7010631	70106	3	1
927	npc_70107	7010731	70107	3	1
928	npc_70108	7010831	70108	3	1
929	npc_70109	7010931	70109	3	1
930	npc_70110	7011031	70110	3	1
931	npc_70111	7011131	70111	3	1
932	npc_70112	7011231	70112	3	1
933	npc_70201	7020131	70201	3	1
934	npc_70202	7020231	70202	3	1
935	npc_70203	7020331	70203	3	1
936	npc_70204	7020431	70204	3	1
937	npc_70205	7020531	70205	3	1
938	npc_70206	7020631	70206	3	1
939	npc_70207	7020731	70207	3	1
940	npc_70208	7020831	70208	3	1
941	npc_70209	7020931	70209	3	1
942	npc_70210	7021031	70210	3	1
943	npc_70211	7021131	70211	3	1
944	npc_70212	7021231	70212	3	1
945	npc_70301	7030131	70301	3	1
946	npc_70302	7030231	70302	3	1
947	npc_70303	7030331	70303	3	1
948	npc_70304	7030431	70304	3	1
949	npc_70305	7030531	70305	3	1
950	npc_70306	7030631	70306	3	1
951	npc_70307	7030731	70307	3	1
952	npc_70308	7030831	70308	3	1
953	npc_70309	7030931	70309	3	1
954	npc_70310	7031031	70310	3	1
955	npc_70311	7031131	70311	3	1
956	npc_70312	7031231	70312	3	1
957	npc_70401	7040131	70401	3	1
958	npc_70402	7040231	70402	3	1
959	npc_70403	7040331	70403	3	1
960	npc_70404	7040431	70404	3	1
961	npc_70405	7040531	70405	3	1
962	npc_70406	7040631	70406	3	1
963	npc_70407	7040731	70407	3	1
964	npc_70408	7040831	70408	3	1
965	npc_70409	7040931	70409	3	1
966	npc_70410	7041031	70410	3	1
967	npc_70411	7041131	70411	3	1
968	npc_70412	7041231	70412	3	1
969	npc_70101	7010122	70101	2	2
970	npc_70102	7010222	70102	2	2
971	npc_70103	7010322	70103	2	2
972	npc_70104	7010422	70104	2	2
973	npc_70105	7010522	70105	2	2
974	npc_70106	7010622	70106	2	2
975	npc_70107	7010722	70107	2	2
976	npc_70108	7010822	70108	2	2
977	npc_70109	7010922	70109	2	2
978	npc_70110	7011022	70110	2	2
979	npc_70111	7011122	70111	2	2
980	npc_70112	7011222	70112	2	2
981	npc_70201	7020122	70201	2	2
982	npc_70202	7020222	70202	2	2
983	npc_70203	7020322	70203	2	2
984	npc_70204	7020422	70204	2	2
985	npc_70205	7020522	70205	2	2
986	npc_70206	7020622	70206	2	2
987	npc_70207	7020722	70207	2	2
988	npc_70208	7020822	70208	2	2
989	npc_70209	7020922	70209	2	2
990	npc_70210	7021022	70210	2	2
991	npc_70211	7021122	70211	2	2
992	npc_70212	7021222	70212	2	2
993	npc_70301	7030122	70301	2	2
994	npc_70302	7030222	70302	2	2
995	npc_70303	7030322	70303	2	2
996	npc_70304	7030422	70304	2	2
997	npc_70305	7030522	70305	2	2
998	npc_70306	7030622	70306	2	2
999	npc_70307	7030722	70307	2	2
1000	npc_70308	7030822	70308	2	2
1001	npc_70309	7030922	70309	2	2
1002	npc_70310	7031022	70310	2	2
1003	npc_70311	7031122	70311	2	2
1004	npc_70312	7031222	70312	2	2
1005	npc_70401	7040122	70401	2	2
1006	npc_70402	7040222	70402	2	2
1007	npc_70403	7040322	70403	2	2
1008	npc_70404	7040422	70404	2	2
1009	npc_70405	7040522	70405	2	2
1010	npc_70406	7040622	70406	2	2
1011	npc_70407	7040722	70407	2	2
1012	npc_70408	7040822	70408	2	2
1013	npc_70409	7040922	70409	2	2
1014	npc_70410	7041022	70410	2	2
1015	npc_70411	7041122	70411	2	2
1016	npc_70412	7041222	70412	2	2
1017	npc_70101	7010123	70101	2	3
1018	npc_70102	7010223	70102	2	3
1019	npc_70103	7010323	70103	2	3
1020	npc_70104	7010423	70104	2	3
1021	npc_70105	7010523	70105	2	3
1022	npc_70106	7010623	70106	2	3
1023	npc_70107	7010723	70107	2	3
1024	npc_70108	7010823	70108	2	3
1025	npc_70109	7010923	70109	2	3
1026	npc_70110	7011023	70110	2	3
1027	npc_70111	7011123	70111	2	3
1028	npc_70112	7011223	70112	2	3
1029	npc_70201	7020123	70201	2	3
1030	npc_70202	7020223	70202	2	3
1031	npc_70203	7020323	70203	2	3
1032	npc_70204	7020423	70204	2	3
1033	npc_70205	7020523	70205	2	3
1034	npc_70206	7020623	70206	2	3
1035	npc_70207	7020723	70207	2	3
1036	npc_70208	7020823	70208	2	3
1037	npc_70209	7020923	70209	2	3
1038	npc_70210	7021023	70210	2	3
1039	npc_70211	7021123	70211	2	3
1040	npc_70212	7021223	70212	2	3
1041	npc_70301	7030123	70301	2	3
1042	npc_70302	7030223	70302	2	3
1043	npc_70303	7030323	70303	2	3
1044	npc_70304	7030423	70304	2	3
1045	npc_70305	7030523	70305	2	3
1046	npc_70306	7030623	70306	2	3
